page 1	承認意併阿問題
page 2	臨沂我軍猛烈反攻
page 2	五行步騎南下增援
page 2	臨沂方面我佔優勢
page 2	棗庄方面連日激戰
page 2	嶧縣殘敵反攻不逞
page 2	荒木抵平指示作戰
page 2	我軍郜部克復濟南孟縣未克復時先入城部隊壯烈抗戰冀南殘敵北退榮河敵已被包圍
page 2	我國古物脫險全憑英人相助事先由英輪載往長江上游轉運西北倫敦孟　士打衛人報昨日詳論此事
page 2	焦作間我數度挫敵
page 2	冀南三縣殘敵撤退
page 2	榮河之敵被我包圍
page 2	東戰場游擊軍夜襲銳不可當前鋒進至上海縣城北滬敵根據地受威脅急電東京求援崇明敵調西郊該地重賭我國旗
page 2	南京傀儡職位難保華北華中兩偽府合併時寧方將有大批傀儡被攆
page 2	臨沂我敵展開主力戰敵一部入城被我包圍軍事當局令我軍不能輕棄寸土敵因魯南大敗改換植田為大將
page 3	繼英意協定之後法意舉行談判駐意法代辦訪意外相談商法人對法意談判均表贊同
page 3	法五金工人罷工解決全部工人十九日已復工
page 3	德元首希特勒昨日壽辰新聞署長致詞頌祝
page 3	英伯明漢日報評論中國必能自力更生不為武力屈服可作被壓迫民族模範
page 3	西共和政府不滿英意協定因西內戰結束始撤意志願兵
page 3	日政府賠償美巴納艦損失
page 3	日經濟有崩潰之虞
page 3	英航空專家赴美商在美購機補充空軍美機廠能為英製機否成問題
page 3	捷克承認意國併阿意政府表示滿意
page 3	英美遊歷家十一人被敵暗殺謂彼等攝影過多
page 3	日閣議通過節約計劃
page 3	敵軍行同盜賊運走四行倉庫貨物貨主要求搬出被拒現裝上敵艦運回日本
page 3	歐洲各國競買黃金如故
page 3	滬戰時務團經贛赴皖工作
page 3	我財政部在桂設鑄幣廠
page 3	加拉霍特醫生對華抗戰觀感各省軍事訓練良好軍民又能通力合作
page 3	開灤煤礦工人突又罷工暴動高級職員四人受傷
page 3	馬占山部進迫薩拉齊
page 3	國府明令褒揚劉湛恩
page 3	新任中央黨部秘書長朱家驊之談話國民黨今後繼續領導全國抗戰禦侮
page 3	台莊戰績影片攝取經過
page 3	駐華英大使改期南下
page 3	津敵機場遷址
page 3	青海加緊民訓
page 3	美外交政策轉變總統羅斯福批准兩新約宣佈德意日破壞條約並正式贊成英意協定
page 4	菲籃球隊來港今宵約港聯作籌賑賽聯隊昨選出代表十二人
page 4	八九金價回升
page 4	省毫券價略起
page 4	昨宵普籃戰績華南大陸青乙齊　捷
page 4	伍博士杯民廿三年之小球決賽傑志對魁星
page 4	昨網球單打準決賽小林珍再和徐潤培小徐藝高經驗不足致功虧一簣
page 5	解決外匯購米辦法
page 5	交涉潮米運粵車輛
page 5	敵機轟炸泰源渡續詳
page 5	空襲之善後決定指揮統一辦法健全區團組織以利工作經警備部召開會議決定
page 5	菲中外記者團昨謁吳主席及各當局聲言日此次侵華菲人亦同深憤慨
page 5	劉石心談街坊學校避炸一校勿多集學生
page 5	華資製造工業將減征營業稅
page 5	廣西積極訓練成人教育婦女隊
page 5	五路軍分電各區團解釋修改兵役法疑義學生認繳緩投金取銷半數規定在征編期間禁止分家單丁緩役
page 5	佔粵海各島之敵已起恐慌各壯丁又乘夜進襲高瀾敵艦兩艘已由九洲開高瀾增援
page 5	朱執信遺族恤款移購國債
page 5	薛岳電慰吳李烈士家屬
page 5	市商會實行自動改縛商委昨召開談話會
page 5	廣九前日被炸之損失
page 5	梧關稅司易人
page 5	保甲人員昨歡送梁謙武
page 5	余吳解決辦運洋米問題廣州米價昨已轉平
page 6	二開封
page 6	旅粵外橋正義會抨擊敵機轟炸平民
page 6	全省商民派員慰勞抗戰粵軍
page 6	募資撫卹大利被難家屬
page 6	墜梅縣逃匿之四敵機師二斃二傷受傷兩俘虜日內可解省余總司令獎駐梅保安營
page 6	菩薩無靈
page 6	獲一腐屍
page 6	呈報上峰
page 6	勸敵歸順
page 6	胸部中彈
page 6	俘虜解省
page 6	獲勝利品
page 6	省行擴大蠶絲放款在順德設區專辦
page 6	潮汕抗敵要訊彙誌
page 6	清奸大會
page 6	制服禁用白色
page 6	陳友雲巡堤防
page 6	舉行巷戰演習
page 6	　集閩海敵艦之春操訊汕口敵艦又擾商船砲轟海門損失詳情
page 6	召集公債會議
page 6	縣署槍決劫匪
page 6	戰地特約專訊中大戰地服務團離鄭抵開封之工作經過最前線戰時婦女之動態
page 7	種痘則例
page 7	屋租問題
page 7	雨具捐款源源匯返
page 7	救債分會昨開常會
page 7	遠東英艦動向
page 7	煉奶公司慨捐萬元
page 7	歐亞客機起飛時間提早
page 7	西壞吉直街發生縱火疑案
page 7	敵又蹂躪漁船貨艇一艘險遭劫掠
page 7	九龍居民協會昨日召開例會
page 7	臬庭續審刑案
page 7	杜其章在越籌賑成績
page 7	輔政司宣佈接納屋租調委建議認目前對業主加租無制裁必要種痘則例修正草案已通過二讀
page 8	該團對我極表同情
page 8	下月到港會合出發
page 8	向我最高領袖致敬
page 8	棉蘭僑胞救護團實為汽車機師服務隊經費胥賴蘇島僑胞捐助團長黃錫歆昨發表談話
page 8	赴星輪船華客分配辦法
page 8	婦女團體準備歡迎
