page 2	論設建國政府問題
page 3	孫閣令十二夜已下總理孫寶琦外長顧維鈞財長王克敏海軍長李鼎新交通吳毓麟不動內務程克陸軍陸錦司法王寵惠教育范源濂農商顏惠慶院秘長王繼曾又令張紹曾為樹威上將軍高淩霨為稅務處督辦
page 3	京政府訓電申葆藩向北海領事團聲明孫文不能代表全粵並令防孫迫扣關餘
page 3	馬素代表孫文見美總統謂關稅一部應交與粵據馬素稱美參議院同情但美總統未為所動
page 3	劉存厚電稱熊克武但辛懋以重兵逼廣元城我軍被隔斷城陷又熊但軍已攻克銅梁合川援川軍敗退
page 3	許崇智十二日回粵
page 3	奉十二年度財政除補助吉林二百萬黑龍江二百萬尚餘五百餘萬
page 3	漢口田種香案日領十二日函仍不認罪
page 3	豫匪在泌陽被圍大潰
page 3	湘議會以副議長雷鑄寰有助譚延闓嫌疑及曠職應除名惟議無結果
page 3	黎元洪函津友稱決作英德游
page 3	孫寶琦組閣令已發表眾議院初擬將孫閣同意案咨交參議院嗣以新憲法可省去此項手續故逕咨曹錕下令曹下令後即派秘書往孫宅報告代閣已停止閣議準備總辭職
page 3	傳代閣於未交代前已將滄石煙濰津赤三路合同訂立計津赤路壹千萬磅煙濰四百萬磅係英商賀蘭比承辦
page 3	吳景濂不肯還印只派人將已鈐空白咨文公函電紙多份攜京以備填寫吳回京條件一須曹錕對國會切實表示二孫寶琦須允撤回新院警現吳景濂派已赴津勸駕但牟琳派仍極力拒吳
page 3	高淩霨憤議員與已為難勾銷議員保獎案百四十起
page 3	京糧日貴步軍統領議在漢口辦大米二萬石綏遠包頭辦小米二萬石辦平糶
page 3	宣統以鄭孝胥充內務大臣少保欲藉鄭交涉優待費
page 3	高恩洪督辦膠澳將成事實
page 3	鄭士琦擬令兗州鎮守使移駐棗莊
page 3	吳佩孚王承斌蕭耀南張鳳台鄭士琦均電賀孫寶琦
page 3	滇軍第三軍發生衝突詳情胡李兩部與王部壹致胡思舜有軍長希望
page 3	糾紛已極之聯軍內部石圍塘戰事未了湘軍奪滇軍防地
page 3	業主無故逐住客被控
page 3	官地出投
