page 1	中日戰爭大勢之觀察
page 2	豫北原武之Ｘ謀斷河北運輸晉南汾城Ｘ三路西犯被擊潰中條山一役我擊斃Ｘ旅團長
page 2	Ｘ以偽鈔換我法幣
page 2	萬安鎮Ｘ我激戰中
page 2	Ｘ分三路西犯受挫
page 2	晉Ｘ為旅團長掛孝
page 2	高漢墟附近Ｘ我發生激戰Ｘ擾六和墟福田受鉅創
page 2	賀國光昨飛成都履新
page 2	晉Ｘ厭戰情緒甚熾
page 2	Ｘ空軍中將在漢自殺憤少壯軍人專橫繼任人安藤三郎
page 2	Ｘ旗艦出雲號險被法輪撞毀
page 2	Ｘ機數架偵察洞庭西岸
page 2	贛北我軍襲擊彭澤告捷修河前線無戰事
page 2	龍雲撥款振災
page 2	吉縣民眾向閻錫山獻匾紀念保衛吉縣功勳閻氏重述抗戰必勝
page 2	Ｘ出雲艦被撞
page 2	國民政府命令
page 2	女星鍾哥羅福要求離異
page 2	國聯同志會哀悼羅馬教皇
page 2	內省嚴密檢查出版物
page 2	巴力斯坦會議討論猶人提案
page 2	菲僑胞還債運動捐款美金十萬
page 2	對Ｘ進犯海南島蔣委員長發表意見若非有意挑起世界戰爭即為侵華最後冒險一著
page 3	巴黎各報一致對日嚴詞詰責
page 3	英法兩國將承認西國民軍政府國民軍允保證外國志願兵迅速撤退西總理談以瑪德里為首都奮鬥到底
page 3	英新聞紀事報稱日密使三人由滬赴歐傳達日方對柏林會議意見擬改反共協定為軍事同盟
page 3	天主教各主教將召集會議推選教皇意全國為故教皇誌哀八日教廷籌備故教皇奉安大典
page 3	歐洲黃金大量運美準備發生戰事用以購買原料
page 3	美碼頭工人對日制裁我外交協會致電感謝希望聯合全美碼頭工人擴大運動
page 3	英向美購飛機發動機
page 3	德國主力艦定期行下水旗該艦三萬五千噸為德艦中之最大
page 3	英對殖民地位並非固執已見英內務大臣賀爾之演說
page 3	本年一月份美飛機軍火出口數字總值四百六十餘萬美圓
page 3	駐英美大使赴英復職否認預言春間有戰事
page 3	美總統羅斯福抱微恙
page 3	日軍進據海南島法要求日解釋並擬會同英國對日提出抗議
page 4	揮斧傷人兇犯判處徒刑三月
page 4	三行紙幣統計
page 4	衛生局之議案譚雅士質問肺癆問題
page 4	港大教授蔑道頓將歸隱
page 4	去月本港氣候僅得雨水一寸一分
page 4	李漢魂等函謝女青年會
page 4	港大物業免差餉
page 4	中央賑委會救濟失學漁民子弟撥款開辦漁民學校另月給補助費百元
page 5	省府決議救濟全省機器二人機工會已開始辦理登記
page 5	江容鴻記渡被劫續訊
page 5	廣州Ｘ防我游擊隊襲擊下午七時即加緊戒嚴
page 5	增城戰訊派潭激戰
page 5	石莞太Ｘ兵近略增
page 5	寶安縣屬連日安謐
page 5	土匪洗劫西鄉情形
page 5	東路反攻軍積極推動石莞太Ｘ兵近亦略增東　寶等縣游擊隊編配完妥Ｘ防我逼近在各村大肆搜查寶安土匪猖獗昨又洗劫西鄉大鏟孖洲海面未泊Ｘ艦
page 5	曾子友接深圳警局
page 5	　廣州之Ｘ兵力調查市內駐軍極少郊外遍築防禦
page 5	財廳收回作毫券用債票
page 5	古鼎華任一區行政專員
page 5	逃難抵汕者談廣州之混亂
page 5	潮汕防衛實力增加Ｘ艦不斷過境
page 5	我機連日向Ｘ大舉轟炸珠江Ｘ艦紛紛退出我機隊在中山激戰十日晨又炸三水Ｘ九江Ｘ軍繼續撤退有放棄模樣
page 6	李漢魂發表代電嚴訓所屬機關二
page 6	北海合浦欽縣昨被Ｘ炸
page 6	番　上華崙頭壯丁火燬Ｘ營擊斃Ｘ兵卅餘人各鄉現加緊聯防
page 6	寶安之匪患匪徒冒軍械劫西鄉匪徒七十餘人冒軍捕賭行劫雜貨店煙舖等捐失五千餘元
page 6	西鄉賭博
