page 2	再論中葡交涉二　人對澳計劃之準備我國對葡失敗之原因
page 3	京政府召集重要軍事會議吳佩孚將來京列　
page 3	杜錫珪將任為長江巡閱使
page 3	田使催交一千萬電話借款之本利如不照　　即沒收北京電　
page 3	徐世昌以政務外停派員邀王士珍入京組　
page 3	首批赴美代表僅領得經費二十五萬元迭電催匯顏惠慶焦灼
page 3	吳佩孚對川計劃擬收容川軍敗將及政客約為內應並令馮玉祥結納劉存厚進攻川北已設大本營於巴東
page 3	張作霖請以奉軍兩師赴武漢攻湘鄂軍則專攻川
page 3	銀行公會因伍朝樞不允赴美顏惠慶又不親行決將來付之款扣
page 3	曹錕以直省公產向銀行公會抵借百萬元充
page 3	傳聞許崇智統率四師抵湘宜章分攻湘贛趙恒惕力阻無效吳佩孚聞訊已在臨湘增　
page 3	黎元洪囑駐京人員搜羅關於廬山會議文件函電
page 3	曹錕為防禦粵軍北伐開大會議徐世昌派葛雲龍與議
page 3	張作霖電靳雲鵬願調征蒙
page 3	軍南下抵禦粵軍院覆候決定計劃再　
page 3	川軍擬調潘正道藍文蔚所部回川因潘等困守施鶴問勢極窮蹙之
page 3	徐世昌以外交迫國會虛懸特召齊耀珊入公儲籌商辦法
page 3	唐　遵所部川軍確向後西退惟尚有一旅被圍困將勒令繳械利川建始可告肅清
page 3	趙恒惕代表唐儀賓昨到保定謁見曹錕議和曹主先解散自治軍再說唐已電趙請示辦法
page 3	劉湘擬扣少年犯兩師三旅繼續援鄂　盡逐直軍離去鄂境決不罷　
page 3	外報消息華府二十日開預會審查各國議　
page 3	孫傳芳電稱張沖退出施南唐式遵退出畢節已失戰門
page 3	孫文出發赴桂詳誌
page 3	操炮預告
page 3	西商局之商業報告
page 3	承認　領事
page 3	南華足球隊之賽期
page 3	官地出投
page 6	對於國慶之　
page 6	提防　
page 6	九月份　　
page 6	修理港滬間海底電線
page 6	銀價
page 6	大學堂副監督旋　
page 6	香港
page 6	金建問題解決之經過
page 6	執鑽石約指案判監
page 6	被控私印安南銀幣
page 6	全出客懷劍被　
page 6	妻偷竊累夫　
page 6	美不限制各國學生入境
page 6	中國問題之在美京協會
page 6	中法實業銀行近聞
page 6	英相或親赴美
page 6	損失一百五十萬元之巨火
page 6	萬國匯兌問題
page 6	美禁運械來華
page 6	上海改良港口之積極進行
page 7	南寧附近又有警耗之傳說
page 7	第二軍亦預備開拔入湘
page 7	孫文目光專注趙恒惕　一　　
page 7	市借債於孫文出發時交款
page 7	開平選舉案之判決
page 7	磁器潮碗行商請保護
page 7	關於舖底習慣之批令
page 7	程潛辭職致陳炯明電
page 7	令李朗如幫辦福軍軍務
page 7	南番設立美術展覽協會
page 7	陸見如案將判決
page 7	解散大　民軍
page 7	汕頭擬設報界公會
page 7	又拿獲吸煙知事
page 7	汕頭商會因匯票交涉致省長電
page 7	林修梅病故
page 7	破獲拐案
page 7	准將水公司購煤罰款案注消
page 7	新會知事領子彈
page 7	清理庶獄之訓令
page 7	瘋人肆毒再誌
page 7	警員串誘國議員侍妾改嫁
page 7	瑣聞一束
page 9	上海拿獲謀殺王伯群兇犯
page 9	妻控夫案之結果
page 9	船澳打架案
page 9	韓義　朴治毅臨刑之悲壯
page 9	遠東政府規定盧布價格
page 9	日皇病重與緊急閣議
page 9	積匪聽候引渡
page 9	人攜帶載手鎗　
page 9	全港足球開始比賽
page 9	港僑負販煙草會社開幕
page 9	太平戲院開影長畫
page 9	影畫餘聞
page 9	歡迎英太子之籌備
page 9	燒臘臺賣生豬肉被控
page 9	被控傷人案
page 9	舖票案
page 9	被控私接麵粉
page 12	市政借款
page 12	　大火續聞
page 12	國會提議出師討賊案
page 12	販煙被獲
page 12	宣傳無政府主義被捕續聞
page 12	匪徒劫輪被擒
page 12	中學教員魯魚
page 12	令局調處靴　東西　
page 12	學海堂冬季課題
page 12	又獲　人四
