page 1	再論自力更生
page 2	豫南戰況
page 2	鄂中戰況
page 2	晉綏戰況
page 2	日準備以偽滿作攻蘇根據地在偽積極進行軍事設備集中陸空軍建築鐵路公路
page 2	蒙偽邊境Ｘ偽受創
page 2	但澤自由市積極恢復武裝市參議會頒新命令兩道隨時徵發市民人力物力
page 2	英政界對英法蘇談判前途觀察東京談判漸見好轉之後蘇聯態度或可較為妥協
page 2	西北保衛線上一
page 2	一巴山的陰陽面
page 2	英報預料政府將委遠東駐軍總司令統轄馬緬港滬澳新等地防軍
page 2	Ｘ犯平山不逞我痛擊白沙之Ｘ
page 2	廣州Ｘ擬進行短期封鎖珠江外國軍艦商輪俱在禁航之列
page 2	德蘇確已進行商務金融談判兩國交換貨品亦已議定德蘇外交關係似有改善
page 2	湘北我軍克復雲溪一部逼近岳陽城豫南方面我軍猛攻信陽鄂中我軍渡越襄河襲Ｘ
page 3	英日成立協定說純由日方暫傳出
page 3	平沼謂英日談判已渡過嚴重關頭
page 3	張伯倫將向國會報告談判之經過
page 3	我將訓令郭泰祺表示我反對意見
page 3	傳有田與克萊琪成立津事件協定
page 3	希特勒決心歸併但澤德外　中人談話
page 3	英法均否認與德談判和平計劃事外傳種種乃德國之宣傳企圖離間英法波之聯合
page 3	Ｘ能渡過新牆河嗎貳
page 3	于斌主教抵芝加哥僑胞暨西人團體熱烈歡迎于斌演講Ｘ在華種種暴行
page 3	英助伊朗擴充軍備保護英在伊利益尤注重於煤油礦
page 3	英已做防空洞九十萬個能容五百餘萬人
page 3	教廷否認調解但澤問題
page 3	澳葡會商兩國民航事業
page 3	美棉花出口商獲得政府津貼
page 3	英擬貸德鉅款說不確戈林代表赴倫敦另有任務英政府已決心援助波羅希
page 3	英貸希臘鉅款購英國之軍需品
page 3	平偽市長宣言鼓動居民排英但一般人民極為冷淡
page 3	Ｘ機又襲南寧
page 3	天津事件談判今晨開始舉行日政府與眾院府開聯席會議聆取平沼有田報告談判經過
page 4	第一劇團昨招待文化界
page 4	英潛艦幾失事
page 4	劫案又獲疑犯
page 4	中美文協分會請吳鐵城演講
page 4	少女仰藥求死
page 4	婦慰會募捐況
page 4	華人機器會卅一週年紀念到會觀禮者千餘人
page 4	潮商會新會董昨日已選出
page 4	本港監獄有人滿患荔枝角監房決增建一層
page 5	我游擊隊分路　Ｘ
page 5	平湖昨日被炸詳情
page 5	袁帶昨發表告淪陷區鄉民眾書激發良心及時反正當恕既往予以援助
page 5	北路我軍再克馮涌粵路正面Ｘ續增援
page 5	我軍圍擊平山Ｘ軍
page 5	再克馮涌Ｘ軍運忙
page 5	中山沿海Ｘ艦動態
page 5	李漢魂報告赴渝出巡經過
page 5	湘桂鐵路年底即可通車黔桂鐵路測量工竣
page 5	粵當局積極進行發展及整理全省工業嚴密工廠管理統制產品運銷發動海內外各界投資辦實業
page 5	發動各界投資
page 5	嚴密工業管理
page 5	統制產品運銷
page 5	教廳擬定聯合中學辦法
page 5	桂林婦女會為各傷兵補衣
page 5	我團隊在大良擊斃Ｘ方軍官俘獲佩劍肩章向區司令報告
page 5	粵省當局實行穩定幣值
page 5	三灶Ｘ轉向汕尾進犯昨經已大批撤退江門大火之各說
page 5	三灶之Ｘ移犯汕尾
page 5	江門方面忽告大火
page 5	江會各線戰事沉寂
page 5	江門Ｘ貨大批撤退
page 5	平湖車站被炸情形續詳我游擊隊分路擊Ｘ昨Ｘ機三襲廣九路
page 6	增從花各縣游擊區內之清野工作政工隊分到各縣鄉村努力工作使鄉民期瞭清野意義協助進行
page 6	中華教會在新昌設救護站並在恩平城設後方醫院
page 6	兒童保育院搶救潿洲難童
page 6	陸豐教員暑期內組戰工隊
page 6	戰區部獎勉中山抗戰長官
page 6	恩平縣署假期中組工作隊分往各區宣傳救亡
page 6	財廳派員赴各縣督征地稅
page 6	Ｘ機炸澳頭後之慘況本報記者之實地調查全墟已變為瓦碟場死傷人民達百餘名
page 7	消防局勸市民參加消防工作
page 7	新會邑僑紛紛匯款救鄉
page 7	僑港各校派員赴韶受訓
page 7	農人剖腹自殺
page 7	順德同鄉籌賑會昨始正式成立故鄉淪陷已將一年望能認真設法救濟
page 7	雞鴨行救護隊日內回國服務
page 7	救傷隊年會紀
page 7	群策群力救濟桑梓
page 7	本月中旬奉准成立
page 7	各部職員即席選出
page 7	署理輔政司嘉利解釋強迫服役問題鞏衛地方雖富人亦應參加應徵入伍者絕對不失體面
page 7	華英交界上空Ｘ機開鎗掃射貨艇男女四人受傷獲救來港求醫艇上貨物被Ｘ武裝漁船劫去
page 8	託兒所將開幕
page 8	川麓發現腐屍
page 8	學生賑濟會組暑期夏令營
page 8	中華中學昨舉行畢業禮校董吳鐵城到場訓話
page 8	警探大搜煙窟
page 8	西灣河與油麻地發生兩宗血案四人打架死一人傷一人
page 8	抗戰期中華茶出口絕未減少綠茶尤暢銷非他國可及日茶輸出數量較前銳減
page 8	工界熱心賑災
page 8	中藝劇團致力救亡宣傳
page 8	養中女中學十五週年紀念
page 8	昨日棒球聯賽南華不敵友啤八比五友啤保持不敗紀錄十三比　泯甸奴大勝香港
page 8	今晚水球補賽鐘聲戰西青
page 8	聯會小型球戰績
page 8	九龍小球會近訊
page 8	渡海泳
page 8	本月廿七晚本港防空演習之認真各防空部隊均出發如臨大敵童子軍八百名擔任遞信工作大批新警報機到港乘時試放
