page 1	蘇艦在太平洋演習
page 2	龍州日軍再犯上凍潰敗欽縣近郊日軍遭我猛襲桂南日軍給補極感困難
page 2	國府明令褒揚馬君武
page 2	信陽魏軍反正殺日
page 2	法大理院審訊達拉第等此係循例之手續只略盤問各證人
page 2	晉西南我軍出擊
page 2	豫東我軍猛襲蘭封
page 2	從化日軍偷渡不逞
page 2	全國各地慰勞空軍
page 2	日謂滇緬路仍有運軍用品中緬文協會名譽理事德欽努在緬被捕入獄
page 2	教部設指導處指導戰區學生輔導青年赴內地　學
page 2	蘇擊敗日軍第二週年紀念
page 2	上海外輪決定恢復滬浙航線不顧日海軍封鎖
page 2	閻長官發起生產運動閻宅附近滿植菜蔬躬親操作藉資提倡
page 2	滬成恐怖世界綁票案一連發生三宗擄去華人七名俱係富商料其目的係在勒索金錢
page 2	印詩人泰戈爾接受牛津學位
page 2	羅斯福指定美國祈禱和平
page 2	美上議院通過訂立徵兵法
page 2	聊以解悶
page 2	又是一種秘密武器
page 2	美下議院通過中立法修改案容許美輪駛入戰區救護未成年之兒童
page 2	中樞舉行重要會議決定防守西南計劃精銳我軍三十萬駐西南邊界越南當局準備應付日人進犯
page 3	格連活演講英國戰時經濟組織英國經濟組尚未臻至善但德國經濟地位確危險
page 3	英組一委員會收買埃及棉花埃及棉花將收割銷路困難
page 3	德空軍投散神秘白粉其始發覺並無何害處化學家現正加以研究
page 3	英海外輪船增加一千萬噸行走各地自由經營商務
page 3	美國務部嚴密注視遠東時局發展日對美禁運油鐵抗議美政府尚未準備答覆
page 3	邱吉爾與哥爾將軍締結互助協定哥爾要受英最高統帥部指揮但英軍不能調法軍以攻法國
page 3	黑西哥灣發生暴風亞些爾港受風打擊
page 3	英倫海峽空戰英軍收獲極佳德機有九架被擊落英機炸擊德工業區
page 3	星洲將建設強力廣播電台播送消息於遠東各地
page 3	美派軍艦加緊巡防格陵蘭海岸防德在該處設海軍根據地
page 3	德東方展覽會定期舉行參加者有中　等國
page 3	德法將舉行重要會議討論放俘遷都航運三問題
page 3	蘇聯國會舉出重要官員
page 3	麥加朝聖禮今年照常舉行
page 3	法禁青年飲酒婦女飲酒須有人陪
page 3	莫洛托夫接見吉利浦斯
page 3	英欲向美定購大批軍械價值在數萬萬元
page 3	羅匈談判恐無結果
page 3	美積極增加軍火生產與擴軍程序配合
page 3	意軍進攻北非洲英屬索馬尼蘭斯拉鎮陷落意軍集中里比亞開始侵埃
page 5	小托雜軍一部突變
page 5	寶安日軍駐地之調查西路各鄉煙賭林立廣九路前線我軍雲集部署一切將大舉反攻
page 5	各線我軍發動反攻安藤召開最高軍事會議各指揮官各師旅長均出席決再電東京請再增兵補充
page 5	日令東江各雜軍調防互易防地派員實行監視其用意全係防雜軍反正
page 5	開平縣長易人赤溪縣長傷愈返邑
page 5	昨晨日機飛擾各地
page 5	順德眾涌鄉被匪蹂躪續訊
page 5	湘桂鐵路桂柳段嚴密保護沿段組織警保聯辦處
page 5	嚴禁日貨侵入軍委會派員檢查包庇私運決嚴辦
page 5	廣東新省會治安良好惟消防組織亟須改善物價日漲宜設法調劑
page 5	廣增公路日軍車中地雷事後分赴各鄉搜索
page 5	此數日內實施戒嚴
page 5	江門市內大舉拉伕
page 5	江會日軍換防續詳江門日警備司令龍本部調廣州各線我軍乘勢反攻控制江門會城日軍
page 5	上海等渝陷區發來匯票仍舊兌付北平山東等區實行停兌
page 5	石灣瀾石發生搶米風潮
page 5	增北戰事復起日軍犯小樓受挫擾蕉石嶺亦碰壁增江將發生劇戰
page 5	廣九路我團隊衝入石牌日營
page 5	省黨部籌備粵組憲政協會
page 5	建軍計劃大受打擊
page 5	已加緊向江會圍攻
page 5	日軍犯乾霧已竄退小托之日方雜軍因爭地火迸袁帶全部由鶴山移駐崖西等地昨晨日機飛中山八區等地偵察
page 6	我軍猛襲達濠葛洲
page 6	一區李專員嚴禁農民爭田械鬥分令新台各縣府切實防止並令恩平縣長查禁壓糶事
page 6	粵北戰事仍烈從化我日爭奪白田崗西岸我軍渡河攻克水南頭神岡日增援竄錦洞被擊退粵路有砲戰日窺樂同不逞
page 6	日犯蘇南又被痛擊
page 6	粵桂聯運由十月起實行
page 6	韶征收所得稅進行順利
page 6	在廣州灣登記失業教師赴韶
page 6	頌醫貴由衷
page 6	粵路南段迭起炮戰
page 6	日擾錦洞被我擊退
page 6	從化我軍續獲戰果
page 6	嶺東我軍紛開前線猛襲達濠萎謝主葛洲澄海日軍犯蘇南遭痛擊
page 7	港越商船照常航行
page 7	本港民食不虞缺乏
page 7	廣大將遷台山校董會昨議決
page 7	審查合格分別選派
page 7	申請登記各項手續
page 7	旅居海外留學生得用通訊登記將證件郵寄重慶教部合格後分別予以工作
page 7	國醫聯會將啟用新圖記
page 7	中經學社徵文紀念馬寅初六十壽辰
page 7	佛山輪有今日返港說港行昨已恢復售票
page 7	廠商聯會昨開例會撥款千元匯呈中央五百元助女兵災會
page 7	林馬坑劫案一傷者昨殞命
page 7	珍廬書展會今日下午開幕
page 7	車輛失事統計去週死三人傷卅三人
page 7	海外發現浮雷
page 7	越南現仍安謐港越班商船照常開行米石源源運來港民食不足慮港現存米石亦可供半年之用
page 8	金銀貿易場響應義捐運動小販商會義賣三天全港舞姝響應賣花
page 8	金山庄有米行公
page 8	港九小販戶內義賣
page 8	英國的女議員英國情報部遠東局播
page 8	保衛團員徵募不易有地位者多不願幹無甚地位者幹不得
page 8	公子哥兒勿忘傷難
page 8	青年會國難祈禱會
page 8	嘉屬籌振會舉辦平糶救濟難民修沙魚涌石橋以利交通
page 8	美副領事回港
page 8	本年雨量將及百吋
page 8	中區防空演習昨晚六時舉行
page 8	各區蓄水池已竣工非常時期食水不虞缺乏
page 8	三賊截劫路人
page 8	警探大搜歹徒
page 8	迷騙鑽戒疑案
page 8	日人山口原為軍人日領黃田昨又往探問
page 8	冒騙疑案詳臬
page 8	髮匠被控行騙
page 8	銅鑼灣圖劫案被告詳臬定讞
page 8	英帝國領十經濟會議印督邀港派代表參加計論對英物質接濟問題十月十日在新德裏舉行
page 10	棒球聯賽明日舉行決戰錦標關頭爭奪必烈水兵健將留港未去
page 10	足球季將開始各華會積極整頓軍備招兵買馬忙極一時正式陣容暫難預知
page 10	星島又傳捷報勇挫馬來聯隊
page 10	今日學籃決賽南華思思爭亞軍
page 10	乙籃決賽總結
page 10	精勵五一四二昨日夏籃戰績
page 10	中華體協會代表日內晉謁王正廷
page 10	星島歸鴻五
