page 1	英日談判殭化又如何
page 2	晉南我軍克復林縣我太行山更增保障
page 2	江門Ｘ軍企圖北進新會各地偽警反正
page 2	潛江附近我軍活躍我進佔洋梓北高地
page 2	兩行並無在英印新紙幣消息係出誤傳
page 2	行政院昨會議通過西北聯大改為國立案任命胡庶華為該大學校長
page 2	中國藝展會在蘇舉行
page 2	日對搗亂事件諉卸責任華北治安無法恢復
page 2	菲律濱獨立問題嚴重倘菲獨立不難為日目的的物
page 2	潮城之Ｘ迫民貯糧
page 2	吳榮保壯烈殉國參加反攻銅陵英勇累立戰功
page 2	南路慰勞團向贛北滇省將士獻旗團長馬超俊致詞極共誠懇
page 2	Ｘ機濫炸浙海門臨海Ｘ海軍通告封鎖海門
page 2	贛北遊擊隊近甚活躍
page 2	日耳曼農民被意驅逐出境
page 2	皖南我砲兵擊傷Ｘ方巨艦
page 2	我正規軍向滬郊疾進形勢緊張大戰一觸即發
page 2	滬襲擊報館案續審展期舉行伍一偉等三人釋放
page 2	楊維騫直認殺范石生兄弟是否同謀法院正加研究
page 2	徐州開封間鐵路被我破壞附近公路亦破壞
page 2	綏游擊隊活躍
page 2	贛省軍隊幫助民眾秋收軍民合作增加生產
page 2	外訊日本駐德大使大島浩
page 2	保代表團抵蘇
page 2	滬Ｘ照會英當局否認襲攻宜昌
page 2	平Ｘ偽當局禁人民購英貨北平日人報紙鼓吹排英運動
page 2	戰地黨政委會決議推進黨政軍工作游擊區黨政軍一元化統一戰地黨政軍指揮
page 3	但澤國社黨首領飛貝茲加登謁希特勒德止以全力以付但澤問題波蘭對但澤採取堅決政策
page 3	呂梁山脈橫斷面一
page 3	日軍部要求政府實施對歐政策日閣五重臣之會議將討論軍部之建議
page 3	英軍三營由印抵星星洲防務鞏固
page 3	英三大政黨提議發出和平宣言提示國際和平陣線目的與乎解決歐洲局面條件
page 3	抗日標語印在紙幣上
page 3	意軍演習結束紅軍完全擊潰
page 3	美財長抵南桑普頓
page 3	美棉大批賣與西織造廠
page 3	英空軍大演習參加飛機千餘架
page 3	盛傳暹羅業已加入反共協定英外交部人宣稱尚未得正式証實
page 3	英轟炸機一隊飛抵星洲
page 3	前捷總統班諾批評兩大政治民主國家缺乏勇氣獨裁國家過重暴力
page 3	傳德軍用機曾經飛臨波境
page 3	美國已可開始禁械運日
page 3	英海軍決定增加員額
page 3	克萊琪接獲新訓令英日談判將賡續舉行日人觀察英日談判已達重要關頭天津日軍司令定要英交出津白銀
page 3	神戶發生排英運動
page 3	津Ｘ司令崛強談話
page 3	英方否認發出通諜
page 3	三國軍事會議蘇邀波蘭參加英法土密切聯絡以抵抗侵略現正進行談話商討軍事協定
page 4	成立目的
page 4	開啟文盲
page 4	大會章程
page 4	醫務署嚴防塗改防疫證書
page 4	港九教師聯合會成立以個人　單位凡教師可參加該會工作注重教師精神修養
page 5	廣州外圍Ｘ忙搆築
page 5	我決策動遊擊戰略
page 5	江會各線連日戰況
page 5	六區召集政訓會報
page 5	桂洲Ｘ艦轟擊南頭
page 5	市橋商店復業最近調查偽軍強迫復業偽偵緝隊因挾嫌報復發生激戰市橋郊外我團隊活躍時出襲Ｘ
page 5	順德我軍截Ｘ糧Ｘ輪被擊沉沒
page 5	東路我軍召開軍民會議香翰　由惠趕到參加今後　出　東寶防務
page 5	戰區運輸處統制船舶交通詳記無通行證旗幟者扣留嚴辦已登記船舶不得任意徵用
page 5	編隊辦法
page 5	船舶運輸
page 5	容良Ｘ軍驟增Ｘ又揚言再犯中山
page 5	廣東省府組技術視察團
page 5	領通行證
page 5	東江南岸之戰訊張團長談石灣偽軍情形評定保安物價破獲深圳命案
page 5	評定寶安縣物價
page 5	潮汕最近戰況補述人民紛組游擊隊襲擊刻Ｘ軍只謀緊守據點
page 5	潮安戰況
page 5	進襲澄海
page 5	展開游擊
page 5	揭陽情形
page 5	最近之維持治安
page 5	Ｘ對各線軍事停進中集中工兵忙築廣州外圍工事廣州偽組織有更變說我方則加強游擊兵力容桂方面Ｘ軍之動態
page 6	Ｘ軍犯黃歧山不逞
page 6	龍翔市戰事昨再起
page 6	Ｘ續增援犯十八嶺
page 6	擾福和Ｘ又被擊退
page 6	我軍趙團乘夜殲Ｘ
page 6	廣東省府改善下層機構
page 6	省振會搶救大批難民抵韶分送各處安置
page 6	莞城偽警局長被擊不中
page 6	古鼎華昨召集三埠各界會議商決穩定金融評定物價各辦法
page 6	我便衣隊一度衝入三水Ｘ兵五百增援西南
page 6	特務營長涂思白率眾請纓已開抵大埔某地
page 6	軍委會巡察團昨抵三埠
page 6	粵鹽運贛接濟民食
page 6	新會各界舉行國民月會
page 6	軍委會通令各戰區呈報戰績勿事虛偽鋪張致誤判斷
page 6	粵省府業查各縣團隊成績
page 6	北江迭有戰事我軍克復瓦窯進迫襲翔犯黃岐山之Ｘ曾破我防線經奮勇反擊後已全部潰退
page 7	明日起大規模獻金懍萬方之多難弦高毅自犒師拔九牛之一毛卜式應知仗義
page 7	斬將蹇旗踏破三島
page 7	義賣地點今日批復
page 7	客棧行肉行獻巨金
page 7	戲院職工捐薪一天
page 7	粵省政府救濟失業教師
page 7	英艦海鷗開粵
page 7	英籍船員應免服兵役船員公會秘書發表意見
page 7	從化災情慘重難民渴望救濟
page 7	英軍團長日間北上履新
page 7	澳督昨日抵港今晨　輪回澳
page 7	倫敦賣物會繼續徵募物品
page 7	港星空軍實力雄厚星空軍可隨時飛港助戰
page 7	爛坭灣紅丸案詳臬華探橫錢福述破案經過
page 7	Ｘ在港購廢鐵運回日本製造子彈
page 7	四人被警拘控罪名為意圖不軌
page 7	港渝港菲電話通話儀式已定
page 7	百萬僑胞
page 8	學徒梁榮
page 8	開槍三響
page 8	拘獲三人
page 8	嚴防匪徒盜車警當局願與車主合作
page 8	羈留所逃三犯一被警察捕回
page 8	日戰且走
page 8	煙窟發生血案歸人被刺傷
page 8	七七紀念會捐訊
