page 1	法國停戰以後
page 2	傳日軍十萬集合於海南島對安南荷印存有野心美艦隊正監視太平洋
page 2	南京傀儡組織將有局部更動陳周兩逆爭權結果周派失勢陳派得權
page 2	加澳加緊助英爭取最後勝利加拿大加強軍械生產澳總理勗勉國人團結
page 2	皖南我軍克復貴池
page 2	饒神父離滬返國
page 2	蘇軍開入立愛拉後羅國感覺危懼蘇如向羅提出土地要求勢將引起　蘇兩國衝突
page 2	白黃致電慰蘇大使
page 2	蔣委長批准韓軍成立以與日軍作戰求朝鮮之解放
page 2	岳陽以東日軍回竄
page 2	日機殘骸三架尋覓
page 2	中央紀念週蔣親致詞
page 2	傳日軍十萬集合海南島
page 2	我軍克復宜昌
page 2	政院會議
page 2	國大代表證書遺失補領辦法
page 2	襄西我軍克復宜昌日軍遺棄輜重遍地日增援反撲再展開宜昌爭奪戰
page 3	法軍士氣喪失殆盡
page 3	國際風雲險惡美國積極擴軍文生又提增建軍艦計劃上議院通過陸軍擴充案
page 3	英國決心繼續戰爭自衛力量已甚雄厚傳法艦隊已移交英海軍部指揮英承受法在美所定購之軍用品
page 3	烏拉圭納粹黨人謀起叛亂目的在使烏拉圭變成德之殖民地
page 3	楊格對德力量重新估價從前估價太低現則不必太高
page 3	巴黎淪陷後成一死城中上居民已盡遷徙酒樓商店悉行停業
page 3	英曾向法提議締結英法同盟共同組織政府繼續推進戰爭卒因法局變動此事未能實現
page 3	黔省籌設貴州銀行
page 3	英大使在滬稍留即赴北戴河避署
page 3	英空軍轟炸德國
page 3	德國軍事成功經濟危機嚴重如不能從速補救勢難再支持下去
page 3	美組委員會研究推銷西半球剩餘貨物防止德經濟力量侵入西半球
page 3	英空軍轟炸都畢勒克意海軍根據地損失極大各英機安全飛回根據地
page 3	法軍仍作最後抗戰
page 3	法國黨爭勢將復起
page 3	德認法國絕對投降
page 3	貝　元帥停戰演說
page 3	希墨在慕尼黑會面談商對法停戰條件談商條件結果料必異常苛酷法尚希望不作無條件之和平
page 5	日艇數艘又犯北卡
page 5	奉令擴大游擊範圍
page 5	南僑慰勞團改道贛南來韶各界開會商歡迎辦法
page 5	日反撲和睦逕慘敗
page 5	龍口劇戰我攻龍潭
page 5	粵北我軍再接再厲圍攻獅嶺猛撲龍口神岡口圖突圍反撲和睦逕又敗潰 龍口西北爭奪激烈我進攻太平場
page 5	內政部搜黨醫事人才應片人員旅費發給法
page 5	偽軍六百餘開到順德增防
page 5	我軍猛烈圍攻獅嶺
page 5	游擊區貨物財廳令禁運入後方各地稅務局不得遽行收稅已完成稅者亦不得發通行證
page 5	潛伏三水我團隊夜襲城內日營日機向絳水肆虐
page 5	桂洲外圍我軍民反攻南頭日軍之激戰擊斃日兵數十刻仍在激戰中
page 5	江會戰事沉寂中之四邑近況
page 5	日艇再犯中山八區北卡不逞袁帶奉令擴大游擊範圍四邑各地近況之實地調查
page 6	輪渡往來漸復常態
page 6	台城通達內地各處
page 6	設有運輪公司多所
page 6	粵省府擬定戰區學生貸金辦法專科以上學生皆有權享受本年度起指定專款作基金
page 6	四行在粵撥千萬辦農貸
page 6	粵閩贛邊設邊區生產處登記民眾數千人
page 6	南頭安謐如常
page 6	孫亞夫已抵韶帶來中央撥粵振款
page 6	粵建儲會擴大節約儲金
page 6	拍賣地段詳細章程
page 6	軍委會派員慰問五邑傷兵犒賞戰士台山各界代表到新會九區勞軍
page 6	一群榮譽戰士共話增從線粵北前線之系統報告
page 6	省務會議紀要增加各縣市黨部經費林　榮代理電白縣長
page 6	都斛澳門航行無阻四邑出海交通近況別誌台城為西江南路貨物集散地一區專署擬增設交通股管理運輸事務
page 7	各界振聯會防範奸徒賣花漁利本會花樣顏色嚴守秘密已致函肉商請七七停屠
page 7	同情英國抗戰美僑停祝國慶慶祝　捐贈英慰勞會
page 7	昂船洲試放空襲警報
page 7	澳門三埠拖渡尚未復航
page 7	義軍總部趕建新訓練所
page 7	衛生當局取締違例屋宇
page 7	美總統輪將改航線返美
page 7	法領事否認軍火經越運華中法原有關於建設鐵道之協定日本不能指鐵道材料為軍用品
page 7	住客聯會會議體育宣傳兩部聘定職員
page 7	節約建國儲蓄運動社教兩組明日出發真光小學勸銷將及萬元
page 7	港法僑希望繼續抗戰寧見德軍佔領整個法國亦不願作無條件的投降
page 8	臬庭定期公審殺妾案昨日判決刑事案十一宗
page 8	英人捐款購機
page 8	美機代運本港寄英空郵第一批定今日開出
page 8	潘光迴昨抵港
page 8	糖商長期義捐又匯出一萬元
page 8	我國旅外僑民統計共八百三十二萬一千餘人本港佔一百零二萬三千人
page 8	現代畫展覽會明日截止收件
page 8	九龍開投公地
page 8	迷路兒童候領
page 8	英海軍尋覓水雷
page 8	金龍台鉅竊案定今日上午提訊
page 8	衛生局昨例會
page 8	一人服毒獲救
page 8	兩賊夜劫茅屋
page 8	青年會歡迎美國學生代表
page 8	筲箕灣小學募藥救治傷兵
page 8	在粵教廳立案僑校奉港府令停止會攷因與港教育則例微有抵觸
page 8	七七三週後紀念日口口應發動獻機運動充實祖國力量俾早達勝利目的中央規定僑胞紀念七七辦法
page 10	青年會首次水藝本星期日舉行
page 10	友誼籃球賽消息
page 10	籃球聯會會議議決每星期加賽兩晚
page 10	今夕公開籃球賽廣大對抗華僑乙組晨鍾戰青職
