page 2	護法戰爭之是是非非訴諸國民
page 3	黎樹電　　稱孫中山　商量餘地　　　某種　件或特　遇亦可北來
page 3	黎元洪　　十八日宴全體議員
page 3	張作霖擬密購秦皇島　　意國軍械經　使團通日政府預　
page 3	國會開會黎元洪任期將成為極大問題聞張耀曾鍾谷秀張國淦為此專疏通議員形甚忙碌
page 3	政府決定組閣先電唐紹儀孫文徵求同意如　來　以顏　提出曹錕吳佩孚亦極贊成此議
page 3	總稅務　　　聯昨訪顏惠慶　九六債票如不抽簽今後永無信用願以關餘為內債基金鹽餘騰為政費並望財　討論會通過其提出說帖但政府希望自後借款以關餘擔　故尚未承諾
page 3	外交團　魯案細目日無誠意　中國力爭無效尚可交第三者評判
page 3	聞于寶軒近組織政黨已有多數議員入黨黨費由徐世昌擔任
page 3	美國海軍總長鄭璧昨已抵滬聞盤桓三日即回國
page 3	　月朔日參眾兩院次行開會　但仍未足法　人數能否開常會尚未定
page 3	劉湘近有捷電到京熊克武　亦電洛陽乞援
page 3	高恩洪辭兼教育部長黎元洪退還辭呈勸維持至月底
page 3	聞張作霖以四洮鐵路抵借　金千五百萬交部電阻無效
page 3	馮玉祥編新軍以宗教訓練邊卒預備擴充成師各為十字軍
page 3	楊度　書用　以學識為標準謂有八利並援引古今
page 3	　使團向　府抗議謂張作霖將京奉路截斷並將鹽稅扣留　無辦法由國際共管該路及緩交鹽餘
page 3	漢陽鐵廠工人擬聯盟罷工向吳佩孚蕭耀南提要求六條
page 3	歐陽武呈黎元洪　以吉安為緩衝議和地南北兩軍各退　里
page 3	國務院電張作霖綏寧鎮守使未通過閣議無設立必要張宗昌係通緝犯希解來京聞張作霖置不理
page 3	馮玉祥上裁兵說帖一軍工主義二軍林三軍路四軍礦
page 3	董康經黎元洪顏惠慶挽留後願維持至月底昨到法學討論會及磋商煙酒籌款雖未到財部
page 3	廿二日褚軻成宴滬議員　流發起組聯省自治促進會及電阻北方援贛
page 3	黎樹到滬後　　聯　暫不赴　
page 3	七月廿一號北京電美國海軍總長丹比君與隨從等今早乘專車赴上海送　者極眾美國人士中西外交家海陸人員著名人物如顏惠慶李鼎新薩鎮　美公使史計　等均在內中美音樂隊護送隊均在外交部排列由參事李芳汪齡　階送美總統先赴上海然後往杭州丹比君未首途前致辭行書表示此次遊京之悅　　致謝中致府招待殷勤及官民友愛態度云
page 3	援贛軍不受徐元誥調停　名通電參　處謂倘李烈鈞不退出贛省則不受調停當盡死　　恢復原防而作戰該處即行電覆著其　　現時防　不可輕動
page 3	最近閣議議決由北京及各省官員　薪百元　　者兩　　按　提出三分之　以充膠　贖路基金並經議決辦　　條此係魯案善後督辦處理事會辦法云
page 3	傳聞徐元誥等之調停條件一南北兩軍各撤退一百二十里以其間為緩衝地勢二李烈鈞所部以一師駐贛由政府　餉任命李氏為將軍邀請進京三北軍以一師一混成旅駐贛由蔡成勳維持秩序平定後撤退
page 3	上海電某方面消息西南各省以　求對付　局辦　　各省派代表來滬組織目治各省　聯席會議由湘省趙恒惕通電西南各省經　川黔滇粵各省之同意將於八月一日開會桂省以不能維持秩序無從派出代表
page 3	韶關戰事之確報
page 3	鄧　
page 3	北洋艦水　　態度
page 3	居民尚　驚濤駭浪　
page 3	　　　廣州要訊
page 6	董康被打之詳情
page 6	贛粵調停失效
page 6	命案續聞
page 6	商務局報告
page 6	湘省改編六旅風潮將解決陳　　決　　粵邊
page 6	雅麗　醫院聚會
page 6	承　秘魯領事
page 6	美國　　罷工續聞
page 6	海　會　決裂
page 7	澳門最近之要訊
page 7	　運　系運　補　
page 7	電燈局附近之炸彈
page 7	戰　消息別報
page 7	商聯會請孫中山　北上
page 7	運柴往澳門近聞
page 7	執　學交通告照錄
page 7	省署之交代談
page 7	鶴山縣長鼓勵鄉民禦之佈告
page 7	駐北江第　師調赴梧州
