page 2	對日交涉大警告貳亡國條約的痛史國恥紀念的公憤願我國民其毋忘
page 3	將發表孫文全國兵工督辦徐紹楨粵長李易標沈榮光古日光劉玉山師長陳炯明為明威將軍魏邦平為平威將軍等令
page 3	丁槐廿七日出京攜黎元洪張紹曾相片各四十張
page 3	張紹曾擬補發粵長令仍任徐紹楨長粵魏邦平授平威將軍俟閣議通過即發表又兵言孫文決不受勿兒戲但黎元洪已決下並決用大元帥名義收束閩贛粵軍事促孫棄武力政策來京就職
page 3	黑省鬍匪佔湯原自稱蘇維埃中華同盟軍張作霖派兵由三姓往剿
page 3	王寵惠力辭迎孫文晉京差使
page 3	黃郛赴津沈次長已允暫代外長
page 3	齊　元電薦溫世霖繼黃郛長外部
page 3	杜錫珪艦隊經費積欠數月杜限財部立發五十萬否則再截收鹽餉
page 3	蔡成勳電吳佩孚謂李烈鈞黃大偉聯合窺贛黃已入會昌瑞金
page 3	吳佩孚電孫傳芳勿全軍入福州備防閩邊并任方本仁為贛邊戒嚴司令
page 3	楊森會合趙榮華由開縣進攻忠州但懋辛又敗退但部楊春芳有降楊森訊
page 3	廿一條覆牒已起草定廿七日閣議通過即發連日各省均
page 3	有游行大會多不勝書均力主如日再拒即與經濟絕交津商已先停辦
page 3	吳佩孚允袁祖銘援楊森例借住鄂邊俟機回黔
page 3	國會不信任張閣案尚未列入議程聞張紹曾疏通各黨已有百餘人允護閣
page 3	金佛郎全案已咨眾議院
page 3	前月內東三省資遣俄難民回俄約廿萬名免留生事
page 3	國會通電旅大期滿亟應收回詞甚堅決
page 3	馬君武忽向參議院報到
page 3	京傳楊森在前敵中彈夔萬又搖動惟漢口訊仍傳楊連捷並傳陳遐齡已東出助楊廿五日攻成都
page 3	閩訊孫傳芳部廿七日到省孫祇進至資溪周蔭人則進至延平許崇智橫衝歸化截斷贛邊達延平航路王永泉助孫拒許料孫許將先在下游開戰
page 3	段祺瑞昨壽辰不受賀僅蔬菜餉客不談時局
page 3	廿五日鄂匪掠孝感旋平定
page 3	京令下後之沈滇兩軍舉動
page 3	沈軍方面
page 3	滇軍方面
page 3	旅滬粵僑反對借債
page 3	朱卓文圍攻石歧詳情
page 3	陳村米舴又被軍隊勒罰
page 3	鎗擊桂林輪之報告
page 3	太古糖房工人仍未復工
page 3	演戲籌款
