page 1	英法如何保存租界權益
page 2	英為津案發表重要聲明倘日堅持其廣泛要求必引起非常嚴重局面
page 2	津英租界封鎖後第三日封鎖措置已更加嚴密反英活動亦更趨積極
page 2	天津事件美已接有報告美政府已向日方表示美國對津局極為關切
page 2	六月上半月各線我軍戰績總計作戰共三六八次斃Ｘ官兵達一萬餘人
page 2	反英運動風起雲湧天津事件未了滬Ｘ偽又製新事件對封鎖偽警局事存心搗亂恐將又藉口封鎖滬英租界
page 2	德意計劃商輪合作
page 2	國勞會議我代表朱學範演說自日本侵華戰爭開始以來淪陷區中國工人受苦極深
page 2	美參院通過反間諜案
page 2	教皇代表訪波當局期調解德波糾紛
page 2	美擬增購特殊軍需品
page 2	Ｘ認天津租界問題現已不祗係地方問題英內閣今日開會討論津市局勢必要時宣告廢止英日商務協定
page 3	英上院辯論擴軍問題國防調整部大臣演說謂擴軍標準即可達到
page 3	中央紀念週中何應欽演講抗戰近況
page 3	我機飛風淩渡炸Ｘ毀Ｘ砲下餘門我Ｘ在古王激戰甚烈Ｘ四次衝鋒均被擊退
page 3	姚氏兄弟請纓入伍
page 3	保總理將訪柏林
page 3	馬占市將軍談游擊戰
page 3	孔院長向全國民眾播講堅忍抗戰自力更生三
page 3	經濟方面
page 3	避免Ｘ偽盜取成吉思汗陵寢奉移楚明善唐井然等奉派為移陵專員過榆林南下時全城人士歡迎歡送
page 3	美判德賠五千萬金元以抵補戰時損失德人認為殊不平
page 3	阿爾巴尼亞王准在英國留居
page 3	漢口萬國商會拒繳特市稅收
page 3	中央廣播電台播游擊隊戰績
page 3	蘇外長與英法大使繼開會議蘇官方未有發表談判結果公佈蘇更要求如蘇日開戰英即助蘇
page 4	劫艇殺人疑犯押候三天再審
page 4	英賑難會最近募捐成績
page 4	大批賭徒被捕穴人不認罪押候再審
page 4	駐華英艦易長
page 4	公務員虧空公款入獄
page 4	培英童軍宣誓
page 4	青年同樂社開幕
page 4	婦慰會等六團體通函各界徵募物品將彙寄倫敦參加賣物會各界捐助以土貨為最宜
page 5	乘Ｘ不備突起襲擊
page 5	團隊混入分起內應
page 5	赴援Ｘ軍中途被擊
page 5	Ｘ圖睦洲已被擊退
page 5	Ｘ犯禮樂死傷甚眾
page 5	砲擾古鎮中山安謐
page 5	Ｘ機炸邕補述
page 5	中山情勢和緩中中順航線最近調查
page 5	第四戰區特別黨部成立
