page 2	我不解於所謂籌備慶祝者總統就任歟菩薩出遊歟
page 3	曹錕張作霖靳雲鵬由親眷關係再訂盟結為兄弟曹居長張排第二靳排第三
page 3	報載曹錕張作霖准明後日晉京
page 3	某要人語曹錕張作霖謂經此次會面可解除多少誤會於政局頗有裨益但來一次搜括一次國家財政益陷窮境
page 3	靳雲鵬曹錕張作霖會議結果對孫文自選總統決先聯名通電致討再下明令通緝
page 3	吳佩孚因重懲部下工人此輩懷恨行刺槍傷膀部幸未至損及性命
page 3	成慎圍攻衛輝傳說趙倜已逃靳雲鵬與曹錕派員查辦並有任吳佩孚督豫說
page 3	曹錕張作霖謂庫事重大宜合沿邊七省兵力全國財力非僅奉直所能辦
page 3	豫省戰爭勢極劇烈馮玉祥與成慎所部合攻趙倜衛輝府被焚袁項城家亦被掠奪戰線在黃河南北風潮愈覺擴大
page 3	中德通商文書計共五件京政府已按條答覆不日可望簽字
page 3	津訊張作霖擬以武力征粵取道京漢路藉窺吳佩孚態度又主張為段祺瑞張勳解釋宿怨惟段氏近因長齋念佛雖力邀亦不允到津
page 3	王占元決不來津張作霖擬偕曹錕入京曹辭以豫事糾紛暫從緩
page 3	鹽商不肯借預餉續誌
page 3	陳炯明對桂用兵之意見召集軍官大會議決定固守防地不輕開釁
page 3	馮玉祥電稱趙倜縱令部下禍豫不自追悔復疑祥私通成慎謀襲防地祥為自衛計迫得派隊堵截並請示辦法
page 3	成慎等宣佈趙倜等八大罪狀並備兵進攻開封
page 3	王占元電商黎元洪擬發起國內弭兵會黎贊成王旋派員到津請黎任會長
page 3	曹錕張作霖密議內閣事主張留靳雲鵬交通研究兩系皆下野財政交通兩部概歸奉直分任
page 3	直軍蕭耀南所部圍攻彰德勒令成慎軍隊卸除武裝待命彰德秩序由蕭維持聞已平靜京漢路即日通車
page 3	沈鴻英自言與陳炯明提攜
page 3	陳炯明欲唐繼堯幫助攻桂
page 3	都城粵軍飛報軍情
page 3	孫文又向華僑籌款
page 3	恢復西伯利亞郵務交通之不確
page 3	銀價
page 3	後備警察功牌到港
page 3	衛生官佈告
page 3	廣利來船投出
page 3	無從投遞之電文
page 6	活佛代表到京之所聞
page 6	赤塔政府准備與舊黨作戰
page 6	京政府對蒙之態度
page 6	王士珍上最後辭呈
page 6	德人還我天文儀器
page 6	造般工答覆減薪
page 6	中國專使赴英
page 6	南省聯防與援湘聯　
page 6	海軍人員嚇索餉　
page 6	魯案已提交聯盟秘書長
page 6	世界之生銀市
page 6	哀爾蘭禁人離境
page 6	美國承認哥林庇亞條約
page 6	法擬懲德
page 7	軍府改組總統之會議
page 7	省署向翟汪追回官股續聞
page 7	加征房捐警費近聞
page 7	程潛等欲以一電勸鄉人服從孫文
page 7	赴法留學者須知
page 7	鶴山有煙苗發現
page 7	少婦帶煙被獲
page 7	劉經畫又被控
page 7	鬱梧間之軍情
page 7	徐東海卸去盜匪招牌
page 7	不准留滇軍駐雷
page 7	　有人欲承辦滑水森林
page 7	工女兩界參預地方政治之先聲
page 7	土布改良
page 7	營長因馬涉訟之結果
page 7	海豐開鑿水道之立案
page 7	關於潮屬捐餉
page 7	瑣聞一束
page 9	東俄議會歷數日軍罪惡
page 9	赤塔國民大會宣言
page 12	孫文急於就總統任
page 12	孫文請陳炯明慰勞軍　
page 12	　　工人組織工會
page 12	杜威博士來粵先聲
page 12	彈壓清遠徐李械鬥案
page 12	油頭市廳成立
page 12	腳踏車反對納費
page 12	市財政局招考會計課員
page 12	教育局會議之結果
page 12	裝船工人罷工之結束
page 12	貴華里命案
page 12	來函照登
page 12	黃花節全國報紙停刊通告
page 12	被控冒名棍騙案
page 12	西環暗殺案
page 12	香港股份市道之冷淡
page 12	被控懷有三合會書件
page 12	偷竊案二則
page 12	摸竊判監
