page 1	泰國外交之活躍
page 2	英美駐泰使否認日畏懼謠言變真
page 2	日報傳協定內容包括綱要六大項
page 2	法否認泰邊衝突我痛斥越境謠言
page 2	墨索里尼演說強調侵希必勝只認三主力艦受傷尚未沉沒指斥英法援希諱言在希戰敗
page 2	大西洋被襲英商輪隊已有一艘安抵英倫蘭治德基號船員談脫險經過料至少有三十艘可以脫險
page 2	烏拉圭允美設海空很據地
page 2	法國南部發生暴風地方損害甚大
page 2	美召第一批義勇軍入伍
page 2	德　在法海岸架設大炮
page 2	羅蘭省法語居民被逼出境德人遷入居住
page 2	在希德僑被遣回國
page 2	印棉輸日已被停止
page 2	柏林倫敦互被轟炸雙方各有損失
page 2	阿部本週內再來南京
page 2	日河內總領改派林安
page 2	美輿論界斥德空軍暴行炸擊哥溫德里城係一種殘忍行為
page 2	英將向美定製貨輪多艘不久可簽合約
page 2	羅太后希蓮親往災區視察對於羅國地震各國紛電慰問
page 2	美有名煤油業家哥士丹逝世
page 2	美工業組合領袖抨擊政府並準備辭職以踐諾言
page 2	英國陸空軍增強合作組空軍作戰指揮部密切協同陸軍作戰
page 2	哥列薩被希軍奪得賓達士線意軍被擊潰希軍勁旅乘勝繼續向北進展英空軍又炸擊意國軍事要港
page 2	日南進政策又一打擊英美泰傳結軍事協定駐曼谷英美兩使均極力否認日嫉忌三國接近欲藉端試探
page 3	意外相赴德任務與德蘇談判有關
page 3	土外長將赴蘇聯德意力拉士合作
page 3	日御前會議決定再對我求和傳我當局將發表聲明
page 3	閩省厲行平抑物價
page 3	韓國光復軍成立旅美韓僑舉行慶祝會到會者萬餘人情緒熱烈
page 3	巴雲英離蘭返綏
page 3	滬日軍官司迭被狙擊日將藉故興波搜捕華人日人二千在某公園逐一盤問
page 3	中央社會部改隸政院
page 3	晉南我軍活躍
page 3	我軍壓迫蕭山
page 3	中央國府聯合紀念週
page 3	中央儲蓄會發行有獎儲券
page 3	委員長關懷湘省災民特頒急賑十萬元
page 3	西安物價跌落
page 3	張群宣誓就職
page 3	荊門日司令部被我轟炸
page 3	日財政枯竭預算激增
page 3	司法官退養金條例
page 3	欽縣撤退日軍全部下艦出海逃遁日軍傷亡慘重我俘虜十餘名華南日軍部發表軍報已證實
page 3	鄂東日艦艇中雷沉沒
page 3	湘平抑物價後市面穩定
page 3	德意努力組織反英陣線意西外長同日抵德德意西三國在貝士加丹舉行會議巴本回任力誘土國加入反英集團
page 5	江會日軍輜重撤退
page 5	江會方面我軍活躍
page 5	中山日軍番號調查
page 5	寶安日軍在各山築砲台昨日焚筆架山林木
page 5	東江日軍搜羅廢爛銅鐵又一批運回日本
page 5	移設韶關海關分卡
page 5	保護台山港澳交通
page 5	毫券比率通行省外
page 5	重要決案實施辦法
page 5	博羅晚造歉收
page 5	桂林戲院倒塌慘劇斃三人傷數十人
page 5	粵參議會通過要案廿七宗厲行禁娼穩定金融因應人財力改進新縣制實施計劃請令沿海協剿土匪保護港澳交通
page 5	粵李主席邀約談話
page 5	新開路我克象山控制會城新鶴線木塱舊社一帶有激戰中山日敗兵整理後大部撤退
page 6	法機越泰幾釀空戰
page 6	泰國要求收回失地
page 6	在越僑胞紛紛歸國
page 6	各方加緊救濟桂難民中振會撥二十萬派員急振省振會在邕舉辦小本貸款
page 6	南寧龍州恢復緝私工作
page 6	三水冬耕情況仍因天旱種植困難
page 6	韶倡一仙運動
page 6	港韶道上寫真七
page 6	山雨欲來風滿樓越泰邊境兩軍迭起衝突法機飛越泰領空被泰機驅逐越南我僑胞已紛紛起程歸國
page 7	新客領進口特許證
page 7	特殊人物劃分清楚
page 7	現金擔保數額不一
page 7	申請後兩日始發證
page 7	閩省銀行設華僑招待所
page 7	汽油免稅入口我　府　展期
page 7	海防海口設置障礙物不許輪粵駛入
page 7	桂省義民歸國第一批週內首途
page 7	居民會籌辦學生文藝競賽現正草擬章程徵求獎品
page 7	羅督來春返港昨函　其副官史蔑夫
page 7	越米經澳運港昨已到數千包
page 7	經濟部重訂獎助華僑投資辦法經營上技術上均予指導減免捐稅補助不足資金
page 7	香港居民之請證明書
page 7	移民局昨開始辦公行旅爭先領回港證先填具申請書兩天後始發給各種證書均須黏貼本人照片
page 8	北歐疏散英僑過港留澳英婦孺仍未准歸來
page 8	梁定慧昨飛韶中大服務團工作開展
page 8	九龍發生犬疫
page 8	高級法庭續審刑案斬回侶廚子入獄四年行使偽幣女郎罪名成立大道東劫案兩犯處徒刑
page 8	揮刀傷人
page 8	行使偽幣
page 8	糾黨行劫
page 8	省港通航難成事實白銀丸又宣佈改期來港
page 8	後備消防隊九龍總署開幕代督岳桐到場主禮
page 8	漁協會換物會定廿八日開幕
page 8	西人住宅失竊損失七百餘元
page 8	青年救護團籌辦慈善舞會
page 8	岑伯銘之遺產法庭　准其妻不領
page 8	強盜誘劫菜販掠去二百餘元
page 8	海盜騎劫貨艇四榜人被擄去
page 8	警察當局解散非法會社重要分子均已遞解出境各區歹徒斂跡不敢活動
page 8	秘藏紅丸
page 8	兩人報失汽車
page 8	賭徒圖毆字花師爺疑尖沙嘴字花廠又開假字
page 8	本年底決舉行連續五夜防空演習日期已定俟港督批准即公布上次演習成績較前略有進步
page 10	美艦籃球隊三戰皆北昨又敗于星島
page 10	學界籃球賽後天揭幕各隊健兒名單公佈
page 10	督憲杯初賽西聯陣容排定華聯亦定今日選將國際杯賽下月舉行
