page 1	節約年節消費
page 2	西南行營負責人談Ｘ佔海南島之真象
page 2	汾西一帶戰事激烈我軍殲Ｘ三百我空軍飛霍縣轟炸予Ｘ重創蒙城Ｘ中隊長厭戰剖腹自殺
page 2	蒙城Ｘ中隊長自殺
page 2	我空軍至霍縣轟炸
page 2	豫北溫縣情勢緊張
page 2	我汽車數百輛停留海防傳我假道安南運軍用品由此証明該說實屬不確
page 2	英參謀總長由巴乘機返埃在巴力斯坦時遍訪各地防務
page 2	廣州鮮籍兵大舉暴動擊殺Ｘ軍官兵甚多Ｘ急圍剿激戰竟日
page 2	我軍破壞同蒲鐵路
page 2	我在魯豫皖晉四省一月來游擊戰共殲Ｘ軍一千二百餘名奪獲機槍步槍重炮無算
page 2	綏包路被我破壞綏包段火車不通綏偽軍自相殘殺
page 2	黃季陸昨就川省黨部主委職中央派章嘉監誓
page 2	和順西撤Ｘ受重創
page 2	澳政府連日開會討論戰時糧食
page 2	Ｘ軍改期進攻牯嶺俾外僑遷離牯嶺
page 2	冀中我軍夜襲乘勝入垞里村將Ｘ包圍縱火焚燬
page 2	滬熱血青年愛國運動襲擊偽公安分局向偽警講愛國之道
page 2	美兩洋艦隊舉行秘密演習美海軍在大西洋演習五年以來此乃第一次
page 2	鄂北淅河之Ｘ遭我伏擊殺Ｘ三十餘名
page 2	我軍渡過錢江準備反攻杭州Ｘ甚恐慌我軍退出烏鎮
page 2	根琪斯山岡實布城回佛教徒衝突
page 2	閩北亢熱腦膜炎症蔓延
page 2	沙王謁林主席
page 2	星洲安南兩總督會商英法在遠東合作法大使為海南島事件向日抗議Ｘ我兩軍現仍在瓊州以南激戰
page 3	蘇聯人民贊助第三次五年計劃對於入黨規程各方多有建議主張完全消除入黨岐視辦法
page 3	新山西概談二
page 3	美當局表示羅斯福不擬作歐之遊但歐洲方面能召集會議消弭戰禍則羅斯福亦當不辭踄跋往歐一行
page 3	澳空軍實力增加第一線空軍實力達一百三十二架
page 3	教皇遺體大殮
page 3	西班牙或恢復君主制廢王儲君有繼承王位說
page 3	英政界對西戰觀察政府軍恐難以久持
page 3	法司法部長函各報和戰決於今年
page 3	美航空公司擬辦北大西洋航線
page 3	直市羅陀英要塞可令艾思賽將軍訪摩洛哥由巡洋艦及潛水艇護送
page 3	聯邦航業協會報告美航業已有長足進步本年內擬添造商輪五百艘一旦有事時可改為輸送船
