page 1	國際間之包圍形勢
page 2	鄂北頑Ｘ崩潰死亡在一萬八千以上
page 2	我軍衝入徐州焚毀Ｘ司令部及偽市府
page 2	晉西我軍誘擊大武之Ｘ豫北我軍乘勝包圍博愛豫東開封等地之Ｘ略增
page 2	兩淮殘Ｘ遭我伏擊
page 2	甘兵役行政會議完滿閉幕致電蔣總裁致敬
page 2	Ｘ要求修改滬土地章程遭美嚴詞拒絕反要求日將虹口交回工部局上海租界地位不能濫被改變
page 2	滬華文報四家被勒令停刊大美早報決　不理
page 2	滬受嫌同胞Ｘ偽稱已釋放
page 2	英美法軍艦派隊登陸傳鼓浪嶼Ｘ軍被繳械各國軍艦大集廈海情勢緊張Ｘ機四架轟炸汕市毀屋多間
page 2	國聯禁毒委會討論鴉片問題
page 2	滬Ｘ在租界散發傳單挑撥中英惡感
page 2	五月上半月各戰場我軍所獲戰果斃Ｘ官兵三零四七五人奪獲彈械及馬匹等無算
page 2	湖北方面
page 2	山西方面
page 2	湘鄂方面
page 2	冀魯察蘇
page 2	浙皖方面
page 2	波陸軍總監聘問波羅的海各國
page 2	英大使離渝飛昆轉滬
page 2	綏遠方面
page 2	廣東方面
page 2	增城之Ｘ圖犯博羅我軍反攻新會城旦夕可下鄂中鄂北劇戰我大獲勝利
page 3	英決定在十年內成立巴力斯坦獨立國並與之訂立軍事商務協定猶人對此項計劃表示失望
page 3	全國生產會議宣言二
page 3	加拿大各界歡迎英皇熱烈
page 3	丹麥接受與德締盟
page 3	希特勒對波蘭糾紛曾允不以武力解決作為意德軍事協定之交換
page 3	維持若干商輪以備非常需要船東欲出賣商輪政府有先買之權
page 3	美秘密討論修改中立法案白魯姆主張授特權與總統禁僑民與侵略國發生貿易
page 3	華沙快車脫軌傾覆失事原因甚屬離奇
page 3	英眾院辯論工黨議員提議請國聯禁供給煤油於日本加拿大有大幫鎳礦輸往日本拉里士請政府對此加以注意
page 3	華南兩英輪被扣事Ｘ海軍省代言人談話謂有一英輪助中國運輸其他一輪則無所聞
page 3	英政府續貸我國鉅款
page 3	英日兩國不須打互不侵犯協定兩國均為非戰公約簽字國
page 3	台杯賽中法今日會戰
page 3	滬法界舉行挨戶搜查
page 3	華北偽幣貶值
page 3	我將向國聯提議組織助華機關執行有效方法制裁日本我代表郭泰祺赴日內瓦
page 3	Ｘ俘虜稱受騙來華今後願以己長供獻中國促戰爭早結束共享幸福
page 3	滇路南縣土司遵母遺囑盡揭賻儀中央社十七日昆明電滇路南縣芒市土司代辦方克光
page 3	滬英艦一艘忽奉急令開港
page 3	冀東我獲小勝
page 3	蘇土兩國訂立秘密協定兩國合力對抗任何侵略事情陸軍由土指揮空軍由蘇指揮
page 4	紅磡警署通事勒索疑案押候
page 4	諫當保險公司昨開股東年會
page 4	車輛失事統計去週共死七人三十八人受傷入院肇事多屬私家汽車
page 4	黃啟明追悼會廿七日在青年會舉行
page 4	露救會今結束
page 4	救難會演秦聖樂
page 4	中央院設圖書部
page 4	景光街劫案昨日判決劫匪陳浩耀處有期徒刑二年財昌雜架店劫案三犯亦入獄
page 5	汾水江戰情激烈
page 5	我機隊乘時出動
page 5	新鶴路我移平嶺
page 5	江佛路激戰篁莊
page 5	容桂Ｘ兵積極佈防Ｘ兵在各高地架炮有向中山進犯企圖
page 5	我軍再退出會城後
page 5	小黃圃Ｘ圖進佔
page 5	省府釐定清理各縣積案辦法從寬處辦使懸案早日結束
page 5	四戰區令發召募地方武力辦法儘量收編游及零星武力
page 5	閩永定縣長出巡失蹤
page 5	Ｘ機窺廣九路
page 5	衛生署派隊來粵協助防疫
page 5	我空軍炸Ｘ船拖返廣州修理
page 5	各地組織黨政軍辦事處已擬定組織規程
page 5	中山之備戰與防奸香洲沿海安謐祗有Ｘ艦曾到取水吳飛司令昨日召集所屬幹部會議
page 5	Ｘ到香洲運取食水
page 5	灣仔婦孺自相驚擾
page 5	加派雙哨嚴防漢奸
page 5	吳飛司令召開會議
page 5	省行繼續兌收公債券
page 5	組難童教養團擬定辦法
page 5	裁廣州市黨部由省黨部接收
page 5	省黨部分期推動民訓工作謀速組民眾團體
page 5	寶安縣長梁寶仁返南頭視察
page 5	香洲Ｘ艦昨砲轟官塘Ｘ圖登陸被我軍擊退
page 5	我軍再退出會議城後昨再反攻汾水江戰事劇烈我飛機隊同時出動新鶴江佛兩路戰情Ｘ圖進佔小黃圃不得逞
page 6	我軍突擊廣州外圍
page 6	兩龍墟Ｘ退竄龍翔
page 6	我再佔領福和廖村
page 6	蛇頭嶺之劇烈戰事
page 6	碧江鄉淪陷後十六鄉實行聯防禦匪組設聯防委會選十一人為委員
page 6	馬寧河面我團隊擊沉Ｘ艇撈獲糧食甚多
page 6	三埠軍警處緝奸辦法
page 6	北行八日紀三
page 6	刀光血痕中之唱和
page 6	增龍之Ｘ出擾福田
page 6	我便衣隊活躍容桂大良市內時聞槍聲
page 6	財廳繼續完成各縣金庫
page 6	中山實施禁米出口辦法沿海安謐謠言漸平息
page 6	江門商品檢驗處遷往中山辦公
page 6	我分兩路向廣州外圍攻擊東北兩線各據點之激戰我克廖村向大同中新追擊犯福田九子潭之Ｘ退增龍
page 7	華人自動登記格式
page 7	華人代表告僑胞書
page 7	去今兩年四月份本港對外貿易之比較是年較去年略為減縮出入口總值減四百萬
page 7	九龍各界將舉行國民宣誓典禮
page 7	郎靜山影展明日舉行地點在花園道聖約翰教堂
page 7	提琴名手馬思驄獨奏會本月三十一日舉行
page 7	瓊僑聯會為難民呼籲發出快郵代電請僑胞救濟
page 7	保育會賣物會明日在九龍舉行
page 7	港澳聯防疫症澳客來港須先注射防疫劑
page 7	中國救亡劇團明日招待各界
page 7	運銷英屬布疋改良檢驗辦法
page 7	同舟共濟義所應為華人自動登記昨開始四華人代表發表告全港僑胞書救人即所以救己希望踴躍登記
page 8	全隊七人均屬女性
page 8	日間轉赴東江服務
page 8	呼籲世界制裁日本嶺大外籍教授發表公開函
page 8	學界節約運動得款二千餘元
page 8	更練毆水客罪名成立官命簽立保單擔保不再犯並賠償原告湯藥費五十元
page 8	羅
page 8	毆打原告
page 8	督府行授勳禮華英僑民三名獲獎
page 8	商人被騙貨物價值二千餘元
page 8	泳客慘遭滅頂屍體尚未撈獲
page 8	余穿民裝
page 8	甚為驕傲
page 8	該
page 8	一人觸電慘死陪審員認死者被人誤殺
page 8	廠商聯合會組南洋考察團考察當地國貨銷場
page 8	女青年會定期開紀念會
page 8	保兒會月會紀
page 8	馬會之慈善費是年統計三萬元
page 8	囚犯死因研究
page 8	雖是女兒家有志氣南洋女僑胞回國服務一行七人前日抵港將轉赴東江惠僑救鄉會昨設茶會熱烈歡迎
page 10	澳越山籃球隊今日傾師犯港鑰智記者華雄分日應戰
page 10	知行今開陸運
page 10	學界排球戰績高級保羅初級培英告捷
page 10	南華徵求績分明日止截核獎
page 10	太古職工杯賽訊
page 10	網球表演港冠軍徐煒培擊敗菲選手林珍兄弟及小徐受挫
