page 1	對本港局勢應有之認識
page 2	我軍反攻三江睦洲捷報三江洋美已無Ｘ蹤睦洲昨亦相繼克復中山當局已接捷報
page 2	同蒲路血戰七晝夜Ｘ被圍殲滅中我跟蹤追擊晉城殘Ｘ
page 2	鄂北Ｘ畏我襲加強各據點之工事豫東偽軍改編就緒
page 2	滬工部局總董取銷赴北戴河
page 2	張余李三長官發表敬告吾粵同胞書全文二勉國人澈底抗戰爭取勝利
page 2	但但澤國社黨首領被任為自由市國元首波蘭對但澤態度始終不變
page 2	Ｘ偽犯舊三水被我圍殲
page 2	天津水災嚴重Ｘ軍糧坦克車全浸毀難民數千淹斃甚眾情形嚴重中常會議決撥款十萬元振濟
page 2	羅斯福致希特勒籲和和平全文
page 2	羅斯福研究金融問題
page 2	瑞典內閣開會應付時局
page 2	英法軍事代表團動程返國
page 2	滬上情勢好轉虹口等地日軍人數減少傳大批日軍抵滬說不確
page 2	安藤不滿汪逆因對撤兵事件廣播言過其實
page 2	湘某師士兵幫助農民割禾實行軍民合作
page 2	Ｘ機飛襲閩浙浦城麗水被炸
page 2	倫敦金融市情金鎊價大折扣因傳政府將施行限制倫敦外匯市
page 2	對德蘇締約不滿日將向德抗議反共軸心因此削弱日外交孤立日前決定之對歐政策根本推翻
page 3	羅斯福向德波呼籲和平提出三項解決方針並非再造明興會議
page 3	波蘭備戰情緒已達極點政府限令全國壯丁一律回營聽候命令
page 3	法國全國軍隊一致動員內閣會議一致通過法總理軍事計劃案
page 3	蘇最高委會定期開會各方甚為重視
page 3	英緊急權力法案已獲通過並經奏請英皇裁可將行財政緊急條例
page 3	哈里法克斯廣播態度堅決英斷不肯背棄條約但謂和平尚非絕望
page 3	但澤封鎖但波邊界
page 3	澳洲聲言與英合作
page 3	英國最近備戰情形
page 3	德國巡艦將駛但澤
page 3	比國邊界德軍活躍
page 3	法波頌揚張伯倫氏
page 3	柏林市面寧靜如常
page 3	波報　評德蘇訂約
page 3	英徵商輪準備運兵
page 3	各國兵力作一比較
page 3	日不參加納粹大會
page 3	印度軍事準備完成
page 3	希特勒飛返柏林即召開最高軍事會議德已決定侵略波蘭所取之戰略羅斯福電向德波雙方呼籲和平
page 4	廣州紅十字會推進戰時工作
page 4	偽幣案昨提堂
page 4	巴拿馬領事署宣布停止辦公
page 4	四邑疫症流行希望華僑匯　救濟
page 4	四千元串竊案兩犯被處徒刑
page 4	利便出口旅客港府特製種痘新證書在庫務處發售每張徵費二元種痘後再經醫官簽署即生效
page 5	我大軍雲集廣九路中段寶安之Ｘ有準備撤退模樣中英邊界形勢已趨和緩港寶惠交通之昨日情形
page 5	深圳Ｘ軍昨日動態
page 5	中英邊界情勢和緩
page 5	Ｘ機昨再擾沙魚涌
