page 2	我欲為粵軍將領進一言
page 3	今日眾議院開議唐閣同意案經各黨協議主張退回
page 3	財部擬將天津德奧租界抵押外款八百萬
page 3	陸部擬改督軍為軍長駐地須離省長所在地不得過問民政任官發餉權歸陸部
page 3	十三日眾議院議決送回唐閣同意案內閣今日總辭職
page 3	王揆改代為署令即下
page 3	曹錕捐十二萬維持八校已匯到
page 3	比國允緩付庚子賠款　年外部向比使致謝
page 3	十二日眾議院議決退回唐閣咨文計出席者　百四十一人贊成退回者　百零七人
page 3	唐閣案府院與保洛商議結果先令王寵惠署閣海軍陸軍交通三部仍舊內務孫丹林財政張英華教育湯爾和司法羅文幹農商湯薌銘大理院長政府擬盧信聞洛吳未允保洛欲佔閣員兩席惟無辦法或將任態炳琦為省長以和緩保定
page 3	關稅研究會議決自十三年一月朔日起實行裁釐
page 3	國立八校職員非發薪　月不允開學王寵惠祇認籌一月校長不肯回京蔡元培亦擬出京
page 3	下次國會開常會時聞將提張紹曾正式組閣
page 3	漢口傳湘趙恒惕派員在漢廠已領槍一千八百枝機關槍四挺彈五百箱十一日解回長沙
page 3	駐日公使王寶榮辭職政府徵顏惠慶同意
page 3	聞京漢路南段工人派代表分向全國各路請為粵漢路後援又傳株萍路十一日起罷工安源礦工亦擬一致行動
page 3	昨憲法會議爭論縣制甚烈制憲無結果
page 3	聞張紹曾計劃擬改督軍為軍長離省長駐在地實行軍民分　至任免陸軍官長權由部操以為廢督準備
page 3	聞　財部長張英華擬將天津德奧租界抵借現款八百萬以充中秋節經費
page 3	外長顧維鈞昨向華比商借法郎三十萬發參眾兩院八月份經費
page 3	府院電吳佩孚查辦武長路風潮並嚴防京漢路工人舉動
page 3	魯案善後督辦王正廷昨晚到滬
page 3	聞李烈鈞十一日晚由漢口赴滬同行有參謀長及秘書副官等數十人大約今日可抵滬
page 3	九月十四號北京電
page 3	十三號北京電
page 3	第　期國會　八日閉會第三期國會決定十一月一日開會
page 3	魯省人民三百餘人十一日在京開會反對英國關於交回威海衛之要求議定十二日赴國務院請願拒絕英國要求並聞眾院議員有人對於改為要港一事擬提出質問
page 3	十一日總統令任命梁如浩為收回威悔衛委員長
page 3	李烈鈞乘豐陽丸船定於十四日抵滬
page 3	長沙報告趙恒惕已將陳嘉祐擊退八日通電宣佈陳之罪狀陳之餘黨殆已全被驅散湘南已完全平定現　協議善後辦法
page 3	陳競存將就職
page 3	陳競存往香山謁唐
page 3	葉舉尚未返省
page 3	挽魏再出之聲浪又起
page 3	佛山輪船大伙被印人鎗斃
page 3	同敬工會加薪問題解決
page 6	補錄越飛請開中俄會議之牒文
page 6	江西搜括軍餉之又一法
page 6	新疆綏遠開闢運貨新道電
page 6	上海工會研究會致各工廠之通告預備與太平洋會
page 6	交通部盯期召集路員會議討論獎懲保障暨工人教育　老酬金
page 6	被控行劫瑞億輪船案
page 6	昇明輪船私煙案
page 6	判銷打單案
page 6	被控謀殺
page 6	傳染症
page 6	汕頭羊城電報不通
page 6	不拾遺之可風
page 6	搭客注意
page 6	華民政務司報告
page 6	九廣火車時間
page 6	沙田居民對于九廣鐵路之不平
page 6	大學副監督返港
page 6	改良澳門港海之談話
page 6	私賣危險品被罰
page 6	私煮煙膏判監
page 6	伙伴挾款潛逃
page 6	劫匪就獲
page 6	裸浴被罰
page 6	打架被罰
page 6	行竊判監
page 6	毆打電車查票人續聞
page 6	南華舉行游泳比賽會
page 6	影畫誌
page 6	新劇誌
page 6	新世界加影潮汕風災情景
page 7	南宰控案擱置未批
page 7	法官逐鹿之奇觀
page 7	葡案將重新交涉消息
page 7	財廳長維持紙幣方針
page 7	省署調查政變後各縣情形
page 7	第　師之防務
page 7	財政廳不准增城縣附加丁米串票
page 7	破獲　六甫劫案匪犯
page 7	惠愛中路火警
page 7	佛山理髮金薄兩行工人之劇鬥
page 7	佛山餅行提出加工條件
page 7	梧州兵站裁徹
page 7	學校代表請維持薪俸之批詞
page 7	押店被匪打單
page 7	甲種產價又定期抽發
page 7	煤炭工潮續誌
page 7	郵局通告
page 7	為唐繼堯徵四十初度文
page 7	撮錄台山災民訴詞
page 7	維持省幣之省署問答
page 7	瑣聞一束
page 7	滬交易所停閉續聞
page 7	希土之爭
