page 1	意大利又欲調停歐戰
page 2	土蘇繼續會談會談內容雙方嚴守秘密蘇當希望土國能守中立
page 2	丹列兩中立國輪船分被德潛艇擊沉截留丹麥已向德政府提出抗議
page 2	蘇未必充分接濟德國柏林各報亦不諱言
page 2	捷克軍官二百願為中國服務
page 2	汛美大會通過經濟合作宣言此項宣言共分十條將付全體大會表決
page 2	英全國公民準備入伍英王頒佈明令
page 2	英德空軍激戰英機五架敵德機十五架法方報告雙方損失平均
page 2	蘇聯擴展勢力又侵入列維亞要求與列維亞締結互相協定列外長應蘇聯之約赴莫斯科
page 2	盧森堡附近有劇戰法軍奪得博格森林區德在齊格非附近各地點秘密增兵法軍穩扎穩打逐漸侵入德軍防線
page 2	羅馬天主教皇開和平祈禱會
page 2	駐莫斯科波總領事突然失蹤
page 2	長江英艦抽調五艘回國
page 2	美國運輸視察團分隊出發視察該運輸調查團抵渝後曾向我政府建議多項
page 2	美勞工總會贊成美任調停歐戰但不宜作進一步行動
page 2	擺弄外交上狡計希特勒擬表示願辭職德意會商完竣意外相遄返羅馬張伯倫將解釋對德蘇宣言態度
page 3	蔣委員長為斥汪逆事答記者問
page 3	九月份下半月我軍戰績
page 3	白晉公路戰事我軍極見得手激戰半日克復榆社城
page 3	川康建設方案概要五
page 3	滇緬公路完成行將開始此路工程浩大歷時兩年始成
page 3	美上議院定本星期開會討論中立法修改案料將有一番太辯論
page 3	我空軍突襲廣州日損失甚鉅
page 3	某戰區戰地黨政委會正式成立薛岳商震任正副主任
page 3	李司令長官報告戰局
page 3	助清作戰之陣亡英兵遷葬原係葬於南　墳場今將遷入公共租界
page 3	長沙外圍戰事我軍益趨穩定機動反攻極為得手迭克王公橋諸要點
page 5	掩護日軍犯張家邊
page 5	橫門海面日方情勢
page 5	順屬馬岡沙尾河面偽軍屍體隨水浮沉屍背綴有中順番青年鋤奸團字樣
page 5	行走省容電輪在潭洲河被劫
page 5	粵政府決定維持幣值辦法
page 5	袁華照部反攻深圳經過情形另誌
page 5	飛機一架到處偵察
page 5	新鶴新開兩線戰事
page 5	李漢魂報告粵省禁政實施經過
page 5	粵省府派定宣慰華僑專員經過各處斟酌贈旗
page 5	三江鄉民勇戰省主席傳令嘉獎
page 5	日艦派機掩護輸運
page 5	深寶戰事之經過談
page 5	省主席關懷僑泰華僑被排飭各處保護招待並電外交部交涉
page 5	粵積極計劃調劑民食嚴防穀賤傷農將定公正價格對湘贛鄰省穀米暫停止購運
page 5	韶關中國銀行封存存金
page 5	新會民眾動員會推廣戰時服務著各社團籌組工作團
page 5	令梁卓文代理　政
page 5	財廳稅警開抵南路增防並擔任緝私工作
page 5	港　失業教員調縣訓所訓練
page 5	歌妓請纓抗戰當局大為嘉獎
page 5	日軍又夜犯張家邊不逞昨晨日機飛中山各地偵察新開新鶴兩線連日有激戰
page 7	各界慶祝國慶大會昨開第二次籌備會議慶祝會決在娛樂戲院舉行加推糖商會等為當務委員
page 7	議決事項
page 7	慶祝秩序
page 7	上市暫停改建
page 7	新界上空發現三怪機機翼塗有紅圓形徽號
page 7	順德同鄉賣物會再展期
page 7	西摩道紅丸案兩被告一詳臬一獲釋
page 7	德軍狂炸中立國商船各國船舶遭害者已十艘
page 7	港府統制金融全港銀號須一律登記鍾達清謂不致影響業務
page 7	擦鞋童被殺案捕獲疑犯一名
page 7	中區自衛團正式成立各大行商均組隊伍已完成者共八大隊
page 7	天雨路滑新界大埔道軍運汽車誤墮深坑全車毀碎一印兵被壓慘死兩英兵受重傷送醫院救治
page 8	截劫疑犯詳臬
page 8	血案獲一疑犯
page 8	生豬源源運港肉食無虞缺乏
page 8	被告獲釋深表歉忱
page 8	招考人員案李志堅無罪獲釋放警方無法證明李有同謀嫌疑證人口中之主謀人在嚴緝中
page 8	納粹黨之內幕將在銀幕公影
page 8	劉為立傷勢昨轉劇
page 8	中華救護隊第四隊將出發
page 8	銅鼓島海盜又劫貨艇七賊均持犀利鎗械艇上財物被掠一空
page 8	金牌象棋賽董文淵獲冠軍周德裕連夕均大敗
page 8	望有機會回國服務
page 8	電器商品研究會新職員 已選出
page 8	戈思默夫人抵港
page 8	伶人回國獻金牌
page 8	何愛英二比○威震英倫榮獲達碧歇爾錦標
page 8	香港足球總會昨日舉行會議米杜息決再加入甲組聯賽雙十節義賽中西人選公佈
page 8	全港華人水運會定明日開始舉行預賽參加女健兒為數甚寡男子方面則比較踴躍
page 8	今日心嘉杯賽程
page 8	英政府諭令海軍志願兵準備入伍服務商輸隊員抵埠時即須報到如不遵令辦理以逃避兵役論罪
