page 2	對於蔡元培等政治主張的批評四
page 3	政府電何剛德否認增兵入贛
page 3	吳佩孚對贛甲和平主義以粵軍駐南雄北軍駐南昌要求粵省同時停戰乙武力主義援贛軍駐九江常德盛沈鴻英為左右路司令吳自任中路以南昌為大本營贛州為第一防線蕭安國任之
page 3	昨閣議黎元洪出席一財部提出煙酒署收支各款統一案照辦二甘省財政廳任陳能怡三熱河財政廳任王世榮四甘省涇原　任樊鼎樞
page 3	湘省電國務院本年四月起決將全省肉稅作教育專款
page 3	魯案第　部委員會五次會議日委員提出公產細目並報各支費表　本年三月三十一日止總　租借地內一八二七萬五六八六元鐵路沿線一九七萬五一六九元決交公產分委員會審查十　日魯案第一部委員會　次會議一日委日提出產細錄其總數分租借地內及鐵路沿線共二零　五零八五七金元細目分民政遞信陸軍　部另列表二決定交公產分委員會審查前開財產目錄
page 3	聞李烈鈞攻下吉安後又得新淦新喻崇仁各屬民軍為之響應蔡成勳分守豐城臨川瑞
page 3	　待援
page 3	吳佩孚擬調胡景翼一師及魯省張克瑤旅援贛並擬親自入贛指揮
page 3	津訊直省召集地方會議聞各縣團體均派員與會
page 3	聞直省自治會勸告熱察綏各議員勿加入省議會開會
page 3	府院以用　北附特　再　雍十　日到鄂請蕭耀南派員會同赴川宣慰
page 3	保定方面因舊國會函會期近已派員與議員接洽並籌選舉運動費
page 3	聞汪士元等條陳在直豫魯三省發行鉅額公債
page 3	黎元洪擬任陳炯明長粵並授靖威將軍
page 3	張國淦以鄂人拒湯薌銘到任力謀繼任長鄂但鄂除蕭耀南自兼外恐難得曹吳同意
page 3	粵軍布　計劃
page 3	陳炯明赴和平督戰之消息
page 3	西報所紀之粵事要聞
page 3	鄭里鐸又有宣言
page 3	民軍阻塞河道
page 3	戰事損傷　有一說
page 3	溫樹德最近之行蹤
page 3	魏邦平並未離省
page 3	食水尚未充足
page 3	香山船救　命
page 6	　軍政會議
page 6	董康之
page 6	攻贛各軍之最近戰報
page 6	林虎之蹤跡
page 6	為　　會所用之物黃君供　連
page 6	被控開三合會案
page 6	被控案賭
page 6	九廣火車恢復交通
page 6	傳染症報告
page 6	銀價
page 6	　由　提議
page 6	西婦被賊攔途截搶
page 6	　經連姻之西訊
page 6	馬小進之海外壯邊
page 6	颶風經過之調查
page 6	業主控屋客案續聞
page 6	寰球樂演劇誌
page 6	火未成災
page 6	上海預備歡迎美海軍部長
page 6	世界最大帆船被燬
page 6	禁運麻醉品往美
page 6	劫案一束
page 6	軍火案
page 7	省報述北江戰事詳情
page 7	省報述電力罷工之經過
page 7	韶關來客口述戰情
page 7	沙　消息之別報
page 7	飛機　北江
page 7	政變　之　民損失
page 7	曲江縣囚犯越獄不成
page 7	請限制施放生電
page 7	嗚呼共和紀念日
page 7	　開　言布中立
page 7	廖仲凱釋放之　聞
page 7	黃強抵省
page 7	加兵　守兵工廠
page 7	　環列　鵝潭
page 7	商　軍巡資之得力
page 7	南屬民軍蜂起
page 7	遺失屋契請發還
page 7	和平維持會良求免戰
page 7	擾攘中之佛山景況
