page 1	抗戰中之青後節
page 2	綏東發生激戰綏北Ｘ趕運彈藥補充
page 2	晉戰我獲勝晉中克十餘村晉北交通被我破壞
page 2	滬財政商務星期報發表滬金融交易所檢討文中國必能繼續維持其外匯地位華北偽幣大跌商業因此極混亂
page 2	政院議決難民移墾綱要擬暫定於川陝等省設墾區十處各墾區擬移送難民平均二千人
page 2	贛北我軍克張公渡
page 2	Ｘ機多架狂炸重慶目的似為某某軍事機關幸各機關早已事先疏散
page 2	林主度在中樞紀念週報告三怎樣實行精神總動員集結國民精神替國家民族奮鬥實行八德以澈底改造精神生活
page 2	有三個實施的要義
page 2	兩戰都是缺一不可
page 2	Ｘ機四架轟炸寧波
page 2	鄂中我渡襄河出擊克漢宜路南三要點漢水沿岸我大軍出動追Ｘ鄂東我軍克麻城進攻宋埠
page 3	英新建主力艦行下水禮該艦三萬五千噸速力戰鬥力極強
page 3	葡以最榮譽勛章贈與英王
page 3	羅意談話完畢羅外長返國
page 3	英國兵額增加
page 3	英下院否決減低煙糖稅率
page 3	滬各界沉痛紀念五三發表告民眾書電慰蔣委員長
page 3	Ｘ又扣留德輪
page 3	西安舉行革命宣傳週全市青年踴躍參加
page 3	美商輪高登號由定駛甬被劫
page 3	牯嶺英僑財產英催日方交還
page 3	蘇北我軍克復泗陽沭陽
page 3	法政府命令禁日貨輸入法國各屬但絲及樟腦不在此例
page 3	美謀充實戰鬥力量修正軍事動員計劃案戰爭爆發三月內能動員武裝百萬人一萬所工廠接受戰時工業動員計劃
page 3	南非聯邦下令壯丁登記
page 3	反侵略陣線不再包括遠東日對軸心國家貌合神離英欲籍此使日脫離德意
page 3	意德將以聯合行動向民主國示威德外長赴意將討論波蘭問題德輿論界攻擊波蘭愈劇烈
page 4	去月份得雨十七寸餘
page 4	截劫案昨詳臬
page 4	永明保險公司歡迎駐美監督
page 4	中美文協分會明日舉行成立禮
page 4	劫艇案昨提堂
page 4	少婦投海獲救
page 4	波音機將到港昨已由美起飛
page 4	粵教廳收容戰區員生本港九龍均設登記處並在九龍籌設一女校
page 5	合洞山前血戰劇烈
page 5	Ｘ犯鶴城最近目的
page 5	Ｘ機轟炸高明一帶
page 5	中山禁止藉詞籌餉
page 5	會城之西我軍出擊
page 5	四戰區獎勵擊落Ｘ機
page 5	下令封鎖西江各鄉河道
page 5	我軍增兵警戒後瀧水墟內尚甚寧謐
page 5	省當局進行振興蠶業籌設五育蠶區舉辦蠶農貸款
page 5	籌設新區選運蠶種
page 5	蠶農貸款繼續舉行
page 5	東　遊擊隊夜襲鹽步Ｘ營
page 5	廣州劫案近誌
page 5	保衛潮汕之重要策劃舟車統制財政公開短期內決強制疏散人口
page 5	繼續疏散
page 5	組會救童
page 5	嚴查舞弊
page 5	拓林被擾
page 5	被扣外輪
page 5	省委分區出巡
page 5	我軍克復嘉積市我游擊隊勢力浩大
page 5	在韶設處辦理粵北鹽運稅收
page 5	廣州附市各鄉土匪擄牛
page 5	河南茶樓發生血戰
page 5	Ｘ在江會抽兵增援新鶴路會城西我軍乘時進攻會城Ｘ又迫進鶴城我軍迂迴包抄中山安謐當局乘時整理縣政
page 6	炮轟增城燬Ｘ堡壘
page 6	Ｘ砲遙擊我未受損
page 6	Ｘ機出動炸我陣地
page 6	新街Ｘ窺三華被殲
page 6	馮涌官窯Ｘ情一瞥
page 6	神岡Ｘ為高田部隊
page 6	從化之Ｘ欲犯鰲頭
page 6	險峻之古兜山擬建立游擊隊根據地五區軍當局已派員積極進行
page 6	省府嚴令各鄉保護森林如有焚燒盜砍嚴懲
page 6	督導團隊專員沈梓卿昨抵汕與記者之談話
page 6	吳菊芳離汕來港擬發動大規模之捐募
page 6	潮韶道上汽車失慎尚仲衣重傷斃命
page 6	容桂Ｘ軍令各鄉建築街閘
page 6	岐關公路客車傾覆死傷十餘人重傷三人
page 6	東北兩路軍事續訊增城連日我Ｘ炮戰頗烈北路Ｘ犯三華店被擊退
page 7	運汕免稅米將足額四邑交通不便辦運仍少
page 7	西加士輪Ｘ方尚未放還
page 7	Ｘ截擊歐亞機Ｘ大使曾將行蹤預告Ｘ當局幸臨時改搭別機得免受驚
page 7	英巡艦隊司令梅禮啟程來港
page 7	三賊截劫西婦
page 7	澳門水電公司優待本港廠商允減水電費利便設廠
page 7	全港報界前日刊載一段驚人肺癆蔓延消息對於防衛肺癆保障以唐堯齡療肺聖藥為防患肺癆之良劑
page 7	名劇黃花崗昨夕正式公演
page 7	偷駕汽車案九龍不斷發生
page 7	石美玉昨抵港婦節協會今日開會歡迎
page 7	廿五年來之第一次蘇艦隊將來港本月六日可抵馬尼剌十二日離菲來港觀光
page 7	學界紀念五四運動各大中小學均休課一天五七並聯開紀念大會
page 7	澳門紅窗門街昨塌三屋死傷數十人已挖出尸體二十具送鏡湖醫院全體消隊員深夜仍在挖掘中
page 8	粵慰勞會募得大批藥品
page 8	婦女兵災會捐助各方賑品
page 8	蘇安平要求與夫分居官命押候九日再審
page 8	僑港會寧同鄉昨成立籌賑會
page 8	又一農戶被劫
