page 1	論日本經濟外交
page 2	大開倒車招商局北洋班遇順　機器全部反裝幾生不測開順車軍退走開倒車反向前進幸船主機警倒行逆施台得脫險
page 2	蔣委員長留居中山醫院
page 2	黔省亢旱成災米價騰漲人心焦灼各縣紛向省府報災
page 2	四省特展會在湘展期開幕
page 2	建築滄石路問題應由鐵部負責自於地方當局不能有所主張
page 2	林主席昨參觀美展會
page 2	劉建緒出巡於潛昌化
page 2	京杭國道綁票案已獲得新線索捕獲老媼一人承認其子不肖
page 2	某方奪我富源竟在察境開礦
page 2	宋子文決定下月赴川一行
page 2	徐私糖雜解決奉財部令開標拍賣
page 2	各國均願訂成糖業協定
page 2	日同文書院學生組團來華遊歷
page 2	京滇週覽團昨冒雨進鎮遠料抵鑪山必已入夜
page 2	駐平日兵又復實彈演習
page 2	皖省府準備移交手續
page 2	抗日將軍李杜意態消極北返消息仍甚沉寂
page 2	中華籃球隊勝神戶華僑隊
page 2	人為刀俎我為魚肉日報傳英向日照會建議在華中英合作英承認滿洲組織存在及日在華北特殊利益日本則尊重英國其在華中華南之既得權益日外務省對此種消息尚加否認
page 3	蒙藏會呈准國府賜沙王等禮品
page 3	日本謠傳不久即可平息日使館秘書清水談話
page 3	朱慶瀾飛蓉晤當局商振務川災救濟協會籌委會議決請中央增撥賑款
page 3	修築黃河　橋舉行開工典禮工程需時一年餘工款約八十餘萬
page 3	程潛昨返抵京劉為章日內出國
page 3	朱劍帆夫婦慨捐鉅資興學國府明令嘉獎
page 3	中比使節升格手續經已完成人選將可發表
page 3	中政會討論土地法案本案關係國民經濟各委員多發表意見
page 3	美議員馬田大斯氏向眾院提議召集國際貨幣會議羅斯及赫爾氏表示不願負此項責任
page 3	財相廣播演說述明增稅理由
page 3	橋本中村返津
page 3	英預算案虧空達千餘萬鎊張伯侖向下院提議增加新稅此種新稅用作完成國防程序
page 3	匪類惡作劇專毀女生美容使人破皮血出彼即乘車飛遁
page 3	各黨派之意見多數贊成新稅
page 3	為西叛軍封鎖口岸問題英下院又引起辯論工黨領袖稱如其所封鎖者且為糧食則英政府直默認聽令婦孺死於飢餓
page 3	奧總理赴意訪問墨索里尼
page 3	菲律賓獨立問題談判甚有進展
page 3	美傳中國將大舉借款建築國內鐵路
page 3	艾登赴比此行性質重要
page 3	助西叛軍德兵一團突起譁變不肯赴前線作戰
page 3	德政府下令解散猶人團體停辦希伯萊語學校
page 3	羅斯福提議修改財政預算裁減各部院經費
page 3	英運米船偷進比爾布港衝破西叛軍封鎖線
page 3	英皇加冕意國不派專使英意邦交未睦由此可見一斑
page 3	土總理過保返國
page 3	冀察國外旅行團由張自忠率領明日赴日　行共十七人共分軍政工商航空四組津市長職　由秘書長馬彥獅下下下代拆代行
page 4	　閒網球賽芬洪得決賽權今日有單打決賽一場
page 4	分區兒童田徑賽九龍將舉行預賽今日開始報名十二日止截選出代表後與香港　決賽
page 4	東方明日赴菲離港前三比賽均敗北昨日之戰五對三南華華勝
page 4	普通　籃球賽青年會克港大成績六十一比三十三
page 4	華南中學開運動會昨第一日之成績今日續舉行一萬公尺等競賽
page 4	世運游泳冠軍赴日表演昨過港昨晉廣州今返港轉搭日郵前往
page 4	籃球裁判會學運會今明兩日開會議均假陣青年會舉行
page 4	港市美匯頗活躍英匯市道檢靜
page 4	美對英匯兌轉縮
page 4	英美銀價昨趨跌
