page 1	日本米內新閣之出現
page 2	鄂中日軍動搖鍾祥方面我已完成包圍形勢
page 2	蘇聯發表與瑞挪兩國來往照會
page 2	蔣院長喚起國人尊重小學教師特發致全國小學教職員及社會人士電
page 2	菲華僑通電討汪
page 2	汪又主和電蔣要求接納
page 2	滬英總領事任滿歸國
page 2	政院會議
page 2	陳教長離築返渝
page 2	中法教育金委會開廿八次會議
page 2	滬又一暗殺案俞葉封被刺殞命
page 2	平漢路日兵軍中地雷斃日軍官百餘
page 2	青島日當局開放海旁第四號碼頭以供外國輪船靠泊之用日當局此舉係討好美國
page 2	黃浦江中覆沒一小汽船
page 2	駐愛美公使突然赴比就職
page 2	泰戈爾函蔣委長頌賀
page 2	贛北我骨雨夜襲奉新鄂南襲大冶斃日八百晉南長治日增援似有南犯企圖
page 3	日美商約尚有旬日滿期米內內閣之趕急成立在企圖打開日美僵局
page 3	經濟危機暴露日紙幣發行額激增數達三十八萬萬日圓通貨膨脹信號已發出
page 3	蘇聯天空步兵開始試用
page 3	德警大捕捷克軍官自耶誕以來幾達八百名
page 3	日首相就任後昨發表開場白對華贊助新中央政府成立對內則將盡力安定人民生計
page 3	荷比邊境尚駐德國重兵荷比向德提出抗議之後邊界附近當惡可作窮想
page 3	蘇空軍大炸芬蘭芬向各國呼籲請各國接濟多量戰鬥機以抵抗蘇軍之優越力量
page 3	羅期福致書下院請通過附加海軍經費加緊進行海軍建設計劃
page 3	瑞典選車赴德購運大批煤斤
page 3	日靜岡縣大火禁房屋八千座無家可歸者四萬人全城焚去三分之一
page 3	日內瓦講壇報評論日本政潮
page 3	岷尼拉發生幼童癱症多年
page 3	法外部警告各中立國德蘇將有大規模之軍事動作倘有被侵略英法願盡力支撐
page 5	日軍圖犯西園竹坑
page 5	最近日兵增援九江
page 5	江門日倉庫之被焚
page 5	我軍猛攻獅嶺軍田粵路日主力繼續南退銀盞　日軍竄清遠境視野炭線我克炭步大窩
page 5	日軍倉惶向南潰退
page 5	掩護清遠殘部潰退
page 5	趙師刻取包圍形勢
page 5	發揚粵北勝利精神張余李三長官發表三文望粵民再接再厲爭取勝利贈給傷兵慰勞金每人六元
page 5	甲告　省同胞書
page 5	乙告受傷將士書
page 5	丙告被難同胞書
page 5	日偽四出騷擾江佛鄉民拼死抵抗戰誓以熱血保衛桑梓日偽被殺者數十人
page 5	瓊島我軍衝入臨高花場日艦觸雷重
page 5	廣州日軍突施戒嚴
page 5	鹿地亙由前線返桂林詳談對日軍宣傳經過
page 5	沙頭日偽軍再犯大良大二嶺之激戰我團隊繞道夾攻日偽向沙頭敗竄
page 5	台山米荒嚴重當局舉辦平糶
page 5	日軍進犯粵北被殲經過僅從化牛背脊一役殲其數千蔣委員長對抗戰軍民甚滿意我方仍不免有未盡完滿之點
page 5	進犯目的
page 5	繆軍扼守
page 5	總結來說
page 5	殲其數千
page 5	惠陽各界組糧食維持會
page 5	東路戰訊近誌白馬圍被我攻克日軍又復據莞城
page 5	江會日軍又揚言進犯台鶴其實增兵九江圖護廣三側翼江會日軍昨曾犯竹園被擊退江門我便衣隊焚燬日軍倉庫
page 7	艾委員長精神極佳
page 7	我得天時地利人和
page 7	士氣旺盛軍民合作
page 7	兩人誤墮虎阱經一日夜始獲救
page 7	張寶樹追悼會今日下午舉行
page 7	龍船灣又一貨艇被劫貨物損失值六百餘元帆　槳櫓亦被賊毀折
page 7	警官侍役自殺從四樓跳下殞命
page 7	粵新運婦女會籲請捐助藥品
page 7	蘇輪沙蘭加仍未獲釋船上載有鎢砂一千噸船主認係運往莫斯科否認運德
page 7	前夜得雨二厘
page 7	英輪來港修理推動機中途損壞
page 7	王泉笙在歡迎會中演講我最後勝利為期不遠我國天天增強日本天天削弱日不能亡我國
page 8	萬生牛欄巨劫案詳臬老婦犯接贓罪簽保獲釋
page 8	石堆作供
page 8	代為保管
page 8	余妻之物
page 8	休班時期
page 8	首飾款項
page 8	日海軍又焚三漁船數十漁人幸獲脫險
page 8	獻劍慰勞團募得二萬餘元
page 8	維多利亞會香港支會近狀
page 8	中華救護隊各隊人員無恙第十隊已安返韶市
page 8	協會乒乓賽頒獎仍未有期俟與澳隊商榷後始決定
page 8	女子籃球六路英雌形勢
page 8	甲組銀牌第二週南華華整陣迎若瑟本星期六會於加山
page 8	華人旅行青山
page 8	記者小型球隊今日分兩隊對外
page 8	籃聯會今開會議
page 8	衛生局　緊防癆工作望富人捐款建療養院對取締亂吐痰涎決另訂新法例違者將處以二百五十元之罰金
