page 2	黎元洪可以出矣
page 3	黎元洪　一日點鍾由天津　　入京
page 3	秦皇島奉軍潰退計直軍力日　取山海關
page 3	　說黎元洪仍未允入京
page 3	曹錕吳佩孚代表離津
page 3	周自齊不肯延長攝政
page 3	浙督盧永祥態度稍緩和有疏通餘地
page 3	國會移京如總統問題未決則先承認現內閣
page 3	熊炳琦高恩洪李濟臣同赴保定會議某代表主召各省代表到京開裁兵會議或在黎宅請黎主持曹錕無言吳佩孚表示可行
page 3	馮玉祥電曹錕願公為將來正式元首此時幸勿輕出
page 3	張紹曾通電從黎元洪六日電進行廢督裁兵
page 3	聞張作霖接吳佩孚休戰條件後已派張學良赴秦皇島與直軍代表議和
page 3	又一說吳佩孚代表彭壽辛須奉軍先退關再開和議
page 3	外長顏惠慶九日已回京
page 3	吳佩孚以邊守靖宣傳曹錕為臨時元首影響時局電令楊以德切勸
page 3	王承斌九日回軍糧城吳因有人主舍黎元洪擁曹錕認非時機勸錕勿急求恐生反響失去將來機會錕亦謂然
page 3	吳佩孚力主擁黎黎左右亦勸暫行總統職權故黎已允偕王士珍赴京
page 3	外交團咨外部速復京奉路交通
page 3	傳黎元洪因孫文盧永祥通電反對徐世昌又暗中阻撓故未概然就職
page 3	吳景濂王家襄語人除黎復職外均不合法
page 3	張志譚條陳曹錕吳佩孚力主黎元洪就職後以靳雲鵬組閣
page 3	聞張作霖電擁黎元洪願取消東三省　治
page 3	黎元洪　對外宣言甚難落筆已請王寵惠張紹曾研究
page 3	周自齊九日宴閣員名流對時局決分促各方速謀解決
page 3	交通　通告無論經機關及個人如有擅將國有民　　成成未鐵路及其財產抵押借款一律無效
page 3	曹錕吳佩孚十日通電謂廢督裁兵請自隗始
page 3	周自齊八日通電代行總統職權斷難久攝請速選臨時總統以維大局
page 3	閣揆　廷芳說甚盛如伍不來聞　寧以顏惠慶代理訊
page 3	汪士元辭煙酒督辦已准
page 3	吳佩孚電鄂蘇湘三省軍隊湘軍如有舉動宜取守勢勿輕與彼接觸
page 3	蘇魯各督均電復黎元洪擁黎就職及贊成廢督裁兵前華會日本首代表加藤氏有繼任組織內閣訊
page 3	孫中山赴三水再誌
page 3	又有維持紙幣新法
page 3	兵工廠製造子彈忙
page 3	電催關國雄所部赴攻贛前線
page 3	葡兵慘殺華工案續誌
page 3	客棧工　要求　　聞
page 6	電事緊急中之贛聞
page 6	直系擁黎之內幕
page 6	湘軍出兵攻贛說
page 6	旅滬　議員之派
page 6	最　列強　對革態度　國公使　助中國統一
page 6	豫局恐有變動之外報馮玉祥四次辭職
page 6	日本繼任內閣
page 6	銀團對德借款無結果
page 6	重組中法銀行辦法
page 6	上海工人週刊主筆被監禁
page 7	軍官密議復弛賭禁
page 7	招商投承全市糞溺
page 7	鍾景棠再請維持紙幣
page 7	攻贛官報彙誌
page 7	澳總商會函詢工界意見
page 7	澳案要聞
page 7	香山防務誌要
page 7	大本營　兵近記
page 7	中央兵站要聞
page 7	陸軍部令各軍勿截留稅捐
page 7	省長訓誡伶人之言
page 7	兵　守備隊怕鬼
page 7	鎖聞一束
page 7	粵軍第五路司令部
page 7	不准典按善產辦平糶
page 7	火車上　逃犯
page 7	工會控案
page 7	軍人　鬧　續誌
page 7	電船罷工
page 7	東華醫院會議紀要
page 7	輪船折回
page 7	煙業研究工會開幕紀盛
