page 1	異哉所謂華北緩衝區
page 2	駐漢日軍陸戰隊又一批乘艦到漢日艦駐漢取聯合行動陸戰隊抵漢後即登陸
page 2	日艦到北海已準備戰鬥部署翁照垣部已　出北海中日調查　均已登陸
page 2	日軍參謀部次西尾訪永野密商時局又擬向我各地擴大警備權
page 2	居正程潛等昨抵京居談桂局解決經過桂軍商定共編步兵十六團白健生留桂積極輸復員
page 2	粵省警界購機一架壽蔣定名廣東警察號
page 2	滬日領館警察拘捕反日韓人
page 2	滬日商蒙生案獲三兇手
page 2	盛傳日將向我提四項無理要求我外交當局決暫取緘默態度日將連合成都北海漢口各案向我交涉又有所謂成立親日委員會之奇特要求
page 3	中常會決議紀念國慶辦法本年不招待外賓舉行 代表慶祝會
page 3	實部關懷湘米運銷粵省將在湘設置檢驗所力求湘米品質改進
page 3	華北日軍演習
page 3	粵治河委會隸屬粵省建廳已由國府備案
page 3	傅作義撥款千元為雲繼光治喪
page 3	譚延闓逝世六週年國府舉行紀念林主席報告譚氏事略
page 3	義教人員訓練班討論改進辦法
page 3	衛生署意閩省防疫
page 3	陳漢光赴歐攷察軍事顧問姚萬年同行所部由葉肇接充
page 3	東北大學決定移往西京
page 3	胡宗南抵蘭後甘人極表歡迎
page 3	英大使許閣森今日呈遞國書
page 3	國選總所訂定廢票標準
page 3	太古湖南號輪中女客投海自殺遺有照片手書各一
page 3	大利船案不久當可解決
page 3	行政院例會議決張之江錢大鈞等加給上將銜任命譚紹華為墨國全權公使
page 3	報告事項
page 3	討論事項
page 3	任免事項
page 3	西國叛軍圍攻首都政府軍傾全力應戰
page 3	亞國代表出席國聯問題意政府態度強硬亞皇飛抵日內瓦大受歡迎意代表仍在羅馬聽候消息
page 3	太平洋空線定期開始試航
page 3	中國棉產豐收美棉大受影響
page 3	奧政府下令編組義勇軍
page 3	德軍大操演試驗戰鬥能力
page 3	日皇參加大操北海道嚴加警衛
page 3	英法兩巨頭談商減軍問題
page 3	日兵工廠職工概須退出工團勞工派紛起抗議
page 3	德蘇增進貿易不受反蘇潮影響
page 3	十年久別喜重逢蔣委長出席黃埔民眾歡迎會希望黃埔父老兄弟大家相親相愛共同努力下做成真正革命的黃埔
page 4	華雄體育會乙組隊出戰紅星今日下午在露天球場
page 4	本港童軍舉行週年水運會假域多利會為比賽地點
page 4	全港公開排球賽今日開始報名陳鏡湖報效全場獎品
page 4	英京銀價昨轉縮
page 4	本屆足球賽廿六日開幕中華會遭南華華九龍會戰頑旅華塞斯南華南海軍之戰改期第一日甲組四場有可觀
page 5	日前異運之黃埔生蔣委長將准其自新現已設法羅致歸來
page 5	居程陳昨晨飛京
page 5	市小教職員通電問題之昨訊史元濟已被撤職
page 5	中央軍師長北返
page 5	廣州長途電訊胡宗南偕劉建緒來粵訊鄒琳將再來粵商發公債桂省會又有遷回桂林訊
page 5	僱輪拖運軍回防
page 5	省府令撤陽春古良出口捐
page 5	粵土布業召開緊急會議討論布疋出口退稅辦法
page 5	菜蘭商人決北上請願撤銷出口稅昨開聯席談話會
page 5	贛南礦工代表請撤銷鎢礦統制今午謁蔣行政院長
page 5	陳漢光起程赴德
page 5	改編翁照垣部蔣委長已撥交改編費翁部編入五路軍仍駐桂省訓練區壽年改任五路軍之重要軍職
page 6	理髮工人之掙扎與女子理髮業競爭擬增開夜間工作
page 6	傷者近況
page 6	撈獲屍體
page 6	何鍵視察
page 6	家屬請願
page 6	拯救機車
page 6	淩氏北返
page 6	張君嵩計劃擴張緝辦法
page 6	當街借刀自殺之奇案被撤差後流離失所神經受病自斬受傷
page 6	番禺沙龍神山兩鄉機鬥已和息
page 6	杯酒聯歡
page 6	四百餘名商委刀又之團結成功即席選出國選候選人堅決要求改組市商會
page 6	港務局決定改組廣州設局汕瓊改所
page 6	防空處長兼東區綏靖公署參謀長華振中
page 6	禁煙委會秘收易健全談
page 6	一五四師巫劍虹部
page 6	鐵道部業務司長陳清文
page 6	社會局委馮玉田為仁愛善堂救護隊長
page 6	省立順德農業職業學校
page 6	先開會議
page 6	以憑共同研究通過主張
page 6	選人履歷
page 6	易家灣撞車詳情淩鴻勛昨北上視察何鍵北上曾下車視察認汽車司機失職重傷者續在醫院畢命火車頭尚未吊起
page 7	應瑞艦長陳永欽談北海現有日艦八艘海面形勢頗為嚴重陸上如何則未明瞭
page 7	由海口來昨千抵港
page 7	來港純為添購煤糧
page 7	王博士昨赴澳門
page 7	徐昌成
page 7	謝剛傑
page 7	史德基
page 7	王寵惠
page 7	蕭佛成
