page 1	德國外交形勢
page 2	乒災水災交煎下冀魯兩省大饑饑民至少有四百萬滋養不足疾病流行
page 2	黃花節日林主席播講
page 2	晉南日軍自殺潛逃甚眾我軍連日仍加緊進攻粉碎日封鎖山口企圖
page 2	粵籌備討汪鑄奸大會
page 2	軍政部巡迴劇團由粵抵桂
page 2	浙江省政府加強浙省棉產棉花市價每擔七元半
page 2	桂規定獎勵參加抗戰學生
page 2	菜蔬商拒絕參加滬偽市場偽市場開業無期
page 2	滬英商會主席波惠爾之演講彼信賴上海前途亦信賴中國前途
page 2	孔祥熙設茶宴款待司徒雷登
page 2	王逆克敏由甯返回北平
page 2	中振人才調劑會昆明主任派定
page 2	甘青慰勞團赴綏前線勞軍
page 2	我將借英法資本建築滇緬鐵路以滇省礦產為抵押
page 2	湘臨參會電慰負傷將士
page 2	廿六屆國勞大會定六月間開會
page 2	豫各界響應傷兵之友運動
page 2	英軍防線展長接防法軍一段防線
page 2	重慶銀行界會議決定支撐法幣價對付汪精衛破壞法幣外匯陰謀
page 2	美驅逐艦京號尾部藥庫爆炸
page 2	一德輪載滿生鐵被英潛艇擊沉
page 2	新總理沙威治定期後日出殯
page 2	全世界上年白銀產量共有二萬萬餘安士
page 2	吉利浦斯乘機飛三藩市
page 2	英政府發表英西借款協定目的助西班牙促進復興工作
page 2	法政府向羅定購大批汽油
page 2	邕賓路我軍進擊心墟邕欽路日軍困守據點新會日軍向南竄擾戰況至烈
page 3	蘇聯徇法要求召回駐法大使因其有干法內政之嫌致引起法政府之不滿
page 3	南僑慰勞團發起人陳嘉庚莊西言等抵渝南僑慰勞團已分兩路回國
page 3	芬蘭天然資源為各方所注意預料德將成為芬蘭一大主顧
page 3	日國會會議昨日宣告休會通過議案百三十六件
page 3	陳嘉庚談僑胞愛國
page 3	英內閣未必改組但或在內閣之內再產生一小內閣
page 3	奎松最近演講甚為菲律濱官方重視謂此為奎松對菲美關係之表示
page 3	轟炸施爾特島加澳機師參加
page 3	加拿大總選自由黨獲勝利
page 3	日軍掠奪潮汕國幣
page 3	法總理雷諾發表堅強廣播法戰爭目的仍不變更新內閣立即有所動作
page 3	德意蘇互相猜忌同盟之議幻滅蘇未肯放棄其對巴爾幹決心德蘇合作初步談判進行不利
page 5	鶴山情勢又覺略鬆
page 5	袁部參加反攻江會
page 5	日軍釁圍中山八區
page 5	岐關通車未能確定
page 5	我軍乘日偽空虛大舉反攻容奇小欖小欖日偽回救容奇我復乘機反攻小欖戰事激烈為順德所僅見
page 5	石龍日軍增加我軍戒備防其南犯日艦突開到大亞灣我已增厚尚海防線
page 5	日艦突開到大亞灣
page 5	誤報軍情犯兵槍決
page 5	寶安稅收並無影響
page 5	侵靈山日軍全線總崩潰我分兩路向日兵窮追克復靈山城比限定時間提前一日殘餘日兵徘徊武利一帶不敢再進平銀江西岸之日軍蠢動被我擊退戰局重心現轉移靈山之南
page 5	電告三路反攻詳情
page 5	繼續窮追潰退日兵
page 5	我軍活躍欽邕線上
page 5	高雷方面最近情況
page 5	軍委會某長官之粵南軍政談話漢奸土匪銷聲匿跡
page 5	湘桂鐵路火車相撞僅輕傷旅客工友五人搶救迅速即晚已通車
page 5	汕海日艦他駛
page 5	粵推進戰時教育施行十項要政配合新縣制
page 5	桂行營派員視察四邑役政
page 5	仁化縣府鞏固邊區治安
page 5	民樂市之虛驚
