page 1	調整黨政機構
page 2	宜昌東北郊大血戰傷斃日軍九千餘人為對日西侵以來第一次大殲滅戰
page 2	英外相報告近東情勢複雜巴爾幹又引起新風潮意向埃及盡煽惑能事
page 2	英不兼部大臣格連活評論最近戰局法國投降無影響於英決心其海軍已能發揮主動力量
page 2	七中全會閉幕蔣總裁閉會詞全文一
page 2	國際形勢
page 2	日見符合
page 2	美陸軍參謀長提議施行強迫軍訓美積極增厚國防力量增購飛機二萬五千架
page 2	日派稽查員赴廣州灣截止該地貨物運入中國內地
page 2	羅將請德勸蘇歸還一部土地德盡力使巴爾幹避免戰爭對英實施經濟上之反封鎖
page 2	加拿大進行二年造艦計劃
page 2	可見人心未死
page 2	法國行政權集中貝當一身法政府頒佈三項法令貝當將稱法蘭西元首
page 2	偽軍反正協剿困日豫東我復地數百里各地偽軍反正運動風起雲湧張人傑部三師二萬餘人投誠
page 3	英美態度堅定只求合理解決
page 3	蔣委員長發表五告全國青年書認識時代堅定信仰確立革命的人生觀
page 3	自立自強
page 3	義務所在
page 3	不忮不求
page 3	精益求精
page 3	國民革命
page 3	爭取制空權英國盡力購機每日支出一千萬擴充空軍所購機已用去六萬萬金元
page 3	西歐各港德軍雲集似圖向蘇格蘭進攻德機昨襲英倫又被擊落四架意大軍集合里比亞威脅埃及
page 3	德機襲英倫
page 3	勞特喬治談德未犯英航務長期作戰於英實為有利英國民性堅強愈難愈勇
page 3	英蘇關係較前好轉
page 3	英組第六縱隊滅絕謠言
page 3	南蘇兩國締結邦交南公使逞遞國書
page 3	匈當局聲言匈必與軸不國家攜手預料軸心國家將向羅要求割出西邊界一小場段於匈
page 3	意威脅埃及
page 3	傳德勸日參戰制英日恫嚇政策必失敗美正嚴密注視日第二步動作美海軍艦隊司令將飛夏威夷
page 5	睦洲日兵大部已撤
page 5	日艦頻犯貝坑小托
page 5	三澳交通陸續恢復
page 5	西潦連日暴漲已逾二丈高明崇步圍岳灣段傾瀉數十丈各基圍男女已總動員搶救基圍
page 5	日圖牽制我援桂南兵力近又謀向西江擾犯日艇圖在青岐登陸被我擊退
page 5	西江上游各縣食鹽問題
page 5	鞏固三埠地方治安復設立軍警聯合處委梁岱黃沛然兼正副主任
page 5	始興各機關慰勞榮譽軍人
page 5	台山動員會改組聘名流任設計委員徵募米石慰勞戰士
page 5	省市兩偽機關稅捐管轄之爭偽財廳籌發偽幣
page 5	偽順德縣長納妾宴客掃興筵中一青年發言斥群奸
page 5	博羅邊境之匪患行旅在黃竹坳被擄劫
page 5	電請改善發給國產內銷特許證日來領證貨商極為擠擁
page 5	寶安日偽軍之調防情形東江水漲中戰事沉寂寶安動員會昨已撤銷
page 5	寶安動員會已撤銷
page 5	江會情勢仍緊張睦洲日兵大部調援江會古井情勢又已和緩日艇屢犯貝坑小托三澳交通日來已陸續恢復
page 6	克復金江攻入縣府
page 6	日擾感恩遭我痛殲
page 6	　江民眾積極組訓第二屆後備基幹隊集訓開始
page 6	粵文理學院分區招考新生
page 6	廣州白雲機場電線被掘倉庫被竊連日派隊分赴各鄉搜查拘去多人計共被竊鉛皮電線三百二十餘擔
page 6	續派隊分赴附近各鄉區圍搜
page 6	亦盜竊中之豪客
page 6	牽惹大禍導火線
page 6	能團結就是力量
page 6	不因之稍有餒志
page 6	報國的機會到了
page 6	鄉民已恨之刺骨
page 6	博羅鄉民奮勇擊退日軍經過包圍日偽軍斬獲甚多
page 6	從化戰訊我軍襲神岡衝進獅嶺
page 6	台山設幹部訓練所造就民教師資
page 6	三水縣當局設所招待歸僑地點在樂平蘆苞
page 6	瓊崖我軍乘機反攻一鼓克復金江市被困無辜民眾百餘人幸獲解放感恩擊斃日兵二百餘河水為赤
page 7	振聯會財務組昨收賣花捐款千餘元戲院職工會募得三千餘元
page 7	三藩市衛生局長過港力贊本港衛生設備完善
page 7	澳政務會副會長慕丁玉代理總督職務俟葡京委出繼任人即行交代周雍有函唁巴波沙博士家屬
page 7	三團體商決國貨義賣緩辦
page 7	保衛商場問題商會並無具體辦法
page 7	傳日方所提三條件港政府再否認並對西報紀載不慎表示遺憾將取有效辦法防範此種事件
page 7	兩人慘遭滅頂
page 7	洋務工會維持失業工友存貯大批米糧
page 7	僑委會招考公費生託各校院統一招生處代辦
page 7	兇婦關麗珍下星期一受刑
page 7	中國飛剪機由菲折返美國
page 7	英學生被截劫
page 7	英賑華會會議
page 7	各區警探連日出動嚴密搜捕無業遊民數十人被捕正在查究中灣仔昨又捕獲藏械歹徒
page 8	航運兵險保費劇增較上月平均約增一倍
page 8	四邑米價日漸平復
page 8	三水邑僑救濟桑梓
page 8	佐頓道火警之研究焚舖一間死傷七人
page 8	四邑米價回跌早造收穫頗豐
page 8	和興西街大打架案大隊警探到場彈壓兩人受傷兇手潛逃
page 8	祖國行二
page 8	模範師長張德能
page 8	由衡陽入桂赴柳
page 8	灣仔擒獲搶匪手鏢五個候領
page 8	羅便臣道竊案失主為宋太太
page 8	疏散赴澳之市民因無地棲身紛紛返港傳日僑準備廿五日離港但日商行謂此消息不確
page 8	婦人投海獲救
page 8	警探搜搏動匪元朗山中發生劇戰九龍警署據報派隊馳援兩匪受傷捕獲疑犯一名
page 10	足球總會年會選出下屆職員代督史美仍任會長財政狀況甚為滿意
page 10	今日棒球聯賽南華初逢工程工力悉敵劇戰可期華軍如勝避居末席
page 10	64比56乙組公開籃球賽宵來記者挫長虹虹晨鐘精勵分勝精武青白今晚乙組仍有三場戰事
page 10	棟勳盾小型球賽今日揭開序幕
page 10	夏令籃球戰訊
