page 1	美國態度之緊張
page 2	英國輿論一致贊同貸款助華
page 2	滬工部局擬增稅率因預算不敷
page 2	魯西我軍攻潘溪渡大勝晉中Ｘ三路犯靜樂發生激戰
page 2	Ｘ軍轟炸宜昌城內精華盡燬平民犧牲若干現尚未悉西安英籍醫院亦被炸燬
page 2	日外務省表示決定與蘇續談漁約希望成立與蘇續談漁約希望成立圓滿解決辦法蘇俄準備武裝保護漁業
page 2	Ｘ憲兵六名因反戰被槍斃
page 2	我襲台兒莊攻入西門搗毀偽維持會
page 2	廣西大學呈請改為國立
page 2	中航機試航重慶河內航線不久可成立
page 2	Ｘ方交還東吳大學校舍
page 2	駐華法大使昨晨呈遞國書
page 2	粵省軍事領袖在粵北某地召開會議張余李吳各長官均有出席討論今後反攻殲Ｘ大計
page 2	綏東偽軍被我擊潰
page 2	交城之Ｘ遭我伏擊
page 2	Ｘ犯武陟被殲三百
page 2	轟炸海南Ｘ機被我擊落兩架發現機師屍體四具
page 2	長江以北各要港均為我軍控制自寶山至江陰百餘里均為我軍勢力管轄範圍
page 2	英貸鉅款穩定中國法幣目的在封日提出警告將在港組中英委會辦理外匯英各界主張對日取報復行動
page 3	第三次全教會議昨日圓滿結果各代表提案共三百餘件蔣委長曾親臨該會訓話
page 3	全教會議發表宣言
page 3	鄂中戰情漸於我有利沿襄河進犯之Ｘ被阻已不能再進海南我游擊隊在安定殲Ｘ三百餘
page 3	西國民軍拒絕與共和政府談判僅允接受無條件投降西國民軍封鎖地中海
page 3	美對中日輸出比前減少
page 3	好萊塢影星埃洛爾弗林失蹤華倫公司懸賞五百元
page 3	紐約摩打公司派專家來遠東視察滇緬公路適合何種車輛
page 3	踞滬之Ｘ強佔德商紗廠德總領向日抗議
page 3	沙赫特將赴印
page 3	巴美成立協定美對巴信用貸款
page 3	英下院議員質問滬租界將設特別處事其設立之目的何在其權力範圍又如何
page 3	波羅的與黑海間將建築新運河
page 3	蘇聯政府準備協助羅波該兩國西部邊境若受侵犯蘇當以全部資源供其使用
page 3	英陸相提出下屆陸軍預算英法現經保有聯帶關係英國陸軍必須準備一切
page 3	日如擴充海軍美必不甘落後五五之比率必須維持美海軍作戰部長談話
page 4	英泥公司
page 4	巴士誤撞石柱車　毀壞一小童受傷
page 4	郵件誤寄日本
page 4	粵中華救護隊昨晚開始訓練
page 4	保護兒童會明日賣花籌款
page 4	各救傷防空班分別定期開課
page 4	青年農藝院定十二日開課
page 4	香港電燈公司去年獲利二百餘萬元青洲英泥公司昨開年會主席報告溢日減少原因
page 5	石莞太Ｘ調防廣州
page 5	Ｘ防我攻自毀鐵橋
page 5	Ｘ機連日窺察寶安
page 5	Ｘ圖攻龍門威脅河源龍華墟附近發生激戰河源城屢被炸之慘狀
page 5	五日我機隊在虎門炸燬Ｘ機場與炮兵陣地Ｘ向東路增兵續訊
page 5	西江前線Ｘ軍動態舊三水Ｘ增加我已嚴防鄧龍光部曾衝入Ｘ陣地
page 5	一區各縣長聯電中央請免洋米稅新會舉行糧食救濟運動
page 5	南海大瀝墟Ｘ軍動態我團隊斃Ｘ哨兵四名
page 5	深圳墟之蕭條景象
page 5	鄧龍光部衝入Ｘ陣
