page 1	美實施禁運以後
page 2	西渡襄水日軍歸路被我截斷自投羅網陷於絕境必將為我澈底殲滅
page 2	在陝勞軍
page 2	贛北日軍傷亡甚眾瑞昌完全被我控制
page 2	各地舉行六三紀念
page 2	日在綏省迫種鴉片
page 2	隴海路鐵橋被我炸燬
page 2	重慶
page 2	六三禁煙紀念蔣委員長訓詞全文二　　與鴉片均為我民族大敵一面奮鬥抗戰一面禁絕煙毒
page 2	回教主馬震武抵蘭休養
page 2	晉東南我軍進展順利茅津渡隔河砲戰
page 2	王文萱視察青省教育
page 2	橫渡嘉陵江游泳划舟比賽九日下午舉行
page 2	行政院議決要案鄭豐任粵省委
page 2	加拿大盡量派出飛機助戰英航空訓練程式尚在進行中
page 2	岳陽城郊日軍焚屍千餘
page 2	滬意輪駛離外灘意似避免被扣
page 2	滬租界又發生暗殺案張兆雲被刺斃
page 2	上海英僑志切返國從軍英政府致電英大使著令英僑聽候命令
page 2	挪北聯軍繼續進展完成包圍敵軍計劃德機又炸挪威克城
page 2	秘京發生劇烈地震
page 2	英巡洋艦寇魯號被炸沉
page 2	德轟炸機一架發現英倫附近
page 2	粵北我軍猛攻獲勝連克良口米　派潭日軍全線崩潰紛紛奪路南竄新會方面我軍勇戰克復睦州
page 3	丹刻克城仍有劇戰法軍強化西線陣容德軍調集大軍駐守恩河一帶準備大舉向法國之心臟近攻
page 3	羅外相發表羅國外交政策以對外貿易為基礎維持本國和平獨立
page 3	美積極進行訓練航空人才
page 3	德機二百架大舉轟炸巴黎英法空軍取報復行動襲德各地之軍事目標
page 3	傅羅斯福願接納候選權又贊成上議員畢尼斯為下屆副總統候選人
page 3	英漁船十一艘返回英國海岸
page 3	英海軍部發表營救聯軍經過此次擔任營救工作所遇困難實所罕見
page 3	文生氏海軍擴充案美上議院通過已送交於下議院複審美艦隊又舉行大演習
page 3	紐約前驅論壇報主張放棄中立倘聯軍獲得美國援助則當可獲得最後利勝
page 3	美大使詹森下月赴北戴河與其家人會面
page 3	法西斯委會未開會意國參戰問題和緩意內閣昨開會墨索里尼主席通過要案多項並未宣佈參戰
page 4	世界拳王爭奪戰祖路易勇敗尊尼披積
page 5	中山九區大　南頭
page 5	窺伺江佛線之丹灶
page 5	客商帶米過境方准入城廣西陸川米荒中之縣府告示
page 5	黃大偉被殲訊
page 5	加緊空屋清野
page 5	財部貿易會在贛設立五收貨處收購土產運銷國外
page 5	西江戰事膠著我襲走馬營之戰果我機械化部隊源源開西江增防日汽艇沿馬房窺擾遭我軍懲創
page 5	向走馬營
page 5	四邑交通最近調查
page 5	東路沿海日艦兇燄復張炮轟湖東溪口民房我漁民擊沉一日艇
page 5	粵北日軍全線崩潰
page 5	良口我軍向南猛進
page 5	米　各地亦告克復
page 5	粵北我軍反攻大捷再克良口日軍全線崩潰米　派潭均已克復日軍盡受包圍週來我實施捕鼠戰略殲日軍五千
page 5	增北日軍續向南潰
page 5	韶連公路近已恢復行車
page 5	亂轟馬房
page 5	菲僑慰勞團向林偉儔獻旗
page 5	大剷海面日艦動態
page 5	袁帶接管一區團隊後加緊進行游擊政治工作中山大　各地在我團隊控制中新會偽江防司令被我團隊擊傷
page 6	我攻潮安克竹竿山
page 6	澄海日增兵圖樟林
page 6	南澳游擊火災日營
page 6	蟻光炎被刺案上訴判決原告勝訴主兇行兇均判加刑
page 6	粵各縣局戒煙醫所設置辦法收容赴所受戒與調驗煙民民政廳分令各縣市局妥辦
page 6	組設辦法
page 6	煙民管理
page 6	自行報戒
page 6	桂南輔幣缺乏
page 6	教育部咨各省禁演劇本二十八種劇情淫穢或涉及妖異粵省奉令飭屬知照
page 6	孫亞夫視察桂南前線觀感前方軍民能合作對振濟幫助頗大
page 6	廣西訓練各級公務人員適應抗戰建國需要養成地方自治幹部
page 6	嶺東我日爭取主動氏族軍反攻克復竹竿山夜襲南澳焚毀日營棚澄海日增兵圖犯樟林
page 7	兩月前曾發生大火
page 7	電車往來亦受阻滯
page 7	損失估計約五千元
page 7	昨晨之大雷雨一小時內得水寸餘
page 7	暹領碧嘉霖盆栽展覽籌款明日在梅道開始舉行
page 7	日軍又動兩艇
page 7	文藝協會辦文藝講習所歡迎青年文友參加
page 7	旅港甬商辦米救桑梓第一批二萬包已專輪運往
page 7	記者圖書館徵募運動近訊
