page 2	滑稽的共產談五
page 3	議員陸昌烺為金佛郎案提出不信任王克敏案
page 3	一日反吳派議員僱公民阻議員到院但簽到仍逾三百人因出席祇二百四十餘遂流會
page 3	吳佩孚電蕭耀南請敦促趙恒惕北附
page 3	譚延闓令蔡鉅猷不必守湘西迅集殘部衝圍來粵故蔡部向武岡南竄
page 3	眾議院一日開會不足法數開會前有槓夫五百餘人各執白旗書擁憲拒吳等字見懸圓牌者均阻止入院僱值五吊
page 3	高淩霨將根據憲法令眾議院停會王承斌曹銳均反對曹錕調停謂如下次再演流血慘劇始下令停會不遲
page 3	一日使團會議粵省扣留稅款辦法主先調查向京粵同時警告再派外艦自保關稅經費由中國負擔荷使歐登科手段頗有鋒鋩不如葡使之圓通
page 3	京政府派何宗連赴滬疏通
page 3	警廳問題高淩霨語何滬警廳原屬省範圍陸榮籛既諳熟可暫代六個月期滿由申振剛到任
page 3	路電會議一禁以軍用品為名私運商貨二限制輸運用品三禁無票乘車
page 3	當局阻粵省將滑水山礦售與美商
page 3	軍事處電催馬濟速回桂
page 3	吳景濂派人赴津說皖系合作
page 3	直省署以本年預算不敷催啟新公司納款彌補
page 3	皖校聯會決三日無效則閉門
page 3	老洋人殘部與陳樹藩舒部及鄂豫邊匪約萬人已有三千人入川襲川北
page 3	援川軍反攻距重慶僅六千里劉存厚由綏定到梁山晤楊森
page 3	各使反對湘省擅取大宗鹽斤
page 3	閩訊高義退溪尾勸民軍勿進攻故陳國輝暫不反攻洪瀨
page 3	王永泉收買閩報館
page 3	一弛一張之東北兩江戰事
page 3	傷兵口中所述之北江戰況
page 3	某軍官所述東江戰事情況
page 3	追述粵軍退卻之經過
page 3	白雲山下之私鑄機關
page 3	本港食水談
page 3	學徒斬死師傅案
