page 2	改進僑民教育之意見二
page 3	京政府對孫文組織建國班府已電徵吳佩孚齊燮元意見再定對付一面電蔡成勳嚴密防備
page 3	張廷諤辭院秘書長職擬以楊熊祥繼任
page 3	曹錕令蕭耀南兼鄂省長
page 3	王克敏將匯三址萬援川四十萬援粵
page 3	傳美議員反對派艦駐粵謂干涉內政美艦將先撤
page 3	閩軍對浙孫傳芳任右翼周蔭人任左翼
page 3	王獻臣與賴世璜不合將率部回長汀
page 3	廈訊黃炳武入漳平後與陳國輝盧興邦合窺閩清王懷瑜受吳威高義誘惑通款王永彝被陳國輝逐出永春
page 3	京政府對粵除助陳炯明沈鴻英外並加派北軍由贛入粵其軍隊已由蕭耀南赴洛陽商定由鄂省抽撥
page 3	吳佩孚擬將方本仁沈鴻英唐生智三部編六混成旅為援粵一二三路指揮方由南雄沈由臨武唐由宜章會攻韶關
page 3	傳劉湘楊森石青陽等議和代表在江津會議
page 3	老洋人餘黨約三千人竄京漢黃小坡車站　圖劫車被擊退竄方城
page 3	美商字水輪由宜駛渝四日
page 3	被匪劫船主賑房被殺死該輪現拋江中
page 3	魯省會電國務院稱民十選舉有效請令未舉辦之省速辦已辦之省不再改選
page 3	湯漪六日赴滬組憲法草案同志改造會蒲伯英表示贊同擬在京集同人修正新憲
page 3	邊守靖在津病重
page 3	京都自治已由內部聲明改四月一日設籌辦處
page 3	銅元票價抬高後財部復有大批售出故又跌
page 3	蘇浙皖贛閩各省呼籲和平通電後繼起者有奉黑吉直豫五省
page 3	檀香山總督函稱在檀山開維持食品大會請派代表列席
page 3	陳籙電告金佛郎已成法國會中大問題法外長被彈劾法政府將再向我抗議
page 3	法使對金佛郎案未解決以前仍欲扣留關稅使團將於十日重議此案
page 3	王克敏財政計劃發特稅庫券千二萬以崇文門稅作抵八四收入息八厘為華銀行拒絕改向安格聯接洽欲以該稅交安代管為條件安有允意
page 3	京政府否認孫傳芳兼省長說
page 3	路警幫辦內定靳雲鵬吳長植
page 3	齊燮元請京政府下令裁撤淞滬護軍使改設鎮守使
page 3	湯薌銘辭鄂長照准令蕭耀南暫兼代
page 3	溫樹德電京稱艦已離甬並宣言不隸屬何派以青島為根據地
page 3	聞齊燮元接吳佩孚電謂如東南有事當派三旅援助
page 3	張作霖要求東省新募軍不遣散餉由中央協助列入奉直和議條件
page 3	高淩霨患神經衰弱症
page 3	東北兩江軍事之近勢
page 3	粵聯兩軍之備戰情形
page 3	聯軍內訌之近狀滇湘軍發生衝突
