page 1	英日東京談判之前途
page 2	晉北我克偏關沁縣西我夜襲衝入分水嶺
page 2	滬杭路我軍活動進至嘉善附近南橋鎮警察反正攻中島司令部定海我軍　仍在白泉與Ｘ抗戰
page 2	財部發言人談禁進口物品辦法意義維持國際收支平衡穩定國民經濟年省鉅資即可移購抗戰必需物料
page 2	Ｘ政府開始搜金欲搜集二億圓以
page 2	我提煉機油試驗成功成績不遜舶來品價值則低廉一倍
page 2	豫東我軍向Ｘ襲擊斃Ｘ數十人
page 2	Ｘ軍藥庫爆炸Ｘ兵傷斃五六十人
page 2	Ｘ機兩次窺贛
page 2	成吉思汗寢陵移抵某地奉移在典告一結束
page 2	通城西北北港之Ｘ被圍給餐無著日來益感惶恐
page 2	滬日商出售錫塊被捕
page 2	長沙報友舉行國民月會
page 2	禁止各人口物品之辦法
page 2	領取匯價差額辦法意義
page 2	結匯領取匯價差額辦法
page 2	我進攻增城部隊與Ｘ在小樓一帶激戰我軍迫攻會城Ｘ掘斷寧陽鐵路進攻江門我軍沿江鶴公路銳進
page 3	英法蘇協定可望迅速成立蘇聯攷慮英法新提案
page 3	傳英後備軍準備應付事變官方負責人士加以否認英正積極增加飛機生產
page 3	保國總理聘德
page 3	法舉行國務會議討論歐洲局勢議決應行採取各種措置國防總參謀長暫行出巡
page 3	匈參長將聘德參觀陸軍演習
page 3	巴本將赴蘇說銜有特種使命
page 3	天津英僑安打臣又受Ｘ軍侮辱日扣留英拖船英艦駛津調查
page 3	英勞工黨向德人勸告應以和平為重勿受虛偽宣傳英國人民相信牛油勝於槍炮
page 3	美貨幣法折衷方案提付參院討論反對派用延宕方法仍圖阻撓使折衷方案不能及時付表決
page 3	Ｘ機兩批轟炸皖西立煌
page 3	英供應部大臣聲明英國整軍目的保護本身並非包圍德國抵抗侵略建樹世界和平
page 3	埃土有訂互助協定說意屬地與埃毘接感覺不安
page 3	德陸空軍遊行表演市商居民大為驚恐
page 3	北平附近我游擊隊勝利定縣以東不斷發生戰事我襲天津租界亦聞砲聲
page 3	印願意參加國際棉花會議
page 3	蘇駐日代辦定期返國
page 3	森安周河開闢將實現溝通兩大洋
page 3	德軍威脅但澤英法決助波蘭英各報警告德國勿鹵　從事波當局聲明決維護但澤權利
page 4	教育界響應贈旗運動婦慰會昨日贈旗之成績
page 4	婦慰會募捐訊
page 4	五行商會會議議決紀念七七辦法
page 4	壯士重赴前線
page 4	中央僑務委員會解釋修正商會法要點同血統而生長海外之僑胞得享受我國商會選舉權利
page 5	鍾參謀談克復會城
page 5	再克外海迫近江門
page 5	馬李兩氏入城善後
page 5	新鶴路我軍之進展
page 5	廣州我便衣隊活躍馬涌橋松基擊斃Ｘ軍官梁隊長被Ｘ拘捕壯烈殉職
page 5	中新邊境戰訊沉寂
page 5	擊斃偽隊長之續訊
page 5	當局公佈江門Ｘ情
page 5	大良容桂Ｘ亦撤退
page 5	瓊島我軍再攻文昌縣城
page 5	南路情勢略緊麻寸公路破壞
page 5	一區游擊司令人選別訊陸高滿委令未下
page 5	處理重要人犯省府令頒辦法
page 5	旅客攜外鈔入口離境時准帶出餘款惟須審核在國境內用去數目
page 5	傳Ｘ在粵南將有異動當局實施廣大軍事計劃各險要地方一律加緊設防各區指揮官分途出發巡視
page 5	嚴查南鵬失守實情
page 5	Ｘ升汽球偵察防城
page 5	新會城克復已證實同時我軍又收復外海新鶴我軍亦迫進木塱江門Ｘ軍約尚留二百中新交界各地均安謐大良容桂Ｘ兵多撤退
page 6	中山黨員英勇抗Ｘ粵省黨部昨傳令嘉獎
page 6	佛山附近我游擊隊衝入蓮華車站焚燒Ｘ營殲Ｘ甚多
page 6	粵南米潮續誌米市價雖高惟米商仍加搜羅北海富戶又集資向外購洋米
page 6	我機炸Ｘ
page 6	陸豐縣佈告勸長髮黨自新
page 6	我破壞市新公路後禺南Ｘ軍撤退乘艦他駛傳開潮汕
page 6	粵省府取締民間迷信神權昨通令各縣選辦
page 6	Ｘ軍撤調
page 6	公路破壞
page 6	博羅青年組晨呼隊
page 6	中山縣府槍決劫匪
page 6	東西北三路最近戰訊增城Ｘ突圍均遭重創花縣象山之肉搏戰我便衣隊襲西南鎮
page 7	金曾澄已返港
page 7	坑戰兩年來海外僑胞捐輸統計共達四千三百六十餘萬元祇亞洲一部已達三千餘萬
page 7	馬嘉士歌舞班換演新劇
page 7	廣州紅十字會兩救護隊出發一赴粵　一赴四邑前線
page 7	英政府加緊訓練新兵退伍軍官奉令回國充教練
page 7	失業記者登記昨已有二十餘人
page 7	防毒面具每人應購一具港政府設專處代購及保管連運費每具約售二元五角
page 7	匪徒截劫少婦捕獲疑犯一名
page 7	港廣播電臺迭遭騷擾疑是日本有意破壞本港電政上海重慶已屢發生同樣事件
page 8	順德籌賑會獲准立案定今日召開籌備會議望旅港邑僑踴躍參加
page 8	改良清糞工作有人向政府建議
page 8	小販二次義賣在積極籌備中
page 8	報際象棋賽本報與循環晚戰和南強棄權循環白勝
page 8	粵劇界七七演名劇籌款救濟遭難同胞同時舉行國民宣誓
page 8	網球義賽大徐克王文正劇戰三盤精彩百出雙打賽劉招與林徐組告捷
page 8	印刷行昨休息履行勞資協定
page 8	昨日棒球聯賽89友啤僅勝南華南華輸在後勁不繼
page 8	莫斯科中國藝展會積極搜集古代作品溝通中蘇文化提高國際情誼意義重大孔院長勸踴躍參加
