page 1	羅斯福之表示
page 2	日又在荷印製造藉口事件謂日本一漁船被掃射又傳英軍在荷印登陸
page 2	晉南我軍猛攻晉城兩關長晉公路予日軍重創衝入蔭城鎮斃日無算
page 2	蘇浙我軍分襲長興宜興吳興日軍進擾遭伏擊
page 2	豫境我破壞隊發揮威力燬日戰車十餘輛
page 2	滬各報評意參戰
page 2	西班牙立場續守中立
page 2	湘贛鄂我軍出擊連戰皆捷鄂南繼向陽新挺進贛北抵鳥石橋附近
page 2	日機襲渝被我擊落七架我空軍猛將二員略受微傷
page 2	南僑一分團離洛陽赴前線
page 2	晉日軍隊長一死一傷
page 2	印吉爾覲見英皇
page 2	雷諾致函羅斯福要求決心相助法已危急望及時來助局面嚴重勿失去時機
page 2	德糧食漸嚴重當局令屠狗軍用之狗則在例外
page 2	瑞士向英抗議英機炸日內瓦
page 2	東南歐暫可無事
page 2	羅馬謠傳羅內閣已辭職
page 2	英向美銀行界要求合作訂立金鎊官定匯率
page 2	漢宜路日軍陷重圍當旭以西血戰至烈我神勇空軍飛鄂中一帶助戰
page 3	巴黎四週發生大火
page 3	英國空軍繼續炸敵
page 3	英軍作戰英勇事蹟
page 3	被困聯軍一部救出
page 3	魏剛下令全線退卻
page 3	巴黎城內張貼佈告
page 3	英日天津協定在談判進行中英政府徵求我政府意見企圖能保障我國之利益
page 3	蘇軍開往波羅的海各國
page 3	英理藩院大臣致書非洲殖民地總督希能以勇敢精神與政府合作將來戰爭勝利之後喜氣洋溢
page 3	法軍退守巴黎外圍
page 3	全線戰情仍極激烈
page 3	土國決心參戰蘇守緘默態度意在地中海敷設水雷英意空戰互轟炸陣地
page 3	荷女皇致書英國表示感謝之意
page 3	羅拔　甘馬里在前線幾喪命
page 3	邵力子遞國書
page 3	偽中央政治會議製造反歐事件
page 3	姆理斯為德軍攻陷大戰重心迫近巴黎法軍仍堅守巴黎外圍各據點英生力軍開到前線軍心大壯
page 5	睦洲日軍亦已下艦
page 5	中山日軍繼續撤退
page 5	江會方面日軍動態
page 5	惠陽米商殷戶反對評定糧價另訂限制購米辦法
page 5	米店聯合停止賣米
page 5	米商殷戶分散存米
page 5	警察出動拘懲奸商
page 5	另訂辦法限制購米
page 5	游擊指揮所改組孔可權任副主任葉敏予任參謀長
page 5	蔣委長獎勵殊勛頒武功狀辦法
page 5	粵各界慰勞團抵前線分發傷兵慰勞金軍民極融洽參議會電余王總副司令捷
page 5	都斛瀧水設立爆烈品檢查處
page 5	桂南前線軍民合作駐軍助農民耕耘鄉民慰勞防軍熱
page 5	白崇禧呈請切實扶助回民小學務須化除回教畛域予以便利教部准予所請分令各省遵照
page 5	順德南頭偽軍勒收護沙費封割拿人一田勒索多次農民抗繳
page 5	桂青年聯合組憲政協進會
page 5	日閥企圖推行南進政策中華南戰場我軍之週密部署設立粵桂閩贛兩邊區總司令蔡廷鍇培南兩氏分別負責高雷情勢無變化桂南我軍奏捷
page 5	蔡廷鍇召見各將領
page 5	放雞海面日艦他駛
page 5	粵南桂南最近戰情
page 5	日軍再陷睦洲龍泉後現又撤離龍泉在睦洲者亦下艦中山日軍昨亦繼續撤退江門日軍戒嚴大捕民眾
page 6	調查貨物運桂情形
page 6	日軍北犯損傷續誌我游擊隊襲畢村日陣日兵向黃岐山圍搜砲轟屋宇畢村三華店屋宇被焚數百間
page 6	羅翼群陸幼剛在遂溪召集六縣市長會議刷新南路政治六縣市黨政軍負責人員一律出席同時召見廣州灣金融界文化界諮詢茂信電化四縣黨政軍座談會繼續舉行
page 6	日軍赴三水良崗頭焚屋搶掠我便衣大隊長被捕
page 6	禺南偽軍紛紛反正日偽擾官涌被痛擊我團隊襲新洲奏捷
page 6	桂林迭次發生冒名借款騙案發覺尚速未致被騙當局現已注意防範
page 6	日偽吸收我落伍軍人在廣州組偽軍警學校三所
page 6	我軍復駐甘竹
page 6	台山海盜猖獗
page 6	教部令闡揚中國固有文化
page 6	羅翼群之重要談話
page 6	召集縣長開會情形
page 6	出席人員報告要點
page 6	廣州灣各界座談會
page 6	羅陸鄧諸氏返茂名
page 6	羅翼群電請中央派大員來粵南主持緝私採取有效辦法根絕私梟存在粵南商人近對桂南運輸局之反感粵省當局將派員調查後始定辦法
page 7	各區制服仍可取用
page 7	物色人才殊成問題
page 7	興中華班義演籌款
page 7	三俱樂部成績優越
page 7	傷友運動港僑仍不斷努力興中華班今晚義演得款捐僑工團體傷友委會三俱樂部傷友捐款已匯出
page 7	昨晨舉行閱兵儀式
page 7	代督史美電英致賀
page 7	港府昨慶祝英皇壽辰上午舉行閱兵儀式下午歡宴中西官紳
page 7	參加儀式之各部隊
page 7	中國航空事業前途不可限量現能自製飛機自給石油空軍人材在積極訓練中美飛行家郎非路之談話
page 7	抗戰勝利發展民航
page 7	西北各省盛產石油
page 7	節建儲運分三組進行敦聘周壽臣為總顧問王正廷李應林郭泉任總隊長學校組定十五日舉行出發禮
page 7	星禁止書籍入口本港印書大受打擊星書店同業請撤銷禁令理由充足當局或能准許
page 7	閱兵典禮簡單隆重
page 7	代督歡讌中西官紳
page 7	歐洲戰局緊張中港僑自衛團有重組說傳將由某巨紳領導組織前任各區區長不願再幹
page 8	帝航機停開乃暫時性質覓得新航線即可復航現尚有兩機由英開來載郵件甚多日間可到
page 8	港澳善團聯賑中山難民三個月經費總需十六萬
page 8	婦節會賣物會明早十時開幕
page 8	英僑主張驅逐意國教士
page 8	廟街搜樓拘人
page 8	南華會將向政府呼籲請勿收回嘉露連山運動場
page 8	堅道區
page 8	深水埔
page 8	旺角區
page 8	灣仔區
page 8	僑港立案中學分五區舉行畢業試參加學校共五十間監試委員業經指定
page 8	廠商聯會徵求傷友運動募得國幣五千餘元港幣一千四百餘元
page 8	金銀貿易場明日改選職員
page 8	清遠同鄉協助社將成立
page 8	前普益商會主席鄭潤甫昨逝世
page 8	赤柱發現浮雷
page 8	搜捕海上竊匪
page 8	敵產管理官重申舉報敵產法令藏有意國貨幣貨物者亦須呈報被押意僑家眷之財物暫不查封
page 10	學界排賽球今日重啟戰幕高初小童級各有一場
page 10	閒話香港棒球
page 10	爪哇公報
page 10	乾泰隆售出
page 10	廣南與售出
page 10	印第科蘭
page 10	小球義賽續訊
page 10	昨日學籃戰績香島九龍勝仗
page 10	籃聯會今開會議
page 10	住客聯會體育部分設九組
