page 1	臨全大會之重要決議
page 2	江南我軍前鋒逼近宜興敵傷亡慘重運滬傷兵絡繹於道宣城殘敵肅清蕪湖三山鎮克復我三路猛攻富陽一部業已攻入
page 2	宣城西南殘敵肅清
page 2	我軍三路圍攻富陽
page 2	晉北晉南我軍相當進展朔縣寧武中陽先後克復
page 2	林主席電賀蔣汪贛省黨部亦致電慶賀
page 2	豫北敵軍用帆布船偷渡我急往防範不得逞焦作之敵　　我青年
page 2	日方進行南北偽府合併
page 2	敵機廿七架昨犯西安我無損失
page 2	津浦南段敵艦砲擊和縣企圖登陸敵海軍司令部設下關電廠倉庫
page 2	國民政府命令吳思豫任軍會銓敘廳長
page 2	陳誠款外記者報告臨　大會使命
page 2	上海海關查究運來偽幣
page 2	英人被毆辱案英領向日抗議
page 2	台兒莊守軍苦戰中
page 2	我軍收復焦家灣
page 2	我軍向宜興推進
page 2	三日爭奪台見莊之役敵軍傷亡一萬五千人敵團長一名陣亡坦克車三百被毀敵軍增援十萬我軍沉著將之擊破我空軍飛赴前線助戰予敵以重創
page 3	臨全代會宣言全文三
page 3	三民生主義
page 3	孫科在倫敦將出中國運動會演講倫敦報章推崇艾委長偉大
page 3	滬西報評論國民黨全體擁護蔣委長抗　觀念因日不斷侵略愈強日最近對華動向有攷慮必要德軍事家批評日本難期勝利
page 3	希特勒在奧發表競選演說
page 3	西叛軍內務部長發表施政程序叛軍已佔領新舊萊里達城
page 3	英意協定日間即可簽訂
page 3	英意承認德奧合併德輿論表滿意
page 3	重慶兒童代表有意義貢獻節省餅餌費組空軍兒童隊請林主席領導全國兒童實行
page 3	倫敦財政時報同情我國統制外匯忽略滬外人權利在所難免我決在滬設辦事處賣外匯
page 3	英航空大臣主張與德妥協仍戈林之友親德要人
page 3	意汽車賽失事七人斃命受傷者廿餘人
page 3	埃及改選結果國民黨競選失敗
page 3	蘇台德黨自治案捷政府已讓步自治方案俟德指示提出德令蘇台德　謹慎從事
page 3	德併奧後匈決保持統一攝政廣播演說安定人心
page 3	空軍俘虜承認日飛機損失四百架
page 3	英大使抵武漢定星期六日飛重慶
page 3	敏珠爾圓寂國府明令褒揚
page 3	國府紀念週林森報告臨全大會經過慶得賢明領袖擁護領袖一致抗敵必得最後勝利
page 4	普通男籃球賽華南晨光　齊奏凱
page 4	小足球聯會舉辦小型球籌賑賽
page 4	足球總會昨開值理會議編就特別銀牌決賽秩序國際杯決賽定十日舉行
page 4	今日網球賽徐煒培對芬渣昨日夏仙小林珍齊告捷
page 4	球類友誼賽
page 4	中國籃球隊準備出國比賽籌賑隊員均已集中香港
page 5	敵機昨兩次來犯首次炸白雲月溪死　廿餘人二次炸西村及廣九路塘頭廈
page 5	粵港報界戰地視察團今日北上
page 5	聯義海外交通部電請沒收逆產
page 5	粵婦團聯會舉行一分救國運動
page 5	李煦寰報告黨臨大會經過
page 5	提倡糧食節約生產擴大提倡與宣傳之辦法
page 5	提議理由
page 5	實行辦法
page 5	高中以上學生集訓提前五月十日開始
page 5	改善徵兵辦法
page 5	中央改組兩廣鹽務局粵局長委姚允倫
page 5	敵艦連日向沿海騷擾昨晨砲轟西鄉頃刻即退前日進犯香洲擄去漁船三灶高瀾島民連晚向敵進襲
page 6	長官訓話
page 6	河南各校
page 6	民廳定期召開禁煙會議
page 6	省府規定各縣區署長資格
page 6	行走三江江門武陽電船火警
page 6	三區署長被控
page 6	征收漁稅近訊
page 6	鄉民聯繫防守
page 6	商店不用白銀
page 6	賭徒殺姪謀財
page 6	嚴禁收繳民槍
page 6	中山自衛團電三灶各鄉長飭鄉人勿參加傀儡組織
page 6	廣州慶祝兒童節詳紀謁省市最高軍政長官請訓慰勞抗戰受傷官兵及難民
page 7	開會情形
page 7	分別致詞
page 7	一仙運動
page 7	開會演詞
page 7	閉幕演詞
page 7	廣播演詞
page 7	社團慶祝
page 7	航空員陳國光等北上請纓第二批卅餘人月底返國美洲僑胞積極募款購機
page 7	盛大的兒童節各學校分區開會慶祝一仙捐款運動香港區獲百餘元女青年會亦召集街童開紀念會
page 8	女宣傳班
page 8	女慰勞會
page 8	南方學院
page 8	老革命黨員謝纘泰昨逝世
page 8	特惠稅所限制英國原料百份率表商廠遵表製貨始獲證書
page 8	屋租調委會昨已呈覆政府並函謝各界協助調查工作平抑租價辦法日間可決定
page 8	痘症日漸減少
page 8	新郵票昨發售
page 8	拐女童案初審
page 8	發現受傷男屍
page 8	法大使今晨可抵港在港不作官式登陸
page 8	孖刺西報論文贊許我臨全代會決議蔣委長任總裁乃目前應有之舉以才識論蔣氏遠在希特勒之上
page 8	論
page 8	歐
page 8	中
page 8	海外僑胞大批捐款匯港雨衣捐款一萬二千元紅十字會藥費七千元
page 10	荃灣一地
page 10	西貢一帶
page 10	長洲海濱
page 10	澳門賽馬成績
page 10	受賄疑案詳臬
page 10	兩炮台將操炮
page 10	落座積極建設新界荃灣市區已漸趨繁榮
page 11	光榮的創傷
