page 1	裏賓特羅甫使英與天空公約
page 2	華北日駐屯軍部反對張自忠派兵援察百靈廟嘉卜寺等均已陷入敵手劉汝明召開軍事會議籌商抵抗
page 2	德王大募蒙兵
page 2	李逆招收潰匪
page 2	今井巧言掩飾
page 2	大喇嘛驅逐石王在包頭發生劇戰
page 2	大戰準備聲中白崇禧昨抵梧州徐景棠飛邕作最後調解白已下大決心寧死不降
page 2	中央仍主和平
page 2	英報推崇蔣氏
page 2	川樾北上與駐屯軍協議侵華將在平召集日領會議企圖樹立會北理想區
page 2	日本南侵政策由閩省推至潮汕在各地分設特務班負責實現南侵工作
page 2	孔在牯召集宋子良等繼續會商財政問題粵省財政問題具體辦法尚待研商宋子良今日先行返粵
page 2	太平洋問題討論會胡適痛斥日本侵華日本破壞中國統一削弱中國中央實力
page 2	日軍又圖攫奪華北海軍根擄
page 2	唐孫今日來粵視察粵省教育
page 2	陝省府德籍顧問患神經病自殺救護無及旋即斃命
page 2	張群偕外部人員昨日離京赴牯約兩週後返京
page 2	章士釗即將南下謁蔣
page 2	日軍謀魯呈白熱化擬派兵一師團駐膠濟路在青島設立漢奸集結機關招集各地漢奸到青候驅策
page 3	宋哲元蕭振瀛昨由僑邱返保今日召各職員訓話
page 3	國民政府命令更調護班專使
page 3	防範人造絲走私辦法尚待詳細研究
page 3	禁煙總會通電各省市如限禁絕煙毒
page 3	林雲陔昨已到部視事林囑各員安心供職人事決不輕易更動
page 3	桂新聞界請中央公開廣播消息取銷密碼播送辦法
page 3	日記者團將來華攷察華北經濟
page 3	華茶暢銷挪威
page 3	六月份京市人口統計
page 3	菲島洋面又發現新颶風
page 3	中英庚款會決定補助教育辦法
page 3	吳醒亞靈柩抵滬各界舉行公祭
page 3	對德中立案希特勒態度未定
page 3	西總統望法援助
page 3	北部兩軍仍相持
page 3	西軍隊越入葡境
page 3	國防第一主義的日本全國一致準備總動員步驟一國防空氣滲漏到每一個社會生活的細胞整個國家由準戰時走到戰時的過程中間國防第一為廣田內閣採決國策的大目標陸相企圖將日本改造為一個國防國家
page 3	世運消息
page 3	日擬派重光葵出任駐俄大使
page 3	籃球決賽美得錦標
page 3	叛軍向外購飛機
page 3	旅鮮僑胞銳減范總領事被禁期滿釋出逃回
page 3	改善英日關係難得根本辦法英人對日尚多疑慮
page 3	英皇遊抵希臘又有選后消息
page 3	加拿大航商集資建造巨輪
page 3	教部通令各教廳局厲行義務教育救濟失學民眾今後民教推行訓練目標均應有相當統一在實施方法各省市尤應各有一定之計劃
page 4	南華游泳場昨發生搶鴨事件女子公開贛賽透路威路冠軍南華會之楊秀珍屈居第二名天氣適宜觀者頗眾
page 4	水球友誼賽中華會戰勝華員成績七對零
page 4	今日壘球比賽秩序首場義勇軍對日青年次場培正隊對美僑隊明日培正對義勇軍及日青對東方
page 4	華人游泳會今夕五次水藝
page 4	渡江泳開始報名
page 4	精武會今晚舉行第四週會友搏擊賽
page 4	團結明日對志誠
page 4	鐘聲開四次水藝會
page 4	南華會舉辦音樂班
page 4	英京銀價無變動
page 4	省法幣市價趨升
page 4	八九金價昨微跌
page 4	滬外匯穩後略好
page 4	廣州西紙市報降
page 4	今晚甲組公開籃球賽青年會南華爭冠軍乙組共有三場但不足觀
page 5	四路軍增編五師原定各師旅長之番號亦略變更已委師長之各師迅即成立
page 5	汕商界請願團赴省後行商再電請撤銷各捐稅
page 5	禁煙緝私隊改由中央統轄
