page 1	歐局之轉變
page 2	平偽憲兵隊調寧監視汪之行動阿部即將奉派赴南京有全權與汪進行談判
page 2	西北回漢問題解剖馬鴻達在省府紀念週演講二
page 2	楊傑抵渝
page 2	天津封鎖不能解除日軍部代言大談話
page 2	晉南我軍猛向臨汾挺進浮翼日軍亦在包圍
page 2	日眾議院開會幾釀成大暴動社會大眾黨議員攻擊有田謂其辦理淺間丸事件失當
page 2	豫北日軍竄擾被擊
page 2	新會偽警團紛紛投誠
page 2	英工黨議員在眾院批評下集之造船政策航務部大臣加以解釋
page 2	華半太恩號擱淺在海南島海峽
page 2	美國地球公司與寇蒂斯合併
page 2	台灣日軍反戰積極日 大起恐慌
page 2	犯靈山日軍勢已窮蹙一部被我驅至佛子　新開路日軍潰退大小梅山
page 3	張伯倫在眾院報告援芬經過
page 3	軍委會發表一週戰況
page 3	傳希特勒所提和平基本條件內容一共有十一項同盟國對之極不滿
page 3	英法聯絡進行殖民事務擬組一聯絡機關
page 3	蘇將於本星期內批准蘇芬和約芬內閣亦將全體辭職
page 3	菲農家婦產生兩首嬰孩該嬰今尚生存
page 3	周啟剛先生訪問記談最近僑務工作
page 3	傳挪威海外發生海戰
page 3	英外次聲明援土
page 3	美海軍定期大操
page 3	滬公共租界又發生強擄巡查崔海被擄押留歹土
page 3	瑪麗皇後號將奉差遣往澳洲運載軍隊
page 3	英國糧食部決定統制糧食入口
page 3	印國民會議執行委會開會甘地到會場時眾均拍掌歡呼
page 3	多腦根深葉茂上游現已解凍蘇羅運德煤油已能開始轉運
page 3	羅外相發表演說決心維護領土完整繼續軍事防禦準備
page 3	德意領袖會談後歐局將有急亟變化英眾字舉行外交辯論會張伯倫宣佈英政府態度
page 5	日軍昨忽退出大良
page 5	中山團隊異常活躍
page 5	粵南桂南漫天烽火日軍大舉侵犯靈山詳情我軍由靈山之西以迄邕江佈成長陳線蔡總司令座鎮靈山前線督師士氣振奮我分三路撲攻欽邕公路兩路直迫邕坦高雷情勢亦極嚴重日艦不斷窺伺沿岸
page 5	我分五路迎擊日軍
page 5	江會各線頻有接觸
page 5	前山灣仔昨日情況
page 5	順德日軍厭戰之表現安田伍長在醫院自殺日兵二名又因思家厭戰而自刎日兵七名被捕處決荒木部調防
page 5	軍事委員會通令俘獲偽軍予以優待訂定俘獲軍處理辦法准其投效國家共同抗日
page 5	戰情激戰寸土必爭
page 5	東侵日軍傷亡慘重
page 5	省府兩次會議紀要委派莊清沅代理海豐縣長修正通過本年度施政計劃關伯平任香港貿易處主任
page 5	容奇傀儡火迸偽警團與偽綏委爭承　賭衝突
page 5	我軍分頭向日反攻
page 5	新會古井偽軍分批撤退
page 5	省府撥五萬元急賑中山難民李漢魂兩電港賑委襄辦
page 5	中山日軍準備撤退中圖將各地偽軍抽赴填防十七日大良日軍亦大部撤出現在留守之偽軍擬移防中山江會各線現仍有小接觸
page 6	沙井連日發生戰事
page 6	宣告來臨外匯實施後韶市出口貨銳減原因缺乏現港幣購匯詹專員談買外匯　續
page 6	第十二集團軍各部粵北殲日之功過獎懲一申明賞罰以資勸懲
page 6	獎懲人　列
page 6	粵省府提高行政效率規定各區行政專員出巡舟車膳宿費不得受地方供應所到各地召集區鄉鎮長談話
page 6	省府查禁藉詞收聯防費
page 6	九龍稅務司訪幸縣長商緝私
page 6	東線遊擊隊長官最近之升遷記王若周升指揮所副主任翟榮基升遊擊縱隊司令沙井匪偽拒捕仍有戰事
page 7	果菜行商會之呼籲
page 7	某方面解釋之錯誤
page 7	糖商長期義捐昨日匯出萬元
page 7	中山難民昨來港者略多魚菜運港仍少
page 7	滇越貨車復開大批貨物由港運滇
page 7	影相店須八時收市
page 7	開投四段公地
page 7	一碗飯運動提案光宇廠捐款三千元勞軍
page 7	廣大員生
page 7	光宇職工
page 7	港九住客聯合會致九龍居民協會函請共同負責參加減租運動
page 7	耶穌復活節銀行休業三天
page 7	本港走私機關資本竟達百數十萬偷運桐油及鎢砂等
page 7	警察當局嚴密跴緝騙匪
page 7	德輪華籍船員五百餘人歸國
page 7	全港生果商店籲請政府准延遲收市昨開緊急會議參加店號百餘間議決請華商總會代向當局呼籲
page 8	青年會　求會友運動第一期結算創空前紀錄
page 8	中央振委會擬褒卹鄧瑤光
page 8	火柴商擬組織聯營公司防止同業貶價競爭
page 8	港督夫人慨捐賽馬獎金賑濟英國兵災難民
page 8	長洲海面常有水雷爆炸居民請當局設法補救
page 8	干力島海面劫艇案再提堂
page 8	荃灣大帽山側農人勇拒三賊警探拿獲匪徒歸案臬庭昨日判處徒刑
page 8	賣淫畫被重罰
page 8	婦人投海獲救
page 8	記者學會研究蘇芬問題
page 8	長洲及坪洲發現兩死鯨身長四十五英尺疑係被水雷炸斃
page 8	日輪扣留本港華警警司向日領交涉始釋放
page 8	黃埔船廠獲利百餘萬元將開派股息及紅利
page 8	擴大慶祝四四兒童節設立難童書報室
page 8	買紙煙使偽幣判苦 工監九月
page 8	肺癆病仍未減廿四小　內發生卅宗
page 8	蔡元培追悼會決假港大禮堂舉行
page 8	胡百全律師獲准在港執業
page 8	病人跳樓殞命法庭昨日研究
page 8	周啟剛返港談中央鼓勵僑民回國投資興辦實業已派大批人員分赴海外接洽海外部亦積極推進華僑教育
page 10	國際杯決賽蘇隊陣容排定我軍今日開會點將
page 10	第四屆港澳埠際賽本星期日舉行客軍週末動程來港警察監督同來觀戰
page 10	澳記者體育團今夕興師犯港一行十八人軍容甚盛
page 10	華人旅行消息
page 10	中青健身團定期表演健身運動
page 10	梁文康
