page 1	粵北戰況
page 2	日機百餘架狂襲四川城鎮六十二架襲重慶近郊投百餘彈傷亡五百人
page 2	桂南日軍蠢動受挫
page 2	東流西南日軍受創蕭山日軍南犯與我發生激戰
page 2	蘇北戰局又趨緊張日圖犯興化泰州連日與我軍激戰
page 2	豫北偽軍紛紛反正
page 2	我空軍顯神威飛炸晉南運城我軍掃蕩張茅大道克復附近之八政府
page 2	不得阿部同意汪建軍發鈔幻夢難圓對外宣傳只得謂在談判中
page 2	巴拿馬共和國黨人謀叛警當局捕領袖十名疑與第五縱隊有關
page 2	英意談判進行順利意方提出方案頗令英方滿意
page 2	津租界一場糾紛汽車夫不甘受辱還擊日兵被逮捕
page 2	美國軍用品勢將停售日本
page 2	荷印經濟地位仍極健全不受本國影響
page 2	英當局搜捕親德知名人物英法西斯人物被捕者八十人
page 2	銓敘部調整晉級辦法
page 2	在華日人反戰情緒高漲日當局聲稱將加驅逐謂其不了解所謂聖戰意義
page 2	陳嘉庚率慰勞團抵陝
page 2	我國一士兵對英表同情捐助英國戰費親往英大使館與英大使聚談
page 2	英法空軍作戰英勇每能以少勝多一次曾擊落德機百架法空軍司令嘉獎將士
page 2	膠東我軍迭殲頑日
page 2	于主教在桂廣播演說
page 2	音樂大眾化先在渝市開始渝市劃分十二區域每區設練習唱歌場
page 2	湘北我軍向大沙坪進擊
page 2	粵北我軍克復良口鄂北我軍棗陽疾進棗陽西南殘日三千餘歸路已斷
page 3	聯軍　恢復其地位
page 3	爭霸太平洋的美日海軍實力二
page 3	日本的海軍
page 3	魏剛將軍發表戰況
page 3	英大將愛安西特任國防軍司令強化英國國防
page 3	蘇意摩擦益甚意無參戰決心倘意對巴爾幹有軍事行動蘇亦將立取軍事行動對意
page 3	美國防計劃隨時得再檢討羅斯福謂如認為需要則將無限制擴充軍備
page 3	英向蘇政府提議派代表團赴蘇討論英蘇談判問題
page 3	都柏林警當局搜捕第五縱隊
page 3	佛蘭特區戰情益烈聯軍亟謀堵塞缺口聯軍放棄部羅涅仍守加萊斯雷諾飛英與英戰爭內閣會議
page 5	我軍乘機進逼會
page 5	日艦他移三澳復航
page 5	佛山日軍忙築砲壘
page 5	莞龍日軍最近增加情形圖擾犯廣九南段我已嚴防東莞偽縣長被扣留後刑訊
page 5	東莞偽縣長被扣留
