page 1	川人拒日設領發生大暴動
page 2	真相較前已明瀨尚傷重不能發言重慶日領糟谷重慶報告日人二名失蹤二名負傷
page 2	東京各報社評一致評論成都事件朝日新聞謂為共黨煽動讀賣新聞堅持設領事館
page 2	日方外交當局迄今尚在慎重協議使館當局召集全部人員討論成都事件應付態度
page 2	西北剿匪副司令張學良調兵援緩陝綏道上軍車絡繹
page 2	華南日武官領事會議討論津議交下各案統一南北侵華步驟
page 2	孔祥熙對記者談中央對桂主張和平現正謀種種辦法使僵局打開希望李白能覺悟毋自誤誤國
page 2	颶風改易方向向日本海急襲鮮日將受重大影響
page 2	修築滄石路問題原則業已決定短期內或可興工
page 2	　垣否認要求綏察合併日　四百餘人由榆專車抵津
page 2	成都亂民暴動中兩日人被擊斃命已證實行兇暴徒當場捕獲即予槍決駐渝日領糟谷飛蓉調查真象
page 3	日人圖奪我國煤油市場
page 3	賀耀組謁外張報告使土經過土耳其為新興國家一切措施足資借鏡
page 3	選舉總所電促各省趕辦國選事務對有困難之處決將酌予變通
page 3	各地隆重舉行行孔子誕辰紀念丁淮汾演講祀孔意義教人熟讀論語
page 3	考院
page 3	立院
page 3	財部
page 3	北平
page 3	滬三團體聯合迎送朱汪
page 3	法部通令各省改設縣司法處限　明年底前一律改設就緒
page 3	又獲日輪私貨關員被毆受傷
page 3	黔贛兩省舉辦縣長考試豫蘇等五省展期舉行
page 3	立院暑假期滿定期今日復會將審議川省建設等案
page 3	西蘭飛行家齊建德離京南飛赴英將經福州香港等地
page 3	林世則呈請職辭照准
page 3	何啟灃昨日到部視事籌設粵審計處九月內可成立
page 3	孔副院長茶會慰勞各部職員
page 3	連雲港進出口貨統計
page 3	青海雪水下注黃河上游滿溢
page 3	湘十九縣免徵田賦統計共三萬六千兩零
page 3	西國叛軍飛機大舉進攻伊倫城馬德勒戰情亦甚烈
page 3	國交討論會研究遠東問題美代表發表意見
page 3	俄將舉行清黨
page 3	德俄關係緊張倫敦人士深以為慮
page 3	蘇俄大使抗議日機飛俄
page 3	倫敦晚報載有一段消息
page 3	法政府提議組織一有長久性之國際委員會
page 3	那威政府向托洛斯基出警告
page 3	美國國務部今日否認羅斯福總統將來有發起世界
page 3	孔子誕辰
page 3	廿七日為孔子誕辰
page 3	西安廿七日晨舉行孔誕
page 3	川省各界廿七日上午九時
page 3	孔子誕辰紀念
page 3	廿七日為孔　紀念日
page 3	行營廿七日晨九時舉行孔子誕辰紀念會
page 3	綏各界廿七日九時舉行紀孔大會
page 3	浙省會各界代界五百餘人
page 3	粵市商會請加三收兌毫券財部批復未便照准毫券保證準備不足喪失信用本應責成該省省行負責清理
page 4	華人游泳會下月開水運會日　六日起一連兩日該會決參加廣東水運明晚起舉行瀾　續
page 4	南華陸上運動定期十一月舉行十月中旬便開始報名續辦訓練班作育人材
page 4	英京銀價仍趨漲
page 4	本港勵行社籃球隊到廈勝鷺光新生後敗與同文競爭劇烈曾兩度打成平手反攻無效終於差兩分而敗
page 5	蔣委長佈置國防計劃首先改善登載軍事新聞
page 5	財部從新規定稽查進口貨物類
page 5	機工會電勸李白李白又有要求
page 5	李揚敬實係奉委為贛浙閩三省清鄉司令黃師調閩陳師調浙
page 5	桂軍進侵南路之告急電梧州設軍警聯合督察處法院及蒼梧縣府在地窖辦公粵省市府設公務員審資會
page 5	令各縣市籌設禁煙分會禁煙辦法分期實行
page 5	九師由閩調粵李延年艦來省謁蔣
page 5	農稅局員被留後解地法院訊辦
page 5	和平使者奔走忙鄧世增昨又赴桂之消息中央軍撤退後之南路警耗十八軍羅部抵省即赴南路
page 6	整理毫券暫定辦法省市兩銀行原有之壹券照常行使一元四角八分折合中央法幣一元
page 6	粵民電會籲請取締強用電流
page 6	牛皮商人請免鄰省入口皮抽稅
page 6	十元中幣將收回
page 6	各界紀念孔誕大會紀盛機關團體代表到者數百人黃慕松報告紀念意義
page 6	紀念意義
page 6	教廳注重發展瓊崖教育
page 6	劉沛泉委任軍職
page 6	禁在寺院內打齋
page 6	總部招待記者設軍事新聞檢查所從前撤銷今日恢復殊非得已該所趕速成立限於軍訊檢查
page 7	歡迎人物
page 7	王氏談話
page 7	今晨晉省
page 7	新任粵農林局長淩道揚南下履新陳煥鏞來港歡迎
page 7	西人船員要求依合約支薪復安公司未允接納
page 7	趙士璧過港赴粵
page 7	余立奎決上訴英京樞密院刺宋案上訴臬庭又告失敗
page 7	昨又到大批暹米
page 7	更正曹善允演詞
page 7	安樂園生雪大平賣歡迎代理
page 7	中央派員南來整理粵海員工會王寄一昨過港赴省
page 7	廠聯會理事常會
page 7	四男女意外受傷
page 7	陳濟棠向護督辭行出洋護照何紹瓊昨已帶返
page 7	廣九快車昨日誤點
page 7	王寵惠南下昨抵港願竭個人之力翰施桂局和平今晨晉省謁蔣後赴桂一行
page 8	強姦女孩案詳臬
page 8	港商請減稅進行
page 8	未償所欲敗興而退
page 8	愛女哭泣盡情傾訴
page 8	下部傷痕或為指傷
page 8	母氏歸來女頻　痛
page 8	送醫檢　知已　身
page 8	同居數月感情甚佳
page 8	被告否認謂為誣捏
page 8	本港如遇敵機侵襲市區民眾將移居九龍山服務水電及交通業者始留市區防毒經費全部約需百五十萬元
page 8	每月一會
page 8	遷居山頂
page 8	留市區者
page 8	保護工作
page 8	三種面具
page 8	經濟問題
page 8	入義勇軍
page 8	擾人睡夢
page 8	印警鎗殺同侶案昨開審主控官謂被告蓄意尋仇因擾擾死者午睡曾被責罵
page 8	陳述案由
page 8	因傷斃命
page 8	神經錯亂
page 8	爭生意小販被斫
page 8	小童習泳遭滅頂
page 8	撤銷華報檢查案被否決西報記者之批評檢查制度祇壓抑正式報紙對於不良刊物實不能防範
page 10	華商總會昨會議
page 10	初級法庭案彙誌
page 10	假冒車票
page 10	私懷軍械
page 10	擅入靶場
page 10	藏海洛英
page 10	寶雲道開闢新路
page 10	旅行會將開年會
page 10	中華電力公司亦不允減徵電費電鏢按金則減略
page 11	竊盜匿新會被起獲
page 11	荷塘鄉人擊斃人頭蛇
page 11	台海貨車輾斃途人
page 11	台荻路之招商行車
page 11	海味公會請撤苛捐
page 11	扣留江門偵緝隊長
page 11	東莞鄉人奪煙犯毆稽查
page 11	李海雲辭職之原呈
page 11	商業蕭條民多疾病
page 11	稅警隊搜陳村商店
page 11	廿四日聯合紀念週蔣委員長訓詞全文三
page 11	中山金斗灣風災佃農遭難達數十人
page 14	蘇聯政爭史太林以最辣手段待敵黨徐諾維耶夫等十三人槍決徐等被判死刑曾提上訴卒被執委會主席團否決
page 15	擾亂綏東之王道一在嘉卜寺被刺身死犯綏失敗為某方所不滿剋扣匪餉遭部下之懷恨
page 15	王英在張北圖大舉犯綏
page 15	國防前線之綏遠人心鎮定地方平靜成工與否並未作此計慮成仁則早已有此決心
