page 1	英德外交戰與蘇聯
page 2	我軍事發言人談涇縣殲日經過
page 2	東京北平兩地美僑離境
page 2	美海軍艦隊準備應付任何變化一隊美艦隊返回珠港加強夏威夷防禦力量
page 2	北平繼續反英運動
page 2	常德壯丁慷慨入營
page 2	日機大舉轟炸昆明全城幾被其炸平美領事館亦炸傷
page 2	日荷談判目的係在煤油
page 2	日外相松岡又發有阻礙日本進行者必須以武力迎擊之
page 2	滬日軍官乘車突被開槍射擊
page 2	一日輪由漢抵滬華籍船 員譁變毆擊日籍　員掠得巨款逃去
page 2	築各界努力捐募寒衣
page 2	希特勒慷他人之慨
page 2	川省士紳紛紛捐獻軍糧
page 2	戴院長出國訪問南洋各地使中緬中印間增加友誼關係
page 2	勵志社辦理社員登記
page 2	交部航政處發展造船業務
page 2	傳法與軸心國家締結和平條約賴伐爾對此極力否認
page 2	黔省府設消費合作社救濟公務員日常生活
page 2	續克馬當附近要點我乘勝向彭澤挺進浙西我軍克復臨安乘勝追擊
page 3	土南希三國家均有鮮明表示
page 3	英國實行封鎖羅國在英資產
page 3	泰國務院長談泰決心守中立否認與軸心國家合作亦不助日封鎖滇緬路
page 3	在本年冬季內德機將不斷轟炸英倫英機亦不斷向德國轟炸
page 3	空襲下德國民寢食不安
page 3	意軍奉令續向埃及進攻摩沙馬杜魯將有大戰英意海軍又發生激戰
page 3	保京英僑被逐出境
page 3	羅油停止輸往土希
page 3	星洲商討預算問題
page 3	智利巴西租讓美海空軍根據地將來由美出資建築為軍港
page 3	英海軍大臣發表演說謂英必獲勝利
page 3	吉布蒂法防軍被英封鎖已陷絕糧之境
page 3	羅國英僑準備離境紛紛到英領館登記
page 3	駐華盛頓日大使繼任人選問題松岡決本週　解決
page 3	英國敗德計劃係在封鎖糧食困餓德國人民使其發生革命
page 3	羅斯福演說向侵略者警告勿輕視美國人民之精神鼓勵美人要具犧牲精神
page 3	英兩郵運機被德機所擊毀在挪威克以西　點
page 3	美讓驅逐艦一批抵英國某口岸交於英海軍接收
page 3	西智恢復邦交係賴巴西調停
page 3	蘇聯態度曖昧德正擬派代表團赴莫斯科目的在阻止英蘇邦交改善
page 3	傳周佛海將作滬市長
page 3	英國查究放過法艦責任
page 3	蘇土南希四國謀組織防禦同盟大批蘇軍集合於羅國邊境大批蘇軍集合於羅國邊境防德意對巴爾幹有新行動
page 4	畫棟雕樑巍峨瑰麗甘露寺巡禮
page 5	禪炭線我軍大舉進攻馮涌衝入西北郊圍殲殘日佛山松岡亦被我襲擊
page 5	韶郊民眾招待所落成已開始登記膳宿定價低廉
page 5	粵禁買賣人口民廳擬訂防範辦法施行
page 5	中中交農四行優待公務員匯家費匯款減收手續百份之二
page 5	粵教廳分令各校認真維護學生健康列舉要端飭妥為管理
page 5	桂林慰勞將士
page 5	韶關舉行集團結婚
page 5	梧港貨運近訊
page 5	日船爆炸沉沒死七人傷二人
page 5	粵藝術館改省立藝術院保送學員本月底畢業
page 5	省府整頓緝政查究瀆職舞弊人員新委中台查緝專員昨經已到台山接事
page 5	朱克勤抗戰有功軍委會傳令嘉獎
page 5	日艦環伺雷州形勢日緊桂南我軍一度衝入龍州欽邕沿線激戰頻起我優估優勢日機昨又狂炸防城災情慘重
page 6	石歧市游擊隊活躍
