page 1	抗戰勝利之曙光
page 2	Ｘ機廿七架分襲重慶成都在渝與我空軍激戰Ｘ機兩架被我擊落
page 2	九日襲渝損失調查
page 2	觥籌交錯Ｘ偽聯歡中南京偽首要多人中毒梁鴻志高冠吾等逆受毒最重酒中置毒料係抗日份子所為
page 2	西意進行重要談話將簽訂政治經濟協定惟西不致與意簽訂軍事協定以免完全加入德意軸心組織
page 2	英駐滬領事向日要求制止反英運動廷格拉案由反英運動做成反英運動之大民會應解散
page 2	青臨參會開幕
page 2	希特拉抵奧觀劇
page 2	晉南晉西均有劇戰Ｘ企圖強渡黃河為我痛擊Ｘ谷口師團被殲滅二千餘
page 3	日決定在十四日封鎖津英租界正金銀行今日停止往來英界內日商店多已遷出
page 3	華北抗戰之過去現在與未來五
page 3	第三章華北抗戰的未來趨勢
page 3	貝奈斯致牒國聯抗議德國侵捷
page 3	國社黨員侵佔波僑協會德波爭論無人調解
page 3	意空軍在西參戰成績
page 3	美人士歡迎英皇影片已從飛剪機運抵倫敦將照相分派於各大首都俾各戲院可在今日放影
page 3	德難民赴古巴當局不許登陸
page 3	Ｘ決在廈門建立偽市政府鼓浪嶼當局拒絕日要求
page 3	英法蘇互助協定英擬就新方案準備交由史特朗攜往莫斯科法對此項新方案大體上回意
page 4	西區六邑
page 4	熱心援助
page 4	瘡痍滿目
page 4	運泥鐵車傷人
page 4	少婦服毒殞命
page 4	少年跳樓自殺
page 4	婦女慰勞會二月進支總結
page 4	孔教學院講學記
page 4	兩童匪截劫小童
page 4	洪流劇團昨抵港
page 4	六邑籌賑會游藝大會昨日開幕秩序極豐富連演兩日夜主席鄧倬雲為難民呼籲
page 5	水雷隊開三江增援
page 5	中新一帶再增封鎖
page 5	江會Ｘ軍最近情況
page 5	古鼎華發動游擊戰
page 5	Ｘ機Ｘ艦前夕分擾南頭深圳
page 5	我機連日出動偵Ｘ中新Ｘ突圍被我截擊福和之Ｘ已退出訊
page 5	增城之Ｘ祇得千餘
page 5	我機出動偵察Ｘ情
page 5	中新Ｘ軍突圍被擊
page 5	福和之Ｘ現已退出
page 5	Ｘ艦前夕再擾南頭
page 5	Ｘ機一架夜窺深圳
page 5	東江南岸指揮撤銷
page 5	南海裏水各鄉被Ｘ軍圍搜
page 5	南海黃竹岐便衣隊擊Ｘ軍
page 5	番禺北海村民居被焚慘況
