page 2	我對廣東民權大同盟的懷疑和失望
page 3	檢廳已將羅文幹案起訴移交審廳
page 3	張紹曾擬以顧維鈞繼外交總長惟顧尚猶豫
page 3	李易標申葆藩洪兆麟位置係沈榮光赴洛要求謂發表後沈鴻英即就職
page 3	楊希閔要求會辦較崇之職政府擬加給將軍銜
page 3	印花稅處總會辦檢查員控告庫藏司長印刷局長擅印印花稅票法庭已受理
page 3	三日閣議黃郛再辭仍主留沈瑞麟祗允再代十天
page 3	各方公推顧維鈞長外交擬下次閣議提出
page 3	張作霖壽日語曹錕代表謂本擬春操因謠傳備戰故中止奉孫本無甚交結祇曾助孫五萬元余決不入關請仲帥勿疑如吳佩孚必要仇我則我亦必相當自衛實則奉專候粵浙先動嗣因盧永祥已有軟態粵又有內變故奉亦停頓
page 3	北京大學校三日開會聯合四十八校實行抵制劣貨
page 3	吳佩孚因趙恆惕忽增兵湘東顯露協助李烈鈞圖贛形蹟又修築岳州砲台故嚴電詰趙並擬復設蒲通鎮守使防湘
page 3	參眾兩院四日提彈劾張閣案均因吳景濂派不出席流會
page 3	字格聯六日出京來滬赴歐
page 3	清室正式告黎元洪宣統無
page 3	出京意
page 3	地檢廳二日起訴羅案偽造文書欺詐取財捐害國庫粵議員經王寵惠請託現向吳景濂疏通銷案
page 3	三日令劉冠雄為閩粵海疆防禦使
page 3	洪兆麟粵軍第三師師長李易標廣惠鎮守使申葆藩欽廉鎮守使均係沈鴻英密電所保
page 3	閩省各軍聯合拒孫傳芳楊金彩為前敵指揮已向孫部周蔭人挑戰許部孫本戎派兩營助楊金彩周蔭人祇抵水口不能再進孫傳芳統部已移往光漢
page 3	吳佩孚因川閩粵均不如初料暫緩榆關防兵故奉直再戰說漸熄
page 3	王寵惠五日下南
page 3	黔敗軍入湘境滇軍仍追不釋恐牽動湘局
page 3	王芝祥因蕭耀南對統一協會態度冷靜六日由鄂赴甯晤齊　元後返京
page 3	宜昌訊楊森廿六日克梁山進攻仁壽詎被但懋辛反攻大敗森退萬縣盧金山退夔州已徵實石青陽聞京附但懋辛
page 3	張紹曾接閩臧致平廿七日電服從中央助擊許崇智
page 3	張紹曾語人謂吳佩孚誤信沈鴻英言詎沈實力薄弱今吳已勢成騎虎即川閩亦未得手
page 3	李烈鈞之憤激語
page 3	陳錦綸等致孫科函照錄變賣大佛寺之反響孫市長之政績如是
page 3	藍煙通船員風潮續聞
