page 1	英國實施徵兵與歐局
page 2	鄂南銅盆嶺我軍重創反攻之Ｘ我得俯瞰優勢Ｘ死傷極重現我Ｘ在南林橋迤西相持
page 2	Ｘ軍猛犯鶴山我軍轉移陣地待機反攻
page 2	綏南我軍猛攻薩拉齊Ｘ綏東　各部向豪鎮涼城游擊包綏　被我破壞Ｘ運輸困難
page 2	三谷之Ｘ被我殲滅
page 2	沈學源發明特製軍糧轉　易攜存貯耐久
page 2	賞罰嚴明蔣委長傳令嘉獎南昌戰役有功人員涂家埠吳城之役作戰得力張尊光傳立平各記功一次
page 2	晉南浮山翼城等地我獲重大戰果殲Ｘ鉅萬我彭璞團長陣亡Ｘ調偽軍增援大戰在醞釀中
page 2	合浦東北郊展開劇戰Ｘ在南京抽調增援
page 2	豫東我軍昨復襲開封Ｘ偽恐慌城門每日開放二小時
page 2	Ｘ機飛炸各地
page 2	應付歐洲新局勢日政策難決定對締德意日軍事同盟意見紛岐
page 2	日本九洲福岡煤礦爆炸死傷工人十餘名
page 2	Ｘ艦七艘駛抵汕海
page 2	羅國外長訪法外長談話討論兩國關係
page 2	Ｘ造木人掩飾兵力單薄以期搖惑我軍視線
page 2	我軍進抵牛行附近南昌城郊我Ｘ激戰奉新戰事激烈殘Ｘ死據城垣
page 3	英德關係破裂但希望將來能得諒解
page 3	對於波蘭要求收回但澤並闢一通路
page 3	答覆羅氏建議拒絕召集軒際會議之議
page 3	畢特鬥提新中立法案該案目的在予政府以必要權力限制與破壞九國公約國家貿易
page 3	日陸軍省促政府實施總動員案並主張擴大首相之權力俾相機施行總動員策略
page 3	日本失業人數日增已成嚴重問題勢將增至三十四萬餘人
page 3	五一節馬超俊廣播
page 3	德陸軍總司令今日赴意將轉赴北非　屬
page 3	西歐各國倘被襲擊蘇準備予以軍火援助蘇已將此意向英提出建議蘇駐英大使所發表之談話
page 3	美政府與廠商定購大批飛機當局正在擬具動員計劃以為捲入歐戰準備工作
page 3	購機分配
page 3	日政府負債纍纍達一百七十餘萬萬等於英金十萬萬餘萬鎊最近又發行庫券三萬萬
page 3	英議員上下兩院一致通過實施徵兵案工黨所提反對被多數票否決蘇望英實施徵兵制持之以恒
page 3	對於實施征兵制英各黨派之辯論
page 3	勃魯姆向英工黨呼籲
page 3	德國會開會希特勒作狂吼宣稱廢止英德兩國海軍協定德波條約亦已無存在之可能並拒絕羅斯福建議
page 4	肺癆症之可怖每週發現百餘宗
page 4	中大服務團昨日出發東江
page 4	新式電車到港將行走上環至筲箕灣線
page 4	法航機未抵港
page 4	名劇黃花崗義演期近各部加緊工作
page 4	捐金購債彙誌
page 4	中西婦女體驗毒氣演習
page 4	財委會會議紀追加慈善費案未表決經一度審查後可望通過其餘各項政費如數撥支
page 5	單水公益Ｘ已退去
page 5	東莞游擊隊夜襲太平樓村梅塘械鬥之一瞥
page 5	夜襲太平
page 5	樓村械鬥
page 5	崑崙逕戰斃Ｘ千餘
page 5	江會戰事又甚激烈
page 5	三埠輪渡昨已試航
page 5	當堂公佈Ｘ情大略
page 5	瀧水方面已無戰事
page 5	新會近況之一封書
page 5	潭洲克復
page 5	廣州劫案近誌
page 5	省振濟會李主委敬告被Ｘ侵略難胞書
page 5	Ｘ機失火自焚墜下河南瀝滘鄉
page 5	北江戰事似緩實緊我軍仍繼續進攻
page 5	從化一帶Ｘ軍近狀
page 5	北路我軍繼續進攻
page 5	Ｘ在花縣組挺進隊
page 5	鶯哥嘴河面Ｘ艦撤退Ｘ兵四百餘又增援容桂
page 5	省兵役協進會正式成立
page 5	張發奎訂定戰區治軍愛民標準令各游擊行政區遵行
page 5	我軍星夜克復單水口公益新鶴各線我乘機向Ｘ總反攻鶴山崑崙逕之激戰斃Ｘ甚多三埠輪渡昨已開始試航
page 6	炸後忠信
page 6	三到新省會
page 6	粵衛生處推動戰地防疫組滅疫隊出發各地
page 6	粵囚徒請纓殺Ｘ聯呈當當局准予入伍
page 6	瓊州海峽發現大批Ｘ艦
page 6	九江Ｘ空增數千昨渡江犯古勞不逞三洲方面亦被進侵情況未明
page 6	南路各縣召開聯防保士會議韋雲淞派員會商粵南防務
page 6	西　卅六鄉米價奇昂每元售米三斤貧民祗食山芋
page 6	Ｘ圖攻嘉積市
page 6	深圳昨發生謀殺案兇手二人從容逃去
page 6	軍管區令各縣舉辦兵役宣傳並革除徵兵流弊
page 6	東路我軍雲集後寶安縣府之施政近況澈底破壞交通防Ｘ滋擾肅清縣屬匪患維持治安
page 6	破壞交通
page 6	省府繼續裁減各縣苛雜
page 6	省府通令各縣貨物互相供應平衡物價杜絕居奇
page 6	深圳禁娼
page 6	嚴肅匪患
page 6	到新省會去
page 7	吳鐵城談粵糧食問題辦理省存糧成績頗良好華南米業公司功不可沒
page 7	羅翼群昨赴韶
page 7	三院總理難產
page 7	英國僑民登記現僅得千餘人
page 7	失學難童救濟會決在港澳開辦義學積極向各校商借課室並舉辦小學教師登記
page 7	議決各案積極進行
page 7	小學教師登記簡章
page 7	台山商會之義舉典押會產舉辦平糶得款三萬五千元盡購白米四邑工商會昨未出發募捐
page 7	五賊截劫貨艇
page 7	春季批發物價較去年同期低落
page 7	暴風擊沉漁船漁人五名失蹤
page 7	避免Ｘ方非法檢查我在港設郵件轉運處粵省各地郵件均由本港轉發華商總會已接粵僑務處通告
page 8	入獄七年
page 8	兩種判決
page 8	發表意見
page 8	判以誤殺
page 8	糖商長期義捐又匯出四千元
page 8	德訪日機行蹤今日下午或明晨可抵港
page 8	保良局新總理昨選出顏成坤獲選為首總理陳鑑坡報告去年工作
page 8	去年工作
page 8	懲戒妓女
page 8	二百五十
page 8	最可注意
page 8	開始選舉
page 8	省港澳輪船公司昨開股東年會
page 8	美紅十字會捐贈我國大批藥物分兩輪運來短期內可到並運麥萬餘包來華救賑
page 8	中市開投果攤
page 8	殺日人案判決李炳津處徒刑七年些路頓大律師極力為李辯護陪審員主持正議判以誤殺罪
page 10	南華會女子部昨選出新職員
page 10	足球聯賽尾戲東方今戰海軍是一幕亞軍爭奪戰四時三刻會師加山
