page 1	德意蘇聯盟之可能性如何
page 2	某軍事發言人談鬱江南岸日軍被殲經過
page 2	寧偽一切行動中央認為無效林主席亦發表聲明斥破日本欺人計劃
page 2	中民外交協會函謝英艦見義勇為日機肆虐狂炸滇越鐵路該艦官兵從事救護工作
page 2	日九州鹿兒山發生大火燬房屋八十間
page 2	蘄春日軍被我襲擊
page 2	瓊島龍江日軍分路向我進犯經我分途堵擊傷亡甚眾三水日軍北犯未逞敗退
page 2	日圖破壞江陰封鎖觸雷爆炸日艦沉沒
page 2	滇巨商董澄濃捐資興學
page 2	博愛日軍北犯未逞
page 2	汾河南岸戰況激烈
page 2	日社大黨總裁安部辭職宣佈組織新黨
page 2	廣州日軍倒戈與憲兵發生激戰
page 2	企業家在重慶設汽車製造廠現已裝配機器
page 2	陝建廳舉辦繁殖騾馬貸款
page 2	楊格被判但可不執行刑罰
page 2	國府通緝淩憲文顧繼武
page 2	犯靈山日軍經我痛擊三度敗挫已潰不成軍南鄉平南墟飛龍墟一帶已無日軍
page 3	法總統召集新閣僚會議新內閣開會起草宣言昨午向上下兩院宣讀
page 3	脫離偽組織的經過
page 3	聯軍對德封鎖尚有許多缺漏德籍中立國運入貨物英政府對此嚴重注視
page 3	維里斯電意外相表示感謝歡迎
page 3	英國飛機配有大炮
page 3	烏拉山脈發現大鑽石礦
page 3	美飛機增加裝甲配備
page 3	美停購白銀尚非其時美財長之談話
page 3	摩沙里河間局部砲戰巡邏隊亦活動
page 3	非拉德非亞音樂學會籌款助中國各醫院
page 3	襲擊施爾特島英機共八十架
page 3	英眾議院宣告休會
page 3	有田表示不願加入歐戰漩渦
page 3	美國軍用品去年輸出大增
page 3	彰德英領事羅比被暴徒所毆擊英向日提抗議
page 3	瑞典忙於進行強化國防工作
page 3	美對外貿易委會哈定秘書逝世
page 3	挪輪伊尹號華籍船員返國
page 3	英令各煤油公司積極擴充生產若能力所及可增加一倍
page 3	德軍使用輕便新高射砲
page 3	美國務卿赫爾警告吉林威爾
page 3	西歐戰事已有擴大趨勢聯軍確已決心作戰到底英法土軍隊現加強合作
page 5	江會日軍仍取守勢
page 5	日增兵圖威脅鶴山
page 5	中山陷後最近情形
page 5	北山石角日軍再撤
page 5	小欖方面情況一瞥
page 5	靈山殲滅戰激烈進行中我軍腰擊日軍反攻陸屋我突擊部隊出現於日軍後方欽東大埠新平一帶伏兵齊起利用山地圍剿日軍殲滅極眾日圖犯鬱林高雷加緊警戒
page 5	當局指出日犯靈山企圖
page 5	陸屋舊州間激戰之經過
page 5	日軍分兩路仍繼續東犯
page 5	我反攻陸屋克復三隆墟
page 5	日偽軍犯南頭後昨擾沙頭被擊退我團隊向南頭推進寶安縣府槍決漢奸
page 5	日偽犯南頭之目擊
page 5	日偽進擾沙頭受挫
page 5	捕獲漢奸昨已槍決
page 5	香王限令收復南頭
page 5	興韶公路客車改道
page 5	余漢謀慰勞桂南傷病將士
page 5	四邑官商籌謀恢復澳門三埠交通續訊三埠待運出口貨物甚多
page 5	西江馬口日艦艇又增加發炮遙轟金利墟
page 5	侵佔北山石角日軍昨日又再撤退江會日軍現仍採守勢日增兵九江威脅鶴山中山各地日軍之近況
page 6	桂洲情報稱
