page 1	英日談判之前途
page 2	我某前方最高指揮官談晉東南作戰情況Ｘ以五師團兵力分八路圍攻我分途迎擊殲Ｘ七八千以上
page 2	三水之Ｘ進犯楊梅遇伏新會城偽軍二百餘反正取獲代價後我重棄潮城
page 2	豫南我軍出奇兵襲擊在長台關附近激戰
page 2	蒙滿邊事日軍損失重大合眾社遠東總經理之談話
page 2	東戰場戰事近又猛烈Ｘ傷兵及死屍運滬絡繹不絕
page 2	被我破壞滬杭交通中斷
page 2	沁陽之Ｘ焚燒英國教堂毆斃教徒數人
page 2	一方蓬勃生長一方已趨墮落滬大美晚報發表重慶與東京兩國戰時首都情形完全不同
page 2	渝各報聯合版現仍照常刊行
page 2	莫斯科報章檢討中日戰局中國軍隊較前增強日本經濟瀕於破產
page 2	昨夜上海又受颶風威脅
page 2	華興偽幣不與法幣聯繫轉與司令聯繫
page 2	財部發言人談政府仍維持幣制政策為利便各方購買需要物品起見財部仍將繼續擬准撥大批外匯
page 2	精神總動員設計委會開會設立研究等四組
page 2	英美法三國聯防間諜活動互相交換情報
page 2	晉南劇戰在猛烈展開Ｘ十二萬餘人分五路包圍大行山軍事重心現已移至長治晉城一帶
page 3	羅斯福對中立法案暫取緩和態度已決定不再催促上議院於本屆會期通過中立法
page 3	美駐亞洲艦隊司令定期交代
page 3	美共和黨參議員范登堡提議廢止日美友好商約主張再召開九國公約會議以決定日本侵華是否違約
page 3	日棉織品大量向美傾銷美將加徵日貨進口稅
page 3	新中國現已誕生活道洛夫將軍演說
page 3	英空軍即將飛法作不著陸飛行練習各機飛行路線事前秘而不宣此舉對於軍事合作殊關重要
page 3	英日二次談判昨日賡續舉行雙方將意見詳加解釋英大使態度極為溫和
page 3	佛朗哥行將赴意報聘
page 3	蘇聯已允考慮英法立場
page 3	英國遇必要時仍可支持中國貨幣
page 3	德各地駐軍奉令開赴指定地點裝成一種挑戰姿態以威脅法波波當局發表公報向德提出警告
page 4	潘光迴在渝播音演講
page 4	復旦中學組夏季讀書會
page 4	王蘊玉代辦國府商標註冊
page 4	十人畫展展期
page 4	英艦返港修理
page 4	留營難民續減
page 4	皇后大道東破獲偽幣機關搜獲偽幣及模型甚多疑犯李日陸詳臬定讞
page 5	江門之Ｘ再增千餘
page 5	新開各線均有激戰
page 5	昨晨又爭奪馬鞍山
page 5	Ｘ艦又向睦洲進擾
page 5	中山最近情況一瞥
page 5	桂省當局闢謠外傳Ｘ貨運桂真相政府對Ｘ貨輪入早已檢查嚴防　更禁止海味化裝品等物入口
page 5	蔣委員長電飭嚴禁貪墨粵省組視察團調查
page 5	順德Ｘ軍嚴檢郵政致書淪陷區親友者注意
page 5	河南敦和市壯士擊Ｘ
page 5	難民收容場所禁止駐軍
page 5	桂林行營槍決逃員
page 5	軍政部變更征兵齡體標準省府飭屬知照
page 5	Ｘ機Ｘ艦分途威脅欽廉各屬又告緊張Ｘ機三架首次施行夜襲Ｘ艦復頻開探海燈照射
page 5	Ｘ艦紛駛欽廉沿岸
page 5	Ｘ機三架突施夜襲
page 5	水東梅菉Ｘ機窺伺
page 5	雷州半島仍甚緊張
page 5	省府會議紀要分區設督催稅捐專員
page 5	北海貨物吐納情形與南路金融狀況調查入超甚鉅相差達十分之九銅仙缺乏輔幣撒作兩截用金價比香港稍低偷運者眾
page 5	一四兩區游擊隊之戰績收復青　沙大涌擒漢奸呂某一名
page 5	　會各線我游擊隊活躍連日進襲Ｘ陣時有接觸昨日馬鞍山爭奪戰極烈中山安謐Ｘ僅砲轟海岸
page 6	三水南岸我游擊隊襲擊鎮南關新墟Ｘ營誘Ｘ深入潮灣殲滅百餘人新墟Ｘ營被我便衣隊焚燬
page 6	中番兩地早稻豐收　猛虎率部護割
page 6	鎮南關Ｘ被襲大敗
page 6	新墟Ｘ營被我焚燬
page 6	別矣汕頭三
page 6	寶安游擊團隊奉令改編傳Ｘ犯黃松岡不確
page 6	省府停征中山沙田軍費吳飛請恢復不准
page 6	粵教廳推行補習教育令各縣大量舉辦民校
page 6	救濟瓊島失學青年設聯合中學收容
page 6	孫甄陶談整理南區黨務
page 6	西北兩路戰訊近誌象山馮涌等地展開爭奪戰蘆西禪炭兩線游擊隊活躍
page 7	黃伯才昨抵港將回鄉闢難民墾殖區數十僑團定明日開會歡迎
page 7	澳督巴波沙將返任傳波沙任澳督說絕不確
page 7	半年以來
page 7	加強團結
page 7	九龍青年會辦夏令兒童會為救濟失學貧童而設
page 7	陳灞風到港講演戰事國學
page 7	業餘劇人今晚演女子公寓唐若英女士決扶病登場得款援助國內文化事　
page 7	白雲山鰷魚歐洲人士視為珍品
page 7	賈乃錫今到港
page 7	八一三紀念日將屆商會領導各僑團獻金詳細辦法交由值理會起草林培生決獻二千元為之倡
page 7	停售外匯有益無損國人萬勿自相驚擾國幣跌價因環境改變更不足異我銀行基礎穩固幣信必能保持
page 8	藥物充足痛苦減少
page 8	盼我同胞熱烈輸將
page 8	徵募　　為四個月
page 8	漫書木刻展覽會場在本港堅道
page 8	順德籌賑會召開邑僑大會
page 8	楊福攸將歸國
page 8	潮商設法派送僑匯陳守鎮捐國幣萬元救災
page 8	第二街紅丸案首被告入獄次被告獲釋
page 8	域多利泳會議決取銷港滬埠際游泳賽因各代表請假成問題
page 8	中華遊樂會積極發展會務請當局撥讓皇仁場南部
page 8	前方疫症流行全　慰　將士總會決大規模徵募藥物發出告海外同胞書籲請捐輸將士痛苦減少勝利愈有把握
