page 1	進行遲緩中之英蘇談判
page 2	冀南我克臨清我空軍飛炸運城永濟Ｘ固鎮被我炮擊中彈起火
page 2	西國民軍定期開入馬德里城意志願兵事後即全部撤退
page 2	陝新安壯丁請纓殺Ｘ各界開會歡送
page 2	王纘緒關懷渝市難民親往各醫院難民收容所視察由省府撥款五萬元辦理急賑
page 2	英商輪同和號被Ｘ強劫英海軍當局將向日提抗議
page 2	廈偽商會會長被刺Ｘ強佔鼓浪嶼局勢嚴重美艦今日駛赴該島現滬外交界觀此正密切注視
page 2	對上海地位問題英美密切合作將共同答復日本要求
page 2	根絕鴉片流毒蔣委員長通令西南各省嚴禁種煙限於本年內川黔境內一律絕對禁種凡有包庇縱容無論何人決繩之以法
page 2	Ｘ機轟炸重慶事件英向日提抗議彈所發處危及英領事館濫炸平民區亦太無人道
page 2	滬我軍控制瀏河將襲市中心區浦南我軍連克重要據點
page 2	外交協會電美要求制止供給日殺人利器我國抗戰決心始終如一盼美加強抵制侵略行動
page 2	偽交部官吏潘震東被刺斃刺客被巡捕捕獲
page 2	我軍在武川擊落Ｘ機一架司機員死三傷二
page 2	綏我軍捷報頻傳人民歡躍紛捐米糧勞軍
page 2	台杯賽英敗于紐西蘭
page 2	蘇聯女飛行家空中遇險喪命政府處以隆重禮葬奉為蘇聯之女烈士
page 2	孟者士打城發生五次炸彈爆發幸　有傷及人命
page 2	汕局緊張強制疏散Ｘ機再襲渝被我擊落三架贛鄂粵各方我軍均有進展
page 3	張伯倫表示積極維持和平決定保證羅波希等安全有危害波獨立地位者大戰必爆發
page 3	贛北抗戰九閣月二南昌陷落總檢討
page 3	武寧方面英勇殺Ｘ
page 3	Ｘ侵南昌一無所獲
page 3	圖犯長沙永屬夢想
page 3	法總理達拉第痛斥虛偽宣傳法國不受威逼利誘英法關係不能離開
page 3	紐約國展中之英國珍物
page 3	澳洲皇后輪中途遇霧暫停八小時
page 3	上海豬肉將絕市鮮豬行宰牲公司抵抗Ｘ壓迫罷業
page 3	美大使詹森來華復任
page 3	國聯行政院展期開會
