page 2	祝今後之民國
page 3	北京總稅務司訓令粵稅關除北京政府命令外任何方面公事均勿收受
page 3	北歸海軍月餉定十七萬五千元
page 3	駐外使領經費發放一月之七成
page 3	各國對金佛郎案聞將在某使署會議如無正當解決則截留關鹽餘
page 3	總稅司覆孫文稱除北京政府外不受別方訓令
page 3	吳佩孚電稱護路軍已指定靳雲鶚師及吳長植旅
page 3	王承斌電曹錕請速定正閣吳佩孚意孫寶琦主和浙聯段與有同情
page 3	馮玉祥軍因小故兇毆豐台站員
page 3	王懷慶王克敏衝突
page 3	津人擬集資收電車自辦
page 3	津人將助爭漢口田仲香慘死案
page 3	旅津浙人組蘇閩浙弭兵會
page 3	吳佩孚近因喪侄篤信去暈之說
page 3	盛傳一月內魯政局有大變化
page 3	皖教育廳令各校來年須改組教員勿備聘
page 3	閩浙蘇皖贛旅漢同鄉聯電曹錕吳佩孚及各督軍商弭兵辦法
page 3	馬濟三十日回漢聞馬請借兵一師回桂
page 3	湘西戰況葉琪駐龍潭鋪張湘砥駐雲溪市謝煜濤加入武崗西北戰線蔣鋤歐抵花園劉重威抵石下龔振鵬抵高沙省軍對蔡鉅猷部決以重壓力收編
page 3	湘議會廿九日選軍務司長唐儀彬當選議會通過將陳樹森付懲戒並准法院傳訊
page 3	北江軍事與東江之關係趙恒惕任平粵總司令
page 3	連日聯軍之退守與備戰
page 3	北江軍事又趨重於英德
page 3	探報口中之粵軍行動
page 3	江門西訊
page 3	梧州西訊
