page 1	美日海軍實力檢討
page 2	豫鄂會戰所獲戰果日軍被殲四萬五千
page 2	棗陽西北大殲滅戰
page 2	日軍已成釜底游魂
page 2	偽湘鄂贛政權仍為獨立局面汪對此不敢置一辭
page 2	克復開封之役二百餘人論功獲賞其中多可泣可歌之英勇故事
page 2	桂南日軍竄擾受創
page 2	日運輸隊被我截擊
page 2	鄂南一帶我軍活躍
page 2	贛北我軍進迫武寧
page 2	偽滿實施限制購買食糧
page 2	羅斯福提議擴充國防經費動用十一萬萬八千餘萬金元建立強大空軍充實自衛　力
page 2	偽組織財政異常拮據每月可支配者祗六百萬元每一部院月費最多四萬
page 2	陳一平　殺漢奸被判徒刑七年
page 2	日軍犯花縣遭我阻擊傷斃甚多
page 2	傅作義將軍乘機抵渝
page 2	鄂北我軍克復棗陽鄂南猛進衝入通山我追擊部隊越過京山痛擊逃日進撲武勝關我軍連日斃日甚多
page 3	英軍三次反攻將盧宛鎮克復德調數十萬大軍增援預料該處戰情將擴大
page 3	推進地方自治之基本義務五總裁對川省地方行政幹訓班訓詞
page 3	意國參戰問題各方觀察互異預料短期內將不致實行意如參戰西必仍守中立
page 3	那慕爾至色當繼續展開大戰德軍屢次進攻被擊退仍滯留於繆司河岸邊
page 3	德軍採取攻勢不願一切犧牲聯軍經比數日之經驗已漸能應付德軍攻勢
page 3	邱吉爾曾飛巴黎與法當局會議
page 3	列日防禦工事異常堅固外圍深峻濠溝內有堅固炮彈
page 3	荷比難民紛赴倫敦　當局準備收容
page 3	德軍衝入盧宛鎮觸中地雷因此傷亡慘重
page 3	愛爾蘭政府防德活動愛共和軍黨人受德款項接濟
page 3	滬南　已開放
page 3	高一涵慰勞鄂北將士
page 3	荷齊蘭省仍有戰事
page 3	德軍發明秘密利　係一種磁電光線能破壞守軍神經系
page 3	雷諾在下議院演說德傾全力一擲希特勒欲在兩月內獲得勝利歐洲未來命運在此一戰決定
page 3	安特衛普至色當間展開歷史空前大戰雙方軍隊參戰者達三百萬人聯軍改變戰略德軍攻勢被阻
page 5	欽東我軍續有進展
page 5	訪問新任欽縣縣長
page 5	新鶴路我日仍在激戰中崖門沙堆均無恙中山偽軍赴四區勒收保護費被擊退
page 5	崖門方面
page 5	黃寶坑外
page 5	中山方面
page 5	赤溪海面我漁船圍攻日艦艇擊沉日艇兩艘傷日艦一艘牛角山日軍已退情勢稍弛
page 5	廣州偽府新征兩項稅捐
page 5	粵省實行節約方案
