page 1	最近之戰局
page 2	贛
page 2	粵
page 2	日方宣稱日機侵入蒙境連日卡哈河一帶發生戰事一日漁船被蘇聯當局扣留
page 2	我軍圍攻就香張店Ｘ出擾被擊退離石北Ｘ被殲數百
page 2	蘇維埃三屆大會閉幕追認法令多項修正憲未能條文
page 2	丹眾院通過丹德條約
page 2	滬郊我游擊隊開始作新攻勢虹橋區南市區一帶槍聲不絕日兵紛紛向黃浦江上游增援
page 2	楊遇春抵吉安談廬山突圍經過遇Ｘ以刺刀肉搏卒達預定地點民眾爭先恐後抬運傷兵作嚮導
page 2	六三禁煙紀念蔣委員長訓詞原文內政部長報告禁政情形
page 2	禁煙救國
page 2	佩其名論
page 2	安不忘危
page 2	變作煙民
page 2	毒化我國
page 2	肅清煙毒
page 2	我軍又進攻南昌漢水以東Ｘ已無進展能力西江我全線出擊斃Ｘ無算
page 3	英法蘇協約未成困難問題在波羅的海埃倫特島設防問題亦極困難
page 3	路透社記者鄂中戰地視察記荊門賞陽　經　機慘炸民眾與軍隊有切密聯絡
page 3	英潛艇施太斯號遇險下沉艦員四名已獲救其他艦員尚生存
page 3	許承基在英奏捷
page 3	德意已進行海陸空軍合作兩國空軍已成立重要協定海陸軍合作亦將商有成議
page 3	傳張伯倫親函墨索里尼解釋英外交政策並非在包圍德意
page 3	安南王抵法行獵受傷
page 3	英外相哈里法克斯接見波葡羅三國外使波要求英加緊助波完成軍備英葡談商重申現行同盟條約
page 3	巴黎美僑俱樂部聚餐會顧大使參加發表演說遠東事變與各國民族有關中國抗戰既自衛復以衛人
page 3	王正廷抵英倫出席國運委會
page 3	因德意協定成立日五相會議討論應付歐局辦法
page 3	諾貝爾與及川會談遠東問題雙方利害衝突無法成立諒解英日形勢不因會議有所變更
page 3	中央否認陳樹人等被扣現仍照常位職中央
page 3	我在倫敦增設中國政府貿易委員會謀發展中英商務經濟關係委員為郭泰祺般拿特氏等
page 3	羅馬教皇發起和平運動謂已得某數國政府同情
page 3	駐津英軍司令赴張干涉施皮爾被扣留案倘此案不能獲得圓滿解決則英日兩國關係益趨惡化
page 3	法願接納蘇意見促成三國同盟英擬派全權代表赴蘇解釋誤會蘇對英法提議覆文不久可送出
page 4	各項游藝
page 4	此種彩票
page 4	直達會場
page 4	捐金購債彙誌
page 4	孔聖會今賣花
page 4	去月移民統計五千八百餘人
page 4	汽車輾斃少女死於意外與人無尤
page 4	五月份之氣候得雨二十寸餘
page 4	啟喑學校定期開賣物會
page 4	華商會定期會議
page 4	一女慈善家逝世
page 4	集賢工會新職員
page 4	保育會第二次主辦之游藝會定十七日開幕決　山　何東住宅舉行游藝秩序較前次尤豐富
page 5	會城附近戰事復起
page 5	我襲江會逐步綏進
page 5	Ｘ犯睦洲新沙不逞
page 5	四邑輪渡照常行駛
page 5	江門Ｘ解散挺進隊
