page 1	八一三三週年
page 2	敵閥發動侵略以來
page 2	不會放棄寸地尺土
page 2	姦淫燒殺無所不至
page 2	漢奸傀儡敲詐剝削
page 2	中華民族黃帝子孫
page 2	一篇有系統報告日侵越南全貌滇越路封鎖後海防成死市日圖從外交獲得越南資源
page 2	深仇大恨奇恥大辱
page 2	國民革命運動發生
page 2	負責救起我們國家
page 2	刻苦節約悲憤自矢
page 2	八一三紀念滬公共租界架起　絲網各國防軍全部動員防亂
page 2	大小日艦十三艘犯擾粵東海門經我迎擊日軍不支潰退
page 2	切切實實
page 2	一齣雙簧兩付面孔
page 2	只好怨希特勒
page 2	八一三三週年紀念蔣告淪陷區民眾書沒有完全退出以前決不有一刻忘懷放棄責任
page 3	十一日之戰
page 3	十二日之戰
page 3	過去四日內德機被擊落一百餘架
page 3	英空軍發展迅速現已獲得制空權
page 3	在英屬索馬利蘭英意主力接觸英軍報告謂欲引敵深入使其大量消耗糧食子彈
page 3	非洲酷熱作戰困難
page 3	東京舉行反英示威運動到會參加者十萬人通過三議案後散會
page 3	金特氏接納德國推薦任布勒塔尼半島王
page 3	胡佛廣播為歐陸之災民請命英國尚未接得胡佛申請英報評論對此難表同情
page 3	直布羅陀未受若何損失
page 3	對印督宣言印度諸領袖不甚贊成謂與國民會議之要求相差尚遠
page 3	大西洋方面發生旋風襲擊查爾士頓財產損失極鉅
page 3	奈泊柏格運河正式通航
page 3	土國一報紙贊成軸心秩序被政府勒令停版
page 3	英倫兒童每月運出二千赴海外各自治領
page 3	遠東日美關係將有重要變化日反對美接管英防區美將強化滬駐軍地位
page 3	宜昌南岸痛殲日軍當陽附近我軍極及為活躍
page 3	阿爾班尼亞叛黨領袖被刺兇手將其首級呈於希臘當局
page 3	英再宣佈擴大禁區範圍
page 3	日潛艇駐統治島美注視其動靜
page 3	外部頌佈緊急銀行條例共分四項建者處罰鉅款
page 3	兩日來英倫海峽又發生劇烈空戰第一日德機被擊落六十架第二日之戰德機亦有損失
page 5	　魚沙激戰經過
page 5	寶安日軍防我出擊劃分四警備區派員防守開放深圳四週交通但須領證始准通過
page 5	江會線均有砲戰
page 5	銀洲湖日艇進擾
page 5	五花八門之順德雜軍日軍又在桂洲編和平反共軍四出散發傳單誘惑人民入伍
page 5	桂南日軍擾騰翔被我自衛隊擊潰
page 5	高要廣寧邊境匪徒擾劫行旅三區保安部派隊圍剿
page 5	蘆苞糧食近況
page 5	香港雞鴨行服務團向林偉儔致敬並為該鄉服務
page 5	粵省衛生處增編第五防疫大隊
page 5	台城施行夜禁
page 5	會計人員考試派定各區主考
page 5	粵北軍民勇戰衝入鍾落潭痛擊日軍神岡日增援犯麵房不逞廣從路日軍運迭被截擊
page 5	軍民協力攻鐘落潭
page 5	日犯麵房被我擊退
page 5	日機一架在白坭附近失事墮落
page 5	桂省府推行救災準備金制
page 5	增強抗戰力量不准濫耗彈藥粵妥署飭屬遵照
page 5	台山破獲販賣兵役機關捕獲歹徒七名當局派員續緝
page 5	越南情勢和緩之西訊海南日艦已有疏散訊日軍自認退出欽縣
page 5	日機又擾四邑鄉村新開新鶴沿線多被投彈三埠台城亦有日機窺伺
page 5	廣州汪彭兩派磨擦趨尖銳化　爭稅收　訊
page 5	日艇頻到窺伺斗門情勢緊張但戰事未爆發日雜軍一度侵　魚沙即撤去現在該沙涌口築砲壘封鎖交通江會各線有砲戰日艇擾銀洲湖
page 6	日軍向我誘降
page 6	桂省糧食豐足糧管分處之調劑辦法
page 6	澄邁方面激戰
page 6	韶桂道中夜之衡陽是熱鬧無匹今日的桂林充滿朝氣
page 6	西樵之搶米潮
page 6	粵省各界加緊籌募寒衣
page 6	才調曲江分站登記失業人材
page 6	粵省黨部設農運設計會
page 6	全瓊軍政會議誓死抗日三路反攻澄邁之激戰克霞霧嶺要點控制城西日軍被困已有棄城模樣
page 7	港行政局特別會議
page 7	疏散婦孺經費問題
page 7	八百英婦得免疏散
page 7	僑胞返國阻滯原因
page 7	恩平工商會昨選出新職員
page 7	張彭春昨抵港
page 7	日領事要求釋放山口港政府未有若何表示
page 7	兩學生獲英皇免費學額
page 7	援英捐款又匯出二萬元
page 7	中華郵政總局招考機工監事
page 7	少年虧空巨款處徒刑六月
page 7	越南氣象局突停廣播未悉是否與時局有關
page 7	住聯會響應徵募棉衣運動實行遵用國曆祝孔
page 7	本月份刑名案定二十日開審
page 7	華北風雲在中央戲院公映
page 7	艾黎今日演講報告各地工合情況
page 7	本港防空當局組織電單車通訊隊服務期內給以酬金及車租
page 7	輔政司談資助問題
page 7	對疏散港地僑胞你政府已有具體計劃陳不土謁孫院長後昨由渝飛返港港行政局討論疏散婦孺經費問題英廷批准八百英籍婦女得免疏散
page 8	僑團學校開會紀念
page 8	華商總會設獻金台
page 8	小販義賣奉令停止
page 8	九龍商會設獻金箱
page 8	廠商電器兩會獻金
page 8	三大舞場義舞獻金
page 8	學生參加擦鞋運動
page 8	光中小學開紀念會
page 8	青年會舉行公禱會
page 8	過去七個月內港九各水塘存水大增城門第二號塘得水最多
page 8	戰稅不得分期繳納戰稅局長布力發表談話
page 8	導遊女竟作賊竊同侶金飾入獄一月
page 8	中英庚款會撥萬金建元培圖書館元培紀念基金已募得十萬元籌募委員會將討論結束事宜
page 8	警探搜捕搶匪捕獲疑匪六名
page 8	露宿婦人失子
page 8	德國播音台已改換口號了英國情報部遠東局播
page 8	全港僑胞熱烈紀念八一三數百僑團聯合開會並獻金小販工商會議賣奉令停辦
page 10	中華體協會四次委員會議俟晉謁王正廷後始決定開會日期
page 10	南華泳響應八一三今夕舉行第三次水藝
page 10	青支會友籃球今日開始報名比賽細則公佈
page 10	華人三次水藝決定後　舉行
page 10	青年會籃球征澳人選已定
page 10	今日夏籃賽程
page 10	四屆德權鼎聯賽英美倖勝尖沙嘴
page 10	友誼籃球賽戰績
