page 1	再論天津事件之形勢
page 2	晉南Ｘ大敗我軍愈戰愈強垣　我軍襲張店斷Ｘ後路西犯柳林軍渡和磧口亦失敗
page 2	馬口之Ｘ強渡不逞
page 2	廣靈縣長臨難不屈誓以身報國絕食六七日
page 2	鼓浪嶼領事團向日抗議
page 2	Ｘ禁各輪駛行海門
page 2	滬英棧怪火已得線索
page 2	前川教廳長楊廉槍決
page 2	英皇夫婦返抵英國在森頓港登岸民眾熱烈歡迎
page 2	德意海軍成立合作協定德新巡艦將行下水禮希特勒屆時發表演說
page 2	法日商約明日簽字
page 2	長江一帶我游擊隊活動
page 2	安定滬市金融財部採取緊急處置華人銀行限制提款每週限五百元以免資金外流及投機牟利等情事
page 2	我游擊隊捕去滬偽關員
page 2	前方電話我軍廿一晚仍扼守汕市
page 2	據前方電話廿一晚八時卅分
page 2	接前方電話汕頭截至廿一日下午七時
page 2	Ｘ佔據汕市後對外僑態度忽然強硬限外僑外艦於昨下午一律離境英美駐油艦隊決不因恫嚇他駛
page 3	範圍不及遠東
page 3	邱吉爾演說英必能團結抵抗侵略擁護首外兩相之外交政策
page 3	一週戰況軍事委員會發表十六日至廿二日
page 3	山西方面
page 3	廣東方面
page 3	河南方面
page 3	鄂湘方面
page 3	其他方面
page 3	蘇聯實行增強遠東政策羅蘇斯基調充遠東司長羅對中國情形極為明瞭
page 3	星洲英法軍事會議關防極為嚴密德日兩國對之極注意
page 3	英仍希望天津事件能就地解決克萊琪向日交涉有田已允進行調查因而對日經濟制裁辦法宜稍緩實施
page 3	英下院質問津事件情形
page 3	駐美領向日重申前抗議
page 3	英人士蔑士仍未獲釋放
page 3	天津英守軍實力更增強
page 3	南洋荷屬要求增厚國防
page 3	美大使詹森談美人極同情中國抗戰對我抗戰亦有明確之認識
page 3	法潛艇鳳凰號殘骸尋獲
page 3	英法蘇談判已至決定階段英防德捷足誘令蘇聯保持中立已飭令駐蘇大使西慈加緊談判
page 4	佛山輪昨回港
page 4	防空班將開課
page 4	聖馬利亞堂明日開賣物會
page 4	九龍關新稅費
page 4	難民跳樓自殺
page 4	港府委任一束
page 4	業餘聯誼社歡送中救劇團
page 4	立法局昨會議議決撥付大批建設費將發公債籌款償還政府義勇軍法例修正案通過
page 5	江會Ｘ忽奉命調遣
page 5	Ｘ機偵察防我反攻
page 5	Ｘ有放棄江會之訊
page 5	余漢謀禁物品資Ｘ
page 5	馬少屏巡新開前線
page 5	Ｘ侵潮汕中東江Ｘ軍圖乘機進擾我軍已嚴密堵截
page 5	我軍再圍馮涌之進展馮涌以北重要據點多入我手中
page 5	Ｘ機窺炸樂平
page 5	Ｘ機昨炸平湖
page 5	財廳嚴密管理捲煙進口昨頒佈私運捲煙懲處條例捲煙事務由財廳自行主管舉辦捲煙押款以利便商行
page 5	劃一捲煙管理機關
page 5	私運捲煙懲處條例
page 5	Ｘ在中山大　登陸我沿岸聯隊退Ｘ之激戰Ｘ分水陸兩路用炮掩護Ｘ兵登陸大　等七沙團隊即聯合將Ｘ擊退沿岸團隊組設聯隊部用收統一指揮禦Ｘ之效
page 5	舉辦押款利便商行
page 5	戰區特別黨部積極開展工作
page 5	電白蓮頭港發現Ｘ艦
page 5	一區游擊改組陸滿今日赴任
