page 1	中日戰爭與日俄形勢
page 2	封邱之敵北竄濮陽
page 2	新鄉敵軍惶恐異常
page 2	我軍進抵沁陽南關
page 2	晉西侯馬敵軍陷陣
page 2	我軍克復屯留翼城
page 2	魯南我軍奮勇血戰擊退郯城頑敵邳縣我軍勝利獲戰利品大批關部高團苦戰四日全團殉職
page 2	長江敵扣英輪因並無違禁品物誣向日海軍汽輪發槍英海軍準備以武力對待敵將該輪釋放
page 2	高鵬全團殉職
page 2	破壞臨韓鐵路
page 2	我軍攻連防山
page 2	我在邳縣勝利
page 2	擊退郯城頑敵
page 2	宜興溧陽敵不支施放毒瓦斯彈滬寧路被我破壞殺敵數十人宣城我軍佔孫家埠形勢更進
page 2	王纘緒救亡心切擬辭代川主席專心馳赴前線禦侮救國
page 2	敵艦騷擾閩海
page 2	蘇逆錫文接匿名信聲明將再以炸彈相響
page 2	敵在舊縣附近登陸
page 2	敵增援魯南豫晉駐軍單薄我軍猛撲太原城敵閉門堅守我用大砲城內猛轟封邱敵退濮陽沁陽敵被我包圍攻中
page 3	法總理首途赴英
page 3	白隆台爾返法國
page 3	希特勒下週訪問羅馬外長及軍官等數百人隨行
page 3	實行中立之美國恢復預備兵制希望四年內增至七萬五千人
page 3	蘇聯發展鐵路航空線
page 3	錫蘭風災暴風猛烈近年罕見
page 3	美醞釀組織新政黨
page 3	美航空員被扣案日決不加追究
page 3	捷克政府拒絕蘇台德黨要求
page 3	韋永成談魯南大勝由於民眾合作抗戰已到嚴重時期每個人民都應參加晉全省民眾都武裝起來一月殺敵巨萬
page 3	平津附近我游擊隊活躍
page 3	志士郭鐵夫認剌殺漢奸楊心正不諱剌劉湛恩兇手承受親日團體主使
page 3	敵屍身上的兩封家書厭戰思家躍然紙上
page 3	日代言人稱我購大批俄機最近定購者四百架
page 3	上海海關協定草約已劃押
page 3	孫科訪晤路易喬治
page 3	政院撥款十萬救濟皖境難民
page 3	長谷川撤職確屬事實繼任人為及川古志郎
page 3	敵犯江北傷亡極重和縣敵犯含山被擊退
page 3	我軍決死爭加戴庄
page 3	敵向我猛均被擊退
page 3	英愛協定簽字英法談判國防解決阿國問題英京倫敦頓成外交中心英預算案不提所得稅實意外之舉建造龐大軍備準備明年應付大戰
page 4	昨晚普籃賽祇得一場舉行南乙不敵印警港大太古棄權
page 4	東方體育會足球隊再征澳行期在卅日
page 4	乒乓界　賑　藝會籌得款項盡購債
page 4	旭和杯戰後餘音今日海陸　交
page 4	3-1單打網球賽昨三度決戰小林珍淘汰小徐徐潤培表演失常經驗似嫌未足小林珍穩扎穩打勝來頗覺易易
page 5	敵艦在潮汕沿海又焚掠漁船貨艇慘狀各地漁民組自衛武力
page 5	五路軍總部規定請免兵役殘廢標準分電各區團各縣府遵辦再解釋徵兵疑義七項
page 5	兵役體格檢查標準
page 5	敵艦兩艘昨午窺伺馬鬃港
page 5	請免兵役殘廢標準
page 5	再釋征兵疑義七項
page 5	各縣動員會多已成立財廳計劃整理本省財政曾養甫將向動員會提議
page 5	省行派員收買各縣白銀宣言
page 5	禁煙會議結束
page 5	粵社會科學抗敵會定期開成立會
page 5	敵機昨又分批擾粵境在樟木土塘間投彈最多
page 5	市商會實行警告延繳債款商店
page 5	肇新號小輪誤觸礁石沉沒
page 5	粵省各界慰勞事政長官
page 5	財廳推行新會計之制度杜之英暫緩出巡
page 5	廣九路私梟走私案已判決
page 5	本月十上前購下之洋米省府批准免予審核發證運入十四以後購存者之審核問題停在關外洋米昨已啟運入市
page 6	市黨部某特派員談省市黨部改制未決定
page 6	粵各團體代募難民蚊帳
page 6	新塘海關分所改為分卡
page 6	廣西之行七從永州到柳州
page 6	桂林香港長途電話五月一日開放營業
page 6	江蘇蠶種在粵試育成功
page 6	中山壯丁擊沉敵汽艇敵機圖報復飛三　窺伺
page 6	潮汕抗敵要聞近誌通令肅清漢奸
page 6	沿海私貨充斥
page 6	劉志陸商自衛
page 6	汕市攤債辦法
page 6	覆舟塌屋傷人
page 6	石馬徑巨劫案
page 6	西寧市謀殺案
page 6	番禺調解田畝糾紛
page 6	墜梅敵飛行員最後擊斃者之姓名名佐志安男遺骸已運梅
page 6	潮汕免稅洋米枝節問題明令未頒前人按稅運入已頒命令後按稅未肯發還商會再電請增加免稅米額
page 6	獵艷沉船溺斃十二命登徒子被少婦緊纏亦同死
page 6	奢侈品特稅開征後粵商請全國普遍舉辦
page 7	臬庭審芽菜坑命案第三被告無罪首被告再翻前供否認行兇今日上午續審或可望完結
page 7	殺　幹卿
page 7	未作供前為第三破告申辯
page 7	首被告供
page 7	中央研究院院長蔡元培談該院現況各部移重慶桂林昆明辦理
page 7	拔出手槍
page 7	兩具被縛男屍似係被殺漁民
page 7	女客船中自縊
page 7	英陸軍部派大員來港計劃增強香港防衛力賀威遜爵士昨日乘鐵行郵船抵港英空軍司令羅賴同來下榻港督署
page 8	東華大堂善長雲集
page 8	交代儀節極為隆重
page 8	周梭年顧問致訓詞
page 8	藥材價漲預算破支
page 8	蕭規曹隨辦理院務
page 8	蟬聯主席周兆五詞
page 8	增請津貼革除積弊
page 8	政府撥地以安病者
page 8	包辦伙食撙節頗鉅
page 8	三月份出入口貨總值比去年同月增百份之廿三九
page 8	希望坊眾加意匡扶
page 8	去年經費繁重原因
page 8	召見職工致詞訓勉
page 8	慈善親愛服待病人
page 8	勒索錢財子孫不昌
page 8	旅越僑胞踴躍捐款購機廣州灣各界現亦開始募款商會昨再討論國難場問題
page 8	廣州灣同胞募捐忙
page 8	再討論國難場問題
page 8	繼續收到雨具捐款
page 8	沙頭有謀殺案
page 8	巨騙案詳臬
page 8	東華廣華東院三機關新舊總理昨正式交代儀式隆重名人前往道賀者百餘人主席周兆五顧問周俊年均有致詞
page 10	施放毒氣不外三法
page 10	染毒物件宜用火焚
page 10	遠東英艦動向
page 10	世界語學會昨招待新聞界
page 10	車輛失事統計
page 10	開字膽案判決
page 10	英艦演放毒氣
page 10	星期日澳門賽馬
page 10	鄧祿氏防毒演講銷除各種毒氣辦法防毒面具染毒氣宜即更換
page 11	一難民的過境
page 11	恢復了的交通事業
page 11	衰落的海關
page 11	四培修江堤
page 11	江防第一線的九江
