page 1	英德相持中之歐局
page 2	蔣委員長關心上海孤軍已命外部向法提出抗議傳日方要求將孤軍引渡
page 2	米荒之餘又逢秋旱余漢謀以起協灌運動舉凡足資灌溉之一切水利工作應由各軍官兵與民眾通力合作
page 2	居院長來港說完全不確純屬日方造謠
page 2	抗日英雄李杜將軍報告東北義勇軍戰績經九年奮鬥實力日趨堅強日人亦公開承認無法應付
page 2	鄂東我軍克黃石港
page 2	滬英籍志願軍日間出發往近東服務
page 2	晉城展開爭奪戰日三路反撲被擊
page 2	充實戰時資源政府改訂禁運貨品米穀雜糧五金等暫准進口以期充裕後方必需之物資
page 2	蘇皖北部戰事激烈
page 2	波蘭空軍戰績彪炳十八日內擊落德機七十一架
page 2	國府褒揚林萬鎮黃秋景
page 2	桂各界公祭馬君武
page 2	王揖唐密訪王克敏南京財政系頗為焦灼不安
page 2	李杞丹妻一胎三子
page 2	里賓特羅甫羅馬之行
page 2	日竟要求引渡孤軍
page 2	越法軍在越桂邊界忙於建築防禦工事貝當願意屈服越人主張抵抗
page 3	德方亦自承認濫炸英國平民
page 3	炸擊大陸沿海英機攻勢益猛
page 3	九一八九週年蔣委員長告全國同胞三東北同胞生活如人間地獄要收復失地解放受苦同胞
page 3	軍居同胞
page 3	轟炸焚燒
page 3	矢志復仇
page 3	美議員維廉京主張考慮奎松呼籲倘美國不肯援助菲律濱將　菲律濱與日更合作
page 3	胡佛主張準備經濟自衛加強工業組織加強經濟動員以防戰事結束美受經濟打擊
page 3	美國觀戰團離英返國該團視察所得將報告羅斯福
page 3	美海空兩軍部飛機將有一部出賣係Ｂ一七式轟炸機
page 3	桂省派員攜款救濟靈山難胞
page 3	英倫大戰短期斷難結束美報之評論
page 3	法政府發表公佈拒絕泰國要求據稱絕無考慮餘地
page 3	瑞士重申民主獨立原則
page 3	英與西國成立煤油協定限制煤油輸入西國不虞煤油從西輸
page 3	國府令派朱家驊代理研究院長
page 3	咖啡　祖柏達臣逝世
page 3	加望美國讓出舊坦克二百輛
page 3	德外長抵羅馬將與墨索里尼會談檢討德意軍事經濟
page 3	侵入埃及意軍並未有何進展意軍之行動範圍仍限沿海岸一帶
page 3	德機向倫敦區域作廣泛之濫炸貧富住區均受其害英用新法擊落德機
page 5	會城西郊一度混戰
page 5	睦洲方面戰情一瞥
page 5	中山日軍續移前山
page 5	九江日軍犯石岩頭
page 5	日艇兩艘被我擊沉
page 5	粵省新運會熱烈推動勞動服務訂定各季工作計劃綱要
page 5	粵省府奉令設糧食管理局內定譚葆壽任局長前糧食調節會裁撤
page 5	南路之走私與匪患廣州灣附近各地之治安
page 5	小學教師加薪辦法粵府修正公佈
page 5	工作項目
page 5	薛岳通電粵桂兩省統籌訂購湘米嗣後個別購糧停發運證以免商人圖利影響民生
page 5	粵府令各縣建築山塘預防旱溺並闢山地為良田
page 5	惠陽鹽價奇昂每擔四十餘元
page 5	粵公路處增開韶隆專車
page 5	義賣
page 5	罰款
page 5	各縣
page 5	東江
page 5	韶擴大征募寒衣運動中秋獻金義賣籌款各縣月底開展工作
page 5	獻金
page 5	日海軍加緊騷擾沿岸東西兩江日艦企圖蠢動
page 5	西路我軍乘日立足未穩爭取主動連日全線總出擊會城近郊劇戰我衝至惠民門我團隊三路攻睦洲發生激戰
page 6	前線軍事會議
page 6	增從前線戰情
page 6	增城日軍備戰
page 6	我軍攻入曹村
page 6	桂洲日兵失蹤之驚擾限三天尋回兩鄉居民皆紛紛逃避
page 6	韶關要聞彙誌
page 6	防止日方掠奪外匯財部增加承匯款銀行廣東華僑等銀行俱在內
page 6	江門馬坭鄉附日軍又反正
page 6	粵黨部組農工商福利會
page 6	粵僑通訊處調查失學僑生
page 6	榮譽軍人重上前線殺日始興各界熱烈歡送
page 6	三澳交通調查
page 6	粵省奉令查禁軟性畫刊
page 6	老翁送子從軍
page 6	南雄某機關徵求會計人員
page 6	挺進隊襲佛山死傷日官兵多名
page 6	粵北我軍部署冬季總反攻區張兩師全部推進清從花線從增日軍調動忙有蠢動企圖
page 7	施柏堅昨飛渝考察當地防空建設灣仔大佛前闢築避難濠油麻地將舉行防空演習
page 7	運貨赴美手續突轉麻煩
page 7	住聯會會議紀
page 7	法輪一艘忽奉召回越不載客貨空船離港
page 7	記者圖書館定雙十節開幕記者學會遷入該館辦公
page 7	代督檢閱印兵
page 7	橫瀾燈塔捕獲巨蛇長十九尺重十七公斤曾吞噬生　十餘隻
page 7	高街發生火警僅焚樓一層
page 7	起火地點
page 7	灌救情形
page 7	賊匪圖劫深水埔商店捕獲疑犯四名搜獲短槍兩枝螺絲批一個九龍城惠群女校亦幾被劫
page 7	海盜又劫貨艇
page 7	車輛失事統計去週死四人傷廿七人
page 7	趁火行竊
page 7	尖沙嘴廣東道老屋倒塌傷斃多人已挖出屍一具傷者一名消防隊員現仍在挖掘中
page 8	旅客藏私煙案兩罪共罰二千元
page 8	審計師公會昨日召開會議決指導僑胞繳納戰稅
page 8	旅港僑胞疏散辦法省救濟會港辦事處公布
page 8	關於沿途膳食茶水住宿
page 8	二關於沿途輸送及保護
page 8	三關於抵達韶關之住所
page 8	關於僑胞之職業
page 8	節建儲運三期結算已得八十四萬餘元總結束期展至十月十日料將來成績可超過百萬
page 8	又破獲字膽廠三賭徒被拘罰
page 8	汽車誤撞石柱傷四人全國傾覆油箱車頭均毀壞
page 8	誤撞石柱
page 8	四人受傷
page 8	警察救護
page 8	嶺南大學將追悼古桂芬農學院內遷積極進行
page 8	吳鐵城等勸募程振章遺族基金
page 8	港法僑擁護自由法國昨日召開首次大會討論支撐祖國計劃
page 8	霍亂疫症又發生卅一宗
page 8	商會主席郭泉談本港保衛團將可成立大部份商店已答應派員充任市面傳謂組織困難絕對不確
page 10	游泳冠軍三次預賽陳震南創紀錄八百八十碼成績破全港女子一百碼沙蕙英落選
page 10	籃球戰訊
page 10	南華華人中青合辦全港華人水上競技會定下月十八十九兩日舉行
page 10	星球友誼賽星島昨克海軍成績五比三
page 10	久懸未決之棒球聯賽冠軍銜準明日在加山解決岷甸奴四戰港啤隊
page 10	侯澄滔張金海易幟後東方會有才難之嘆鍾勇森亦退出行蹤未明
page 10	東
page 10	張
page 10	現
