page 1	俄軍侵入波蘭以後
page 2	蘇軍五路侵入波蘭已侵入波境卅四里將與侵波德軍銜接
page 2	波蘭首都將遷法國重要官員多入羅境柏克外長離波赴羅
page 2	波軍仍可困擾德軍德機械化部隊一隊在勞夫之西被擊破
page 2	Ｘ與鼓浪嶼當局訂立協定
page 2	英法不改現行立場波蘭再度受人蹂躪英法自必加以援助
page 2	法軍報稱西線沉寂雙方只有局部衝突大批德機開到增援
page 2	蘇軍入波得德同意
page 2	波軍紀律毫無改變
page 2	波軍奮勇抵禦德軍
page 2	蘇聯照會二十四國聲明蘇聯決保持中立對蘇聯侵波英法波會商對策波羅的海沿岸諸國集軍邊境
page 3	參政會四次大會林主席致訓詞
page 3	張伯苓致詞
page 3	英航空母艦勇敢號被德潛艇擊沉艦員幸得英驅逐艦所救獲
page 3	謠傳宋子文秘密往蘇係與中日戰事有關聞蘇聯願出任調停
page 3	川康建設方案提案
page 3	召集國民大會提案
page 3	倫敦各報一致抨擊蘇軍侵入波蘭但各報觀察未趨一致蘇聯舉動仍係一大謎
page 3	豫北我迫封邱並潛入開封活動柳州戰役光榮史
page 3	羅斯福夫人發表演說
page 3	張一　答詞
page 3	波索斯諾斯基將軍企圖成立軍事獨裁為波陸軍總司令所阻而失敗波蘭帥部內現狀極為混亂
page 3	波軍派專使見德統帥德方覆電願予接見
page 3	各大學院校招生揭曉
page 3	日謂無意與蘇締非侵略協定日蘇成立休戰協定亦非由於德國調停
page 3	Ｘ在城陵磯以西新河口處登陸與我守軍發生激戰
page 3	寺內等抵柏林
page 3	德羅訂立商約
page 3	新開路沿線我軍克復大澤中山我軍連日向Ｘ反攻
page 3	冀察軍民討汪
page 3	參政會通過要案請政府明令定期召集國民大會制定憲法實行憲政
page 5	Ｘ向橫門再度增兵
page 5	Ｘ機昨日轟炸石岐
page 5	大王頭Ｘ搆陣固守
page 5	珊洲坑黎村仍激戰
page 5	中冊形勢再告緊張
page 5	澳岐渡昨被炸甚慘
page 5	反攻江會牽制Ｘ軍
page 5	增郊戰事迭起我軍小樓抗Ｘ記
page 5	Ｘ增兵新街圖沿粵路北犯
page 5	瓊島我軍之戰績勇克雷鳴Ｘ退定安
page 5	粵教育學院改文理學院經過設教育文史數理化等四系增設體育專修科訓練師資
page 5	新會小岡Ｘ偽退後瀧水墟已恢復常態商店復業民趁市繁榮如昔
page 5	粵贛桂三省會剿邊區土匪南雄連山附近土匪出沒當局妥為撫剿不足為患
page 5	第四戰區令收編各地散兵游勇加厚抗Ｘ兵源規定收編辦法
page 5	南番順各屬水道交通窒礙
page 5	南雄發現大量鎢礦
page 5	粵北各縣加緊修路
page 5	Ｘ在深圳南頭之近狀東莞商販亦如常往來草步鄉民因誤會遇難Ｘ機偵察深圳又誤會
page 5	草步鄉民走避遇難
page 5	Ｘ機前夕偵察廣九
page 5	新會抗工訓練期滿
page 5	Ｘ再增兵橫門準備再犯Ｘ機昨日轟炸石岐市大王頭珊洲坑仍有戰事澳岐某記渡昨日亦被炸
page 7	萬噸英輪架設巨炮
page 7	大批德貨在港被留
page 7	港僑自衛團加聘幹事四人陸　雲等三人任總巡閱
page 7	各界沉痛紀念九一八四十餘學校舉辦一角獻金
page 7	僑校獻金
page 7	排球義賽
page 7	象棋擂台賽第一晚之戰績
page 7	中區防空員實習防避毒氣
page 7	港僑救護團續招團員訓練
page 7	汽車撞死苦力
page 7	港政府俯順輿情准拍發中文電但仍不得用密碼或掛號碼電報上須書明收發人住址
page 7	根據國際公法英艦截搜各國商船昨曾搜查日本輪船兩艘港府扣留大批運滬德貨
page 8	須注意之各點
page 8	陸上車輛交通
page 8	海港輪舶燈火
page 8	防空演習信號
page 8	防空部隊演習
page 8	學生賑濟會將追悼關晃明
page 8	九龍關公布鮮魚免轉口稅
page 8	法領事館突停發護照赴法屬外僑須領特許證
page 8	旅暹僑胞援救會積極組招待所
page 8	堅道巨宅紅丸案判決第一第五兩被告均處徒刑三女犯交救世軍監視兩年
page 8	華人防空訓練續招第二期學員
page 8	兩人被控私擅買賣日元
page 8	糾黨截劫
page 8	行兇傷人
page 8	簡琴齊藝展廿二日開幕
page 8	陶新女校之發展
page 8	徑賽訓練法要綱二
page 8	小型足球戰訊彙誌
page 8	　正式公佈廿二晚舉行防空演習市民觸犯該例者決罰款一行無元
