page 2	論滇唐不救蜀之失
page 3	京政府聞孫文以廣九肇慶白沙三處礦產向英商借款度歲照會英使阻止
page 3	吳佩孚表示副座未選國會責任未了因發生選副座問題
page 3	廿三日參議院開會孫寶琦出席報告大政方針在保國權遵憲法規定法六字
page 3	孫寶琦對鄭江灝質問案謂金佛案取公開式王克敏雖有嫌疑惟無憑証
page 3	使團對答覆金佛郎案尚未一致
page 3	鹽務署代財部付外洋報機密費二萬五千元近日無聊外人藉報向京政府索津貼者不少
page 3	曹錕又擬易晉督以王懷慶任督理閻錫山任省長
page 3	財長仍王克敏教長張國淦廿四日就職
page 3	孫閣崇文門稅庫券已草定條例券額千萬息八厘六年還清
page 3	大北水線合同期滿外部照會丹使要求合辦方允續約
page 3	僑奉俄軍人請入德籍
page 3	俄列寧病故
page 3	綏遠蒙匪甚劇佔包頭西各蒙旗
page 3	黃河已封
page 3	陝北匪又竄緩遠
page 3	王承斌籌議滄石路收歸省辦估工須千萬
page 3	津日司法領事廿二日開始審案
page 3	膠路總管理日人表示月須先撥日債廿萬存正金銀行方能撥充北歸海軍餉
page 3	沿膠路十四縣商聯會主膠路民有反對三處開埠
page 3	吳佩孚催趙恒惕一個月內取銷自治趙允俟修正省憲後實行劉聚彝田鎮藩已就編
page 3	浙代表謁孫傳芳請簽閩浙和約孫未允簽
page 3	聯軍內部將來之趨勢
page 3	國民黨大會通過宣言案詳情胡漢民不反對聯治
page 3	督辦署之鴉片預算每日派銷四千七百兩東江不列入賣煙區域
page 3	西報評孫文組織新政府
page 3	港探赴省圍捕大利劫犯拿工獲大利水手二名
