page 2	論孫氏命各省軍為總司令事
page 3	孫寶琦廿八日宴國會議員
page 3	中俄會議下月舉行
page 3	有過舊歷年後孫寶琦赴各省接洽統一由顏惠慶代閣說
page 3	孫寶琦向曹錕言擬俟春假後分訪各省督軍省長促統一國務由顧維鈞或顏惠慶代
page 3	崇文門稅庫券銀行界要求總稅司保管始允承購干家襄吳景濂均爭審計院長
page 3	朱兆莘電稱英國因我國煙禁廢弛將提出嚴重質問
page 3	崇文門稅庫券廿六日閣議決發千二百萬八四交款息四厘由中行包銷先墊年關費二百萬
page 3	廿六日午孫寶琦入府商和平統一擬令川粵息兵
page 3	日本擬以千萬元發展南滿
page 3	水利大連設總局奉天內蒙設分局
page 3	吳佩孚意推盧永祥任副座以何豐林督浙以緩和江浙問題惟吳景濂派擬以副座與吳綏遠和林縣有被匪攻陷訊
page 3	豫省譁兵五百餘人廿二日竄入鄂境　化縣
page 3	秦皇島已冰
page 3	蘭州訊卓泥土司楊積慶轄地千餘里人口數十萬因遭酷暴改土歸流擬另設一行省
page 3	楊森攻金堂李樾森攻簡陽鄧錫　陳國棟攻莘潼熊克武但懋辛軍精銳咸集潼屬援川軍派主克復梓潼蝗始搗成都援川佔樂至省軍向簡陽淮州進援
page 3	湘財司因年關已迫令各縣長舉行驗契稅又電派銷印花
page 3	粵聯兩軍相持之現狀東江尚無大戰
page 3	建國政府之產生難民黨內部之分派孫科亦不表同情於乃翁
page 3	蔣光亮要盡繳第四師軍械
page 3	捕獲大利劫案嫌疑犯續聞
