page 1	外蒙出兵後之大勢
page 2	閻馮李程陳李等任軍委會委員黃介民為司法院秘書
page 2	劉桂堂匪部擾臨忻被我圍殲肅清犯水治鎮之敵被我擊潰對犯晉東企圖受一打擊
page 2	我軍克廣德後昨續收復宣城高陽之敵結合實際短陣線杭州偽維持會成立
page 2	貽　戎機韓復　已被槍決劉多荃萬福麟傳亦已由蔣令處決
page 2	汪精衛將乘機飛法傳汪係代表國府負某項重要任務
page 2	難民救濟總會擬定救濟難民撫輯流亡辦法以墾殖為配置難民中心工作通令各省市分支會遵照辦理
page 2	滬日浪人任性騷擾百樂門舞廳為浪人搗亂警員勸止無效乃提前停止營業
page 2	台灣革命黨積極進行反日軍械及經濟均有切實接應辦法一俟時機成熟即發動軍事力量
page 2	孫科發表談話否認駐蘇大使其赴歐洲任務有秘密性故對一切不便有所宣佈
page 2	豫動員委會積極工作
page 2	抗戰教育協會籌備組織
page 2	津浦路南北段戰況　州近郊戰事極激烈魯敵企圖南犯在兩下店被擊潰沙河集民眾殺敵六百向滁推進
page 3	國府公佈經濟部組織法二行政院組織法第一條條文又修正
page 3	東京英大使館中出演一幕滑稽劇名作家渡邊誠心獻古劍警察廳得報　認作狂徒
page 3	法總理旭丹辭職後龐萊允出組閣但須徵詢各黨意見始正式受命旭丹赫禮歐達拉第均先後謝絕
page 3	旭　內閣籍職經過
page 3	旭丹不願再度組閣
page 3	英美海軍將聯合以對日兩國將來在必要時交換星菲軍港使用
page 3	政潮嚴重影響金融
page 3	國府公佈交通部組織法一該部負責規劃建設管理經營全國鐵道公路電政郵政航政
page 3	遠東形勢嚴重蘇聯修改憲法遇蘇有被敵侵犯危險時得宣佈戰爭狀態之存在
page 3	綏溪我軍出動三路圍攻包頭
page 3	日軍搶劫南京美僑財產前駐濟美領向日提抗議
page 3	桂抗敵會派員慰勞傷兵
page 3	金門之敵僅有二百餘人
page 3	武漢昨發生警報蘇大使未赴渝改期今日再飛
page 3	北洋餘孽趙琦將任偽青市長
page 3	我已絕不妥協敵大本營與內閣聯合通過對華根本政策宣言該項宣言俟奏請日皇後始能發表敵將照會許大使離境並召回川樾
page 4	上半場二對一
page 4	下半場一對一
page 4	尋常杯足球賽出乎一般人意料之外米杜息勇克南華南全場戰爭米隊盡佔上風南隊聯絡欠佳坐失良機四與一比石金打破光蛋
page 4	今日足球賽東方迎戰若瑟當有好看頭
page 4	普通女子籃球賽西南西勝南隊梅芳甲克精武
page 4	連勝三球倖破光蛋
page 4	角球失利畢氏建功
page 4	九華敗于九龍成績五比二
page 4	督憲杯足球賽定期舉行複賽廿二日在加路連山港督親臨頒發獎品
page 4	港外匯市穩定
page 4	華人游泳會本屆新職員產生
page 4	皇仁勇克工業培正培勝興華今日續有兩場舉行
page 4	八九金價盤旋
page 4	舊中桂紙報升
page 4	省毫券仍平穩
page 4	士氣消沉戰力渙散三比二南華華僅勝香港會全場戰況平淡無奇實無　紀
page 5	統率會委員昨已紛紛首途來省該會決定明日成立
page 5	華南沿海敵艦最近之動態傳敵擬棄金門
page 5	慘害漁民
page 5	炮擊洋浦
page 5	香副總司令詳談武裝民眾及前線督戰殺敵經過軍隊三種不良氣習必須廓除敵機炸彈只能摧毀無辜草木二
page 5	飛機炸彈的效力並不大
page 5	擬棄金門
page 5	東江水道增強護航力量恢復東莞　聯防會
page 5	敵機三十二架昨又輪迴進襲粵路損失慘重行車無期我南郊高射砲擊傷敵機
page 5	河南壯丁隊實施防空演習
page 5	炸粵路客車慘狀
page 5	吳主席組軍管區司令部俟頒到關防即可成立召各師管區司令會議推行全民兵役工作
page 6	全國海關華員為偽政府攫奪海關宣言
page 6	失業海員登記已達千人
page 6	中山境內發生截劫穀艇殺船主案
page 6	抗戰繪畫流動展覽昨訊
page 6	警察傳催首期煙民戒煙
page 6	歸僑抗敵後援會今成立
page 6	寶安中學員生組先鋒隊自衛
page 6	潮汕最近要聞
page 6	潮糖未能北運
page 6	劉侯武查吏治
page 6	義警名額准減
page 6	趕修韓江提防
page 6	潮汕各團體再請迅予免征洋米稅米荒形勢嚴重迫不及待
page 6	限期募集棉衣
page 6	陳丙丁昨就捕
page 6	婦女製餅勞軍
page 6	限繳購機捐款
page 6	老翁祝壽暴斃
page 6	汕市治安鞏固
page 6	一部市小教職員請市府繼續任用訊
page 7	紅十字會港辦事處又收到松柏僑胞義款普益商會會員長期捐薪播音界游藝會今晚舉行
page 7	定期討論捐租提案
page 7	播音界舉行游藝會
page 7	中大服務團徵物品
page 7	本港陸軍又實彈演習分在昂船洲白沙灣等地舉行
page 7	黃冷觀昨日出殯報學兩界執紼者數百人
page 7	海員工友捐款購債
page 7	大會章程
page 7	國貨展覽會定期開幕大會章程昨已修正發表
page 7	赴星船票價跌
page 7	大興輪船脫險
page 7	聘西藥宣傳員
page 7	李仙根抵港賦詩一首辯誣
page 7	西南民航機將試飛中暹線中暹民航合約在商訂中預料短期內可正式開航
page 8	義王辭嚴
page 8	傀儡組織
page 8	生死存亡
page 8	先決條件
page 8	抗戰勝利
page 8	真正力量
page 8	抗日戰爭
page 8	鞏固文化統一戰線加強文化國防續
page 8	英政府嚴防洩漏軍秘禁水兵向外界發表談話
page 8	抗日政綱
page 8	駐粵德領飛漢
page 8	汛美機昨到港今日開菲轉美
page 8	車輛撞傷三人
page 8	日軍無力戰勝游擊隊便 不算佔領中國領土日能否增兵來華已成難題陳丕士暢論中日目前戰況
page 8	抗戰六月實力不減
page 8	日本增兵實屬難題
page 8	御前會議之嚴重性
page 8	華北不利改擾華南
page 8	本港人口增加各行商多獲利
page 8	旅德僑胞抗日會聲討附敵逆賊呼籲全國同胞擁護政府抗戰驅除侵華強敵銷滅無恥漢奸
page 10	六次防空演講已定十七日舉行
page 10	劫案兩宗過堂
page 10	招商承建中市
page 10	衛生局之議案
page 10	秘魯領館結束
page 10	港府財政報告
page 10	港府之新委任
page 10	經警監銷假視事
page 10	天壽堂贈送名畫
page 10	南方學院書法賽
page 10	大鏟海面貨艇被劫六條大漢掠去數百元
page 11	磨厲以待殺敵廈門質地壯實夜市場雖然淒寂絕不影響童販呼賣代替爵士音樂了
page 11	荒寂的海後
page 11	冷靜的街頭
page 11	絕蹟的公園
page 11	日方控制無線電訊堅拒折中辦法大東大北等水線電局六日起日方派員檢查華員全體撤退無線電停業
