page 1	復興基礎與青年心理
page 2	渝市大火焚燬住戶二百餘家財產損失至少在百萬以上
page 2	湘省破獲偽造縣印契據案侵佔省產市產數萬方
page 2	太原租房糾紛解決日人攝影娘子關形勢被勸阻
page 2	保定民眾籌捐一日所得貢獻國家
page 2	津市戒備又形嚴重
page 2	橋本和知日內赴青攷察
page 2	林主席昨返京
page 2	中英庚款董事會昨日舉行常會
page 2	財政部起草營利事業所得征收須知現正向各方徵求意見本年底可公佈
page 2	段祺瑞下月六日開弔
page 2	陳立夫由粵飛洛謁蔣
page 2	教部派員視察各地教育
page 2	謝奮程等視察粵路沿線
page 2	廿九軍駐滬辦事處長李廣安昨返滬
page 2	川合作金庫定期舉行開幕
page 2	鐵爾登梵恩斯昨日啟程來港
page 2	居正到院辦公
page 2	實部補助陝甘綏造林費每年一萬八千元
page 2	鄂縣長檢定報名展期
page 2	日商考察團參觀武漢醫院
page 2	日積極助蒙匪侵犯綏東係謀割據中國領土一種步驟滂江機場到日機四十餘架王匪部配有大砲兩隊傅作義注意綏北防務潘王決親往前方協助一切
page 3	蘇聯領館舉行國慶紀念
page 3	李桐華昨抵滬
page 3	連雲港市面漸呈蕭條之象
page 3	李家鈺升任四七軍長
page 3	實部銀界合組漁業銀團在滬成立籌備處
page 3	川樾許世英均有更動說
page 3	日將在榆關設領事分館
page 3	實部決在汕增設檢驗局
page 3	西平電話通話
page 3	黃紹雄昨日歡宴阿王
page 3	贛發現重晶礦
page 3	鐵部派員點驗隴路隊警
page 3	平學生舉行災區服務運動
page 3	本年冬季中學會考辦法
page 3	中央電台廣播地理常識講題　　形概論
page 3	日荷糖商聯向我　傾銷
page 3	京滬二次網球對抗比賽
page 3	中美白銀協定告終美國收買中國白銀達七千餘萬安士
page 3	法右派政黨民主聯合黨舉行全國代表大會一致通過反對現政府之農業政策要求增強法國國防並求其現代化
page 3	西班牙政府屢敗叛軍已攻入馬德勒西戰事雖未能就此可以結束但拳軍已得將來作戰根據地
page 3	　江路日軍昨突堆沙包
page 3	冀察稽查處現趕辦結束
page 3	浙省會運動會昨日開始舉行
page 3	為基隆事件英大使訪問日當局
page 3	意奧匈三外長將舉行會議決定有關中歐局勢兩大問題即奧國復辟與匈牙利重整軍備
page 3	德政府發行大幫公債
page 3	法改組空軍計劃組空軍陸戰隊以降落傘降落敵後從事破壞敵陣工作
page 3	錢昌佐抵德考察航空事業
page 3	美海員因經費短絀罷工恐難久持
page 3	英德兩國簽訂通商協定恢復商業兌匯商業
page 3	英再照會法比意德調和各國意見謀洛約會議早日實現
page 3	波外長啟程赴英聘問商談但澤等問題
page 3	羅斯福昨返抵華盛頓民眾夾道歡呼宛如將軍凱旋
page 3	羅國貨幣仍保持金比
page 3	許世英擬回國弔段
page 4	黑鷹艦隊敗北
page 4	今日兩勁旅相遇南華南戰華塞斯九華隊抗聖約瑟于掃桿埔
page 4	廣州健將來港助陣中華仍以三對一敗與香港會十二碼張滿榮誤失良機將完場譚均幹大演身手
page 4	公開排球賽南華南反敗為勝三比二壓倒漢中校友隊今日南華華對保新校友
page 4	南華十四屆陸運會今日十時開幕
page 4	東方絕不客氣贈西警四只鴨蛋金百兆先開紀錄宋靈聖連中三元
page 4	雛鳳前鋒活躍五分鐘連得二城四對一大勝蘭開夏下半場氣力不繼屢被蘭隊圍攻距完場七分鐘士蔑夫打破紀錄
page 5	市府梁參事談廣州改特市事
page 5	省港米業請求減洋米稅
page 5	鐵路兩旁之植樹
page 5	土紙業請撤銷減征舊洋文報紙稅近訊土紙滯銷並非因洋文報紙減稅實因走私充斥所致財廳某秘書之談話
page 5	桂貨來粵忽疏落
page 5	女權會籌設婦女職工訓練所
page 5	農村合作事業之一蠶絲分三步改良農村合作委會成立首先計劃改良蠶絲
page 5	東路行車處重訂三幹線搭客上落站
page 5	不准航商專利
page 5	四區行政專員嚴限肅清匪患加派承審清理積案
page 5	憲兵司令部省會冬防之規劃
page 5	省府實行裁員減費各三等縣首先改制一二等縣按步辦理
page 6	通訊社從新登記
page 6	河南坊人擬收尼庵辦平教
page 6	奧滬電話開放期
page 6	王仁康巡路續誌
page 6	東沙路焚車傷人
page 6	兩廣外交特派員刁作謙
page 6	廣東高等首席檢察處
page 6	全省總糖廠司理司徒錫
page 6	電力公司董事請將電廠交回商辦省市府據情後決定仍為官辦
page 6	東江航線各輸近日互相降眾目招徠
page 6	粵省建設公債
page 6	黃濤由汕飛閩續談
page 6	建築中之中大圖書館藏圖書八十萬冊容讀者一千餘人十一日舉行奠基禮
page 6	車歪砲台建煤倉
page 6	相士僱艇看相被警察拘獲
page 6	攷察歐洲體育後許民輝談此行觀感送選手回國後個人獨留考察德意蘇三國體育完全軍事化
page 7	拜會港督
page 7	赴港紳宴
page 7	羅氏致詞
page 7	孫氏答謝
page 7	日幾全佔本港疋頭市場歐貨運港由三萬箱減至約千箱
page 7	追悼魯迅籌備會昨開第四次會議
page 7	今日返省
page 7	山石壓傷一石匠
page 7	小輪客墮海獲救
page 7	港童軍昨舉行野火大會港督到場主持舉火典禮
page 7	會場佈置
page 7	表演秩序
page 7	技藝演習
page 7	舉火典禮
page 7	天一快船恢復航期
page 7	孫科昨日拜會港督羅旭和曹善允等設宴歡迎
page 8	大會秩序
page 8	主席致詞
page 8	婢案統計
page 8	育女問題
page 8	越南免納過境稅之華貨九龍關公署昨正式公布
page 8	農展會定期舉行
page 8	淫褻刊物應取締
page 8	選舉值理
page 8	第三次平安運動定期揭製活動影片
page 8	法艦昨又到一艘
page 8	兩大員同聲贊美
page 8	英巴訂互惠商約
page 8	洋行發生鉅竊案
page 8	衛生局會議議案
page 8	港督參觀旅行會
page 8	演說比賽之結果民生醫院學生余立偉冠軍
page 8	英京銀價仍趨漲
page 8	港外匯市仍趨堅
page 8	英美匯兌續報縮
page 8	昨日廣州西紙市
page 8	滬外匯市仍穩定
page 8	省法幣市價轉漲
page 8	八九金價昨報升
page 8	反婢會週年大會紀巧立名目蓄婢者仍多育女註冊應從速舉辦
page 10	開投公地之通告
page 10	虐待女僕被重罰
page 11	上天河河面江梧貨船被撞沉
page 11	汕頭新市長黃秉勛由省抵汕就職日期未定
page 11	汕綢緞商人防私辦法須改善
page 11	揭款清還積欠教費
page 11	國難嚴重中潮陽囚犯亦請纓救亡網開三面請早頒大赦之令願效命沙場為民族爭生存
page 11	巨浪捲沉柑艇損失
page 11	台城拘獲賣淫私娼
page 11	舉行第五次運動會
page 11	楊萬晉接九江市局
page 11	民眾舉行新運巡行
page 11	欽縣民眾電請加委台衍芬為縣長對桂軍入佔時情形之補述
page 14	陝南鳳縣解圍經過官民一致動員死守城郭駐軍沉著應戰擊潰悍匪
page 14	以防偷襲
page 14	士氣益振
page 14	幸保城池
page 14	藏匿殘匪
page 14	督率民眾
page 14	日本第三艦隊陣容現在我國境內活躍
page 15	邊省采風錄二介紹整個的察哈爾
page 15	物產豐富礦藏尤夥
