page 1	荷印的前途
page 2	英一切準備妥當古柏發表演說德機襲英倫已為慘敗前奏希望德機再來得收拾殘骸
page 2	我存法租界無線電用具價值二千萬被日移去法當局有負我委託保管之責曾國樑被槍擊聞與此事有關
page 2	滬英軍防區傳定期換防日方或將再度召集會議眾信此舉必無若何結果
page 2	軍委會發表一週戰況十一日至十七日
page 2	日本物資缺乏頒布節約法令
page 2	羅斯福談美加合作防衛新世界
page 2	日與澳洲交換使節
page 2	駐津英防軍乘輪離境
page 2	那南日軍工事全毀
page 2	英海軍護航制擬推及中國各港口
page 2	台山海面日艦肆擾
page 2	里來特中佐作戰有功獲獎最榮譽勛章
page 2	法西斯政權報攻擊美國謂美受猶太人管治軸心國家無意侵美
page 2	羅王現正考慮匈國要求羅保又將舉行會議保國代表已抵維京
page 2	陳嘉庚等赴桂
page 2	日機又擬襲渝
page 2	路透社遠東經理被竊案已破獲
page 2	德輪一艘由溫州駛上海曾被日軍扣留
page 2	滬白相人吳商友被擊斃
page 2	意希關係嚴重意決要求希賠償損失
page 2	卡爾行將來港
page 2	越南堅決拒日要求與我商計聯防辦法日遭越南拒絕轉向貝當要求
page 3	英機炸德軍事目標
page 3	非常時期維持治安緊急辦法第二條各項法條之參攷三
page 3	德發表聲明封鎖英倫三島無論任何一中立國輪船駛入英倫水界將有危險
page 3	納粹黨人在美活動指揮共黨團體煽動工人罷工
page 3	德將發表新外交政策此種策動與和平無關傳德將發表正式公報
page 3	英潛艇柯非亞士號逾期未返回料已被犧牲
page 3	褚輔成由渝抵蓉視察
page 3	法當局下令告誡海外法僑對於國策勿隨意評論
page 3	英國各界捐助購機款數三百零五萬餘鎊
page 3	倘希被意侵略土必立即援希納粹份子在土宣傳企圖離間英土兩國
page 3	德意會商調整經濟關係將波摩兩區列入德關稅區恢復意德佔領區鐵路交通
page 3	不可思議
page 3	不成理由的理由
page 3	不能再有黨派界限
page 3	共和黨候選總統韋爾基正式表示接納候選權發表演說極力抨擊羅斯福詆其導美國入於毀滅之途
page 3	索馬利蘭戰事無何變化
page 3	英國擴大封鎖區英海軍部劃定危險區域海峽月朗氣清空戰沉寂
page 5	再席積極推廣農貸
page 5	廣海被炸損失重大昨傳廣海被佔但未證實本港台山商人昨接電報
page 5	日增兵防城企圖深入擾犯欽縣殘餘日軍退集金雞塘日艦迭運載傷兵前往瓊島桂南我軍再克上思龍城
page 5	防城我軍繼續追擊
page 5	日以全力圖保欽城
page 5	上思龍城日軍被殲
page 5	日方派員入桂勞軍
page 5	廣州灣總公使出席商人大會表示決心維持一九三六年時貿易法陸戰隊開到增防
page 5	博羅縣城被炸詳誌死傷民眾百餘人
page 5	禪炭線之劇戰我軍分路攻官窯馮涌日馳援被截擊
page 5	開平查緝所在牛灣設分卡
page 5	汕市日軍忽然施行戒嚴
page 5	順德團隊截獲大良日軍電輪
page 5	粵省府加緊收購游擊區國產物品粉碎日人　物資陰謀
page 5	粵省合作農貸概況合作社遍全省開展工作辦理農村貸款成績甚佳
page 5	合作行政劃歸建廳
page 6	沿岩口公路擾犯被擊
page 6	新會古井情勢已轉和緩中山八區日艦亦已他去澳門與內地交通不致全斷
page 6	八區日艦多已他去
page 6	浮墟橫徑激戰甚烈
page 6	虎坑口外一幕海戰
page 6	滿　荊棘
page 6	重建賊寨
page 6	廣海航線
page 6	剿匪清鄉
page 6	台山禁煙近況已成立戒煙所收容煙民施戒
page 6	粵省發動青年從軍運動
page 6	番禺團隊襲沙灣之戰虹焚日營房多間
page 6	順德米荒中蠶桑又告失收
page 6	台山匪患日甚一區近派梁岱辦清鄉昨召開全縣治安會議古兜山等處匪巢之今昔談
page 7	越政府態度轉強硬
page 7	日軍在越大購米石
page 7	日來赴越客貨反增
page 7	並無限制華僑人口
page 7	東華義學各級新生揭曉
page 7	四公司獻金台共收款萬餘元華人泳會成績美滿超立社義款匯重慶
page 7	華人泳會獻金運動
page 7	小販義款今日匯呈
page 7	熱心人員贈章獎勵
page 7	華北撤退英軍或將調防本港港當局將發表公告
page 7	女兵災會售花成績
page 7	交通當局驗全港電單車準備隨時徵用分配工作
page 7	越南政府絕無限令華僑離境日來赴越僑胞反略增加日派專輪向越購運米石
page 8	圖劫馮儉生疑犯昨已提堂太平酒家司數員有串謀嫌疑馬頭圍道劫案同時捕獲疑犯
page 8	佛山輪事件尚未解決廣州英領事昨發表談話
page 8	失業教師展期回國服務因省賑會未發給旅費
page 8	中華郵政總局招攷機工監事第一次僅取錄八名
page 8	學賑會常會紀
page 8	港九兩地人口現有百六十萬兩月來減少廿五萬根據用水數量估計
page 8	結志街男女跳樓自殺頭破肢斷血流滿地男子重傷女已殞命
page 8	酒樓茶室防客跳樓自殺兩種善法將可試行慶雲樓客跳樓遇救
page 8	誠為憾事
page 8	現有兩法
page 8	茶客獲救
page 8	教育界代表今日謁教育司
page 8	帝航機增班次提前一星期實行
page 8	大批魚菜到港
page 10	國際棒球第一戰葡隊旗開得勝以七比六獲得決賽權一分之差英軍被淘汰
page 10	西青勵進鐘聲域會週末四角游泳對抗下午九時一刻在西青池舉行門券收入一半撥作援英戰費
page 10	南華四次水藝
page 10	全港公開乒乓賽昨已截止報名參加者共八隊
page 10	昨日德權鼎戰績
