page 1	論和戰之利害
page 2	漢口之Ｘ繼續封鎖法界禁運貨物及斷絕電力供給
page 2	贛北我分兩路襲彭澤Ｘ與Ｘ激戰斃Ｘ甚眾
page 2	滬英日軍又生摩擦
page 2	晉　我軍攻入清華鎮中陽我軍攻入水頭將Ｘ擊潰
page 2	平津鐵路交通完全繼絕Ｘ軍車傾覆
page 2	Ｘ機肆擾各地
page 2	Ｘ艦發炮轟南津港白螺磯Ｘ增加
page 2	參加麥加朝覲
page 2	朱家驊王世杰電畢德門盼努修正中立法羅斯福制裁暴力主張與蔣委長意志適合此舉實美對日摧毀美在華利益利益合理報復
page 2	粵各界開會歡迎張發奎等各將領張請各界協同當局努力抗戰並嚴斥汪精衛媚Ｘ主降之謬
page 2	世界學生代表遠地來鴻全世界青年同情中國他們現在美加演講推動援華反日世界青年會議議決阻止軍火運日
page 2	滬商徵集出品參加美博覽會廿六日載運赴美
page 2	致奈氏電
page 2	豫東我軍大捷柳林集已克復獲Ｘ軍用車數十輛坦克車三輛毫州以北我軍挫Ｘ俘虜百餘人
page 2	中華版及市行版毫券粵省府通令不得歧視省行已決定以美鈔版券換回
page 2	滬前星期攝影場昨日發生大火
page 2	華南戰局再度展開太平場Ｘ猛犯下羅洞我軍奮勇抵抗現正在激戰中我游擊隊縱橫岳州臨湘一帶
page 3	Ｘ使用毒瓦斯之鐵証一檢　Ｘ使用毒瓦斯之命令不曰毒瓦斯而曰特種煙
page 3	我向美國定購大宗飛機每一批轟炸機二百架定於本年三月間交貨
page 3	羅斯福向國會提出國防咨文以五萬二千五萬　元為國防經費其中四萬五千萬元用以充實陸軍
page 3	希特勒答謝教皇致賀
page 3	日本本部發現燕虎鱗沙
page 3	德將在荷蘭邊境施行軍事之軍事步驟認為國際　險企圖時機已至
page 3	美國海軍預算龐大
page 3	英意依照協定交換軍事情報
page 3	英國在華沿海商業已被日人作種種障礙英如不出干涉必將盡被消滅
page 3	我國政府投資捷克械廠將由該廠製械接濟抗戰
page 3	倫敦金融市情證券價格趨落
page 3	滬公共租界工部局總董樊克令曾與傅逆會晤各方認樊此舉甚為失儀
page 3	美國今年廢鐵運日增加
page 3	美太平洋艦隊開大西洋大操經過巴拿馬運河
page 3	赫爾接見堀內係屬普通性質
