page 1	英國將如何
page 2	津浦北段右冀臨沂我軍總攻得手刻在郭家太平研佛崖接觸戰事激烈香城方面敵我兩軍亦發生劇烈激戰
page 2	我軍一度攻入懷遠
page 2	南京偽組織將於今日成立各傀儡漢奸已離滬赴京
page 2	徐培根發表抗戰談話敵估量我抗戰力太低此為敵必失敗之原因
page 2	我游擊隊在豫北一帶四出襲敵溫縣之敵被我任范兩民團圍擊兩次柴溝敵軍被我炮擊計斃者五十餘名
page 2	漢奸俞獻卿在滬被剌斃命
page 2	我某師大部渡錢江東西呼應圍攻杭州最初一排渡江殺敵幾全部作壯烈犧牲
page 2	敵機分批侵犯潮梅各屬
page 2	敵機兩犯浙境
page 2	平市糧食價格陸續上漲係愛偽鈔影響
page 2	潼關我軍渡河挺進收復上下王莊澗口敵潰退後潼關已不多聞炮聲晉西我軍克復岢嵐進迫五寨
page 3	希特勒行抵維也納即向群眾發表演說
page 3	英已向德提出要求德國軍隊自奧撤退
page 3	法必遵守條約義務助捷抵抗德國威脅
page 3	前外相艾登喉舌報抨擊英國孤立政策
page 3	國聯未接正式通知奧仍被視為會員國
page 3	張伯倫報告奧事件認為此係既成事實
page 3	英將重行檢討國防俾適應中歐之局勢
page 3	意相復電
page 3	舒氏被放
page 3	美國反響
page 3	奧郵票上蓋　字
page 3	奧捷波公債一律狂跌
page 3	粵後援會電促唐陳南返期以事實息謠永葆令譽
page 3	國際間諜照空入藏活動
page 3	菲律濱獨立或將延緩實現對增加在菲軍事設備各方認為性質極重要
page 3	日本發眾漸對政府不滿作戰八月毫實際進展增加軍費影響人民生活
page 3	日在東京附近建造最大機場佔地四百餘英畝
page 3	英地中海艦隊將舉行大演習
page 3	敵方鼓勵廠商製造飛機
page 3	滬外商希望變更買賣外匯條例
page 3	敵機一架在　嶽廟墜落
page 3	津電話局員工矢忠繼續奮鬥敵用架捕手段圖達接收陰謀
page 3	敵報宣稱蘇聯趕築新路貫通庫倫原因
page 3	津浦北段正面在激戰中
page 3	敵觸我地雷炸死百餘人
page 3	敵機夜襲南昌
page 3	德澳合併宣佈後奧軍政權均由德支配德元首希特勒已抵達維也納城奧政變影響捷克瑞士整武戒備
page 4	草地網球賽昨日戰績今日秩序
page 4	秋水鼎娘子軍總動員與蘭芳劍賽同時開始
page 4	今夕普籃賽甲乙組共三場
page 4	華雄主辦男女乒乓決賽暫停舉行
page 4	籌辦募款比賽明晚在健身室舉行
page 4	英美匯兌仍縮英對法則暴漲
page 4	外匯先好後弱法逼貢滬漲餘均趨縮
page 4	小型足球聯會今夕開特別會議
page 5	難民口述敵在三灶暴行
page 5	敵機昨襲潮梅
page 5	第一區稅務局長談廣州營稅征收情形一
page 5	抑平全省米價行政區設糧食評價處黃榮華由桂抵省商桂米運粵問題
page 5	南昌地市長昨抵省謁當局
page 5	余吳指示粵桂邊區聯防辦法設守備司令部指揮調度
page 5	市商會昨呈財部請改善紗綢轉口稅
page 5	煤油免稅外銷財廳特定取締辦法
page 5	梧州演習燈火管制情形
page 5	敵機昨又分批來襲兩度衝進市區向東北郊投彈
page 5	統率會昨日召各區專員會議胡朝俊之詩興
page 5	呈主席發起慰勞前方粵籍將士
page 5	敵航空母艦龍驤號現又抵粵泊黑沙海面沿海敵艦尚無異動敵在三灶島試機之損傷
page 6	征收國防租捐辦法
page 6	各縣市組織勸募隊
page 6	市商會成立勸募會
page 6	廣西要聞彙誌燃料管理
page 6	華僑捐款
page 6	指揮調任
page 6	粵文學界參加救亡工作動態
page 6	催報回鄉工作成績
page 6	開會追悼殉難學生
page 6	戲劇界紀念黃花節
page 6	熱烈慶祝童子軍部
page 6	省行決舉辦生絲抵押貸款
page 6	銀業近訊
page 6	勸募會頒發國防公債小傳單今日開始擴大宣傳要守財保命宜購債
page 6	郵局支薪問題員工派代表北上向總會請求經過
page 6	法幣發行檢查中央准委會公告
page 6	新會軍警破獲大逕鄉偽幣機關
page 6	籌劃提高各縣區長職權
page 6	三水夜車增售奇槎站票
page 6	桂總部及省府修正兵役法實施條例一定期征編本年現役兵預征兵不得擅離縣境
page 6	孫恩榮再蒞新會視察
page 6	新會勸募國防公債
page 6	全家食雞中毒
page 6	新會謀財害命慘案
page 6	破獲走私機關
page 6	體察市民經濟情形變通徵國防租捐辦法已繳救國租捐者可　再繳市　會　　會限週內成立
page 7	呈華民司
page 7	呈華代表
page 7	張亞良被控謀殺婦人男女蹈海案仍未了結
page 7	學生賑濟會舉派代表參加全國學生救國會滬留港學生亦派代表參加
page 7	香港已成全國經濟中心滬資金流港積滯難消此項資金亟應投於工業因國貨在國內外均暢銷
page 7	上海資金源源流港
page 7	甚少資本投於工業
page 7	竊案獲兩疑犯
page 7	港汕長途電話昨通話徵費辦法亦已公佈
page 7	西環保德街全街住客反對加租業主要求過奢無力接受昨聯向華民政務司呼籲
page 8	汽車公司
