page 1	英國大憲章運美感言
page 2	潮安西犯日軍敗潰桂南日軍有總崩潰勢
page 2	修正後之三民主義青年團團章二
page 2	我軍衝入沁陽巷戰夏縣外圍我進擊順利
page 2	政府設法救濟避入安南難胞
page 2	廣州紙幣潮愈趨嚴重毫券大跌價竟折低四成
page 2	西園寺公望患傷寒病年高病情可慮
page 2	我攻克包頭之役日死兩聯隊長偽軍一部反正改編就緒
page 2	前任大良偽市長倫逆石龍被亂槍轟斃大良日偽潰竄該逆仍變棧不去卒為青年鋤奸團正法人心大快
page 2	長江開放後外國航船受限制程度日使館代言人謂未能宣佈
page 2	英大使訪王外長談一小時內容未悉
page 2	蘇魯我軍克郯城汜水豫南戰事繼續發展中鄂南日軍彈盡糧絕我繼續掃蕩
page 3	芬軍深入蘇境謀奪取里波拉沙拉方面仍有激戰芬軍分由兩路衝入
page 3	國際現熱與中國五孫院長在三團　歡迎會席上演詞
page 3	經濟方面德意貧乏英法富裕引起爭奪資源的戰爭
page 3	美國各界將舉行傑克遜日年宴美民主黨知名人士將畢集席上將可窺見美競選端倪
page 3	美上下兩院即將討論許多立法案如賦稅商約政府開支等問題民主黨議員準備作劇烈辯論
page 3	菲律濱當局積極整頓防務領袖迭作非正式會議以應付將來遠東局面
page 3	日蘇漁約談判即將開始預料蘇聯提案更令日本不滿
page 3	印度一婦人一胎產六子但六嬰旋即　命
page 3	蘇聯對歐戰態度是維持中立希望歐戰早日了結
page 3	排立斯被刺案情勢將漸擴大領事團認為案情嚴重工部局務求流底查究
page 3	日決派女子萬名開赴滿洲與鰥居農民配偶
page 3	岷尼拉將舉行磁器展覽內有我國磁器多種
page 3	日內閣會議決助汪組偽府汪將與王梁兩逆舉行會議決定宣佈傀儡劇開演日期
page 3	西線寂寞
page 3	軍政部積極推動學生假期之兵役宣傳通電各省黨政軍機關策動各學校切實舉行
page 3	意大利對歐戰態度是宣佈中立不自動參加抱入不犯我我不犯人的態度
page 3	印度國民會議已呈解體現象
page 3	美宣佈與澳政府成立外交關係
page 3	英國實行限制食糧消費英皇及后以身作則
page 3	印擬施行英籍強迫勞役
page 3	美輪曼赫丹號被英海軍檢查
page 3	法大使演說日極注意並將表示遺憾
page 3	意外相返抵羅馬
page 3	粵婦工會搶救粵北難童
page 3	國府明令褒揚鄭螺生
page 3	我發動民眾外交勸美助我制日哈佛大學中國學生會電畢特門希望美國會議決停止與日通商
page 5	控制江門
page 5	南頭偽軍請求投誠軍政當局派員前往收編議決維持糧食金融辦法
page 5	率部投誠改過自新
page 5	即行調往東江受訓
page 5	戰時工作幹部訓練團粵省考選學員已赴渝
page 5	省府取締質押金類辦法質押期滿當轉兌法幣
page 5	各項善後辦法如下
page 5	龍泉睦洲
page 5	振濟難民
page 5	各地情勢
page 5	新台沿海走私猖獗稅收當局嚴厲查緝台山破獲走私多起
page 5	東路我軍猛攻龍門日軍增城近郊亦有劇戰我游擊隊攻入石灘
page 5	突分兩路擾犯大良
page 5	林小亞部攻克沙頭後日偽軍再圖將夾擊林部同時分路一度迫進大良城郊我團隊赴援敏捷彼率不得逞日艦在中順交界之牽制作用
page 5	日艦砲轟中順交界
page 5	偽軍向羅村索規被賭徒殲殺
page 5	廣西銀行發行五角輔幣
page 5	江會各線我軍大舉出擊攻克龍泉挺進睦洲新鶴江佛兩線我軍經已迫近江門外圍
page 7	六賊圖劫一住眷艇
page 7	塔門海面貨艇遇盜
page 7	南頭九成將可通車俟深圳橋修復即可實現
page 7	港府砍伐青山道樹木免礙陸軍巡邏隊視線
page 7	政府機關電話並非取消總線祇搭線辦法略有變更
page 7	漁船被劫漁人慘死
page 7	婦女慰勞會定期演劇籌款覺先聲班擔任義演
page 7	月底再舉行燈火管制演習演習範圍較前數次尤大日期俟決走後即行公布
page 7	大批軍氈棉衣寄贈前線將士
page 7	學界獻金運動定十三日為獻金日
page 7	收音機用戶應從速換新照
page 7	九龍醫院院長史摩利將退休
page 7	中山濟難會又募得數萬元
page 7	中山僑商電新縣長致賀
page 7	油麻地海面賊劫住眷艇捕六疑犯貨艇在塔門被劫損失數千元南澳海盜劫漁船轟斃漁人一名
page 8	窮漢投海獲救
page 8	政記輪船公司上訴案裁定全文二
page 8	按察司傳理瑞裁定全文
page 8	威靈頓街鉅劫案開審昨先提訊首被告何堅事主供述被劫之經過
page 8	足球總會月會議決要案多項農曆元旦舉行兩場義賽一月十四為記者會義演麗華杯初賽秩序已編定
page 8	先施四十週紀念
page 8	友誼小型球戰訊
page 8	振成乒乓隊征澳三勝二負
page 8	南華五期歌詠班定本月十日開始
page 8	廣州市日軍強迫提高軍票兌率找換店商人置之不理多被拘捕二百三十餘人被扣留嚴刑拷打
