page 1	抗戰兩年之回顧
page 2	我在福和墟與Ｘ發生激戰我便衣隊潛入新塘殲Ｘ
page 2	洪洞臨汾安澤Ｘ三路向東進犯晉北我克偏關後神池Ｘ恐慌榆林等縣旱災電中央請賑濟
page 2	喬副指揮一門忠烈父被擄不屈成仁喬襲清水河負傷
page 2	豫西我克中牟冀南邱縣Ｘ我發生激戰
page 2	平津Ｘ軍秘密開往關外在張家口佈置防蒙軍進襲Ｘ發言人謂Ｘ軍越入蒙境
page 2	Ｘ機侵襲紹興
page 2	Ｘ機分批犯贛犯吉安投彈廿餘枚
page 2	閩江口外Ｘ艦駛去四艘福州外僑一部準備撤退但多數外僑仍決心留守
page 2	年青的蒙古工作者一
page 2	七七期近上海租界戒嚴有數路口已築起臨時砲壘英美陸戰隊擔任巡查街道
page 2	某戰區傷兵請求重上前線
page 2	傳邱吉爾將出長海軍部
page 2	日向鼓浪嶼工部局要求加委一日警官鼓島糧食供給愈感困難鮮肉蔬菜價格比前奇貴
page 2	津Ｘ反戰份子縱火焚燒海光寺油庫軍火給養倉庫亦被延燒
page 2	贛農村婦女赴前線慰勞
page 2	新西蘭財長糾正報載談話若英國將來參加戰爭新西蘭必負軍事責任
page 2	滿蒙邊界劇戰正在開展中諾門罕方面已發生激戰哈拉哈河附近必有大戰
page 3	但澤政府積極進行軍事準備徵集男子千名補充武裝警戒英法兩國軍艦將赴波蘭聘問
page 3	為美獨立紀念孔院長對美廣播表示中美關係密切欣慰感謝美感美國對我抗戰援助
page 3	日
page 3	尤
page 3	余
page 3	今
page 3	德民航機突被波軍射擊
page 3	意軍受Ｘ徵募來華參戰有一部份已啟程東來
page 3	英法軍要會晤商討各項問題英陸軍大臣謂英法應共存榮兩個須密切聯絡以抵抗侵略
page 3	廣州日領館扣留華籍職員指為中國密探洩漏Ｘ軍消息廣州幾被克復亦為彼之情報
page 3	滬海關發表五月進出口貿易統計入超九千餘萬元創抗戰後新紀錄
page 3	抗戰後的西北皮毛業三
page 3	英國小軍械廠發生火警
page 3	英商務局報告日茶進口
page 3	英對華態度始終如一決繼續支持我國貨幣日欲誘英支持華北偽幣默許其侵華Ｘ在日軍佔領區加緊排英宣傳運動
page 3	英法蘇談判又發生新困難英已接納蘇要求保證芬列伊但蘇未肯負責保證荷蘭瑞士
page 4	兵災會贈旗昨日成績甚佳
page 4	惠陽青年會將開懇親大會
page 4	車輛失事統計去週死三人傷六十四人
page 4	中青救護團徵求衛生人才
page 4	鄂豫陝等省回歸熱病流行軍民患者極多蔓延亦甚速盼各界捐助六○六藥劑
page 5	誘Ｘ深入施行圍擊
page 5	便衣隊活躍江門市
page 5	我機乘夜出動助戰
page 5	莞城Ｘ夜襲寮步被創深圳破獲女漢奸三名
page 5	我機迭窺三灶原因
page 5	我機到三灶未投彈
page 5	江會最近情形另訊
page 5	瓊島我軍反攻克復陳屋園攻入儋縣混戰竟夜我軍撤回原陣嘉積市Ｘ軍出擾被擊潰
page 5	我軍分路反攻儋縣
page 5	嘉積Ｘ軍出擾被擊
page 5	廣州Ｘ施行人車出入檢查
page 5	省會警察大隊改組
page 5	我游擊隊三撲太和市破壞廣花路蚌湖Ｘ中伏
page 5	桂農民銀行進行調節糧食訂定貸米還穀優待購米辦法
page 5	潮汕我軍連日出擊均獲勝利攻入潮安車站殲Ｘ甚眾巫崎羅獻祥奉令速接事
page 5	我軍突擊潮安車站
page 5	省府策動民眾抗戰續訊臚列九項要目
page 5	空軍軍官談我機隊前炸Ｘ之收穫三灶炸燬Ｘ機甚多二日韶關附近空戰
page 5	省軍管區頒發委員長第二期抗戰要旨獨立作戰自力更生節約緊縮勤勞忍痛獨立自主準備苦鬥
page 5	第二期抗戰之要旨
page 5	巫羅奉命到防接任
page 5	我陸空軍向江會總反攻先誘Ｘ深入乘機圍擊我機飛三灶控制Ｘ機
page 6	繁盛情況
page 6	極為順利
page 6	對偽政權
page 6	設政工隊
page 6	對Ｘ打擊
page 6	訪問第二游擊區二
page 6	三江村旬餘堅守的追述
page 6	黃岐山的苦戰
page 6	河源囚犯乘夜越獄
page 6	Ｘ艦發炮轟大黃圃
page 6	揭陽五華禁煙得力受獎
page 6	惠陽積極推動戰時行政定訂要政九項派員分區視導整飭綱紀振刷公務人員精神
page 6	推行要政
page 6	整飭紀綱
page 6	陳村Ｘ軍嚴限舖主修舖復業
page 6	Ｘ機十架飛襲廣寧肇慶
page 6	內政部派員視察粵桂煙禁
page 6	教廳全力推行補習教育
page 6	蘆西前線視察歸來
page 7	刀光閃閃狀至可怖
page 7	六人重傷倒臥路上
page 7	附近店戶紛紛閉門
page 7	醫務總監通告改善領取防疫證辦法預購證書免貼印花證書費仍徵收五角
