page 1	五路軍改編與軍權統一
page 2	上海特別法院將受理劉蘆隱案政府控狀謂劉主動暗殺楊唐劉移押成都路捕房生活尚佳
page 2	張群堅辭外長經蔣慰留後昨仍再度呈辭
page 2	兵匪兩災後甘肅元氣大傷饑民達三四百萬本年農民無穀播種春耕收穫無望為鞏固西北國防計救濟不容稍緩
page 2	謀增進緝私效能津海關擬組緝私武裝班津關員昨又查獲私貨三百餘件浪人復聚眾到關滋擾當被驅逐
page 2	察北偽軍暫持鎮靜態度
page 2	滬漁業經理五曉籟近忽消極請辭原因何在殊難揣測
page 2	日邀偽滿參加世教會我國決不參加
page 2	日軍瓜代部隊明日可開抵華滬日軍又舉行大演習
page 2	財部對日破壞鹽政正商應付辦法
page 2	隴海路已暢通
page 2	中日貿易協會昨開理事常會將舉行首次會員大會
page 2	鄭寶照謁財孔報告赴粵經過
page 2	余漢謀赴杭遊覽定於二日南返
page 2	孫蔚如昨晉京請示張部六將領飛浙晤張東北軍將領奉召分批赴京聽訓張學良將赴京商四北善後辦法晉財廳長王平談陝北赤匪現正趕製船隻似有竄晉企圖
page 3	亞國民族英雄台斯太被槍決台被擒後限督令其輸誠投降但台氏以身為大將寧死不屈
page 3	中正醫學院四月開工興建暑假後招生開學
page 3	日文報載蔣將繼續請假
page 3	冀手工藝展會昨在保定開幕出品計約三千餘件磁縣綵磁物美價廉
page 3	自訴疑義解釋
page 3	粵米荒聲中桂米繼續抵粵前後兩批共八十萬斤
page 3	皖浙邊境匪巢已被國軍搗毀
page 3	秦德純謁蔣後今日乘車北返
page 3	日在津塘創設運輸公司資金三百萬元輸送津塘貨物
page 3	駐滬意領館答復市府抗議對責任多所諉卸
page 3	西政府軍宣稱已攻入歐維都城叛機轟炸馬德勒東南投彈三十一枚傷數人有爾蘭通過禁志願兵赴西投效案
page 3	中國蜜柑首欠出現倫敦雖經重洋味猶鮮美
page 3	美教授龐德昨日抵滬
page 3	黃旭初今日乘輪南返黃談李白將晉京
page 3	教育學會請製教育影片俾向國際宣傳
page 3	綏軍民各界慶祝元宵佳節火樹銀花景象昇平
page 3	英國防公債案工黨將提出修正案反對政府以發行公債辦法籌措國防經費上院開會曾就外交政策舉行辯論
page 3	全國公路交通會議昨在長沙開幕決議擬集資十萬元籌設腳踏車製造廠
page 3	蘇浙皖贛銀行會商互通匯兌
page 3	西京浪人寨主大鬧濟良所搗毀傢具什物婦女多名受傷
page 3	德政府與教會宗教糾紛未已
page 3	英代辦賀武任滿奉調回國
page 3	法教授愛斯嘉拉博士近著中國之過去與現在中國素日積弱遂　啟日本覬覦之心中國統一後將擯日於亞洲大陸之外
page 3	革命成功創立會議制度
page 3	統一成功積極建設事業
page 3	國勢削弱遂啟日本覬覦
page 3	演進如何吾人深所欲悉
page 3	國勢強盛日本即將被擯
page 3	日大使川樾廿五日晨召見喜多
page 3	日駐法大便佐藤乘靖國九返國
page 3	全國美展各種展品
page 3	台灣總督府技師磯永吉荒本濟安宅上野忠貞
page 3	國民政府廿五日令任命江養正為蒙
page 3	中政會日前決議給邵元沖子女教養費每月四百元
page 3	上海中華足球隊一行十七人
page 3	日陸軍人事大更動陸軍統制派昂頭七個師團長更迭陞級者九百人最可注意為柴山兼任軍事課長
page 4	蘭芳杯乒乓賽成績皇仁淩風得勝利第三場雪峰過時明晚交通對白虹
page 4	中紙桂幣價回升
page 4	省法幣人心略堅
page 4	八九金價昨微升
page 4	滬外匯市情穩定
page 4	省西紙價仍趨降
page 4	各行股票之市情
page 4	英銀價近期略跌
page 4	英對美匯兌報縮
page 4	港外匯市仍呆滯
page 4	獎勵長途賽跑各校續贈獎品仿林中學贈予男冠軍亞軍學額
page 5	統一商運案財廳會議之決定因營業稅法並無規定應由主管官署辦理某秘書談話
page 5	保安隊充實力量平時捍衛地方兼為國防預備
page 5	民族渡難屬狀請法院救助訴訟費無力繳納
page 5	黃濤在閩南實施強迫教育辦法分組小先生團及輔導團
page 5	炸甘竹灘工程候劉廳長返粵實施楊華日晉京請款辦水利宋子文答允籌款助建設
page 5	岑學呂任省委後仍兼省府秘書長
page 5	全省行政會報續詳某委員談以討論施政中心工作為主題求積極改善組織及人事管理審核三年計劃先行實施部份
page 5	廣州金融最近動態續訊粵幣制有短期實行改革訊銀行方面亦吸收毫券甚多因此並傳大小洋比率有減低望毫券市值突然高漲之各原因財當局與銀業方面之訪問記
page 6	黃元彬再發表救濟米荒與米貴辦法　洋米稅收入補助鄰米運粵米荒與米貴兩問題同時解決
page 6	河南衛生實施區決定進行大綱
page 6	廣州報關業請商會解除痛苦
page 6	廣州昨晨降雹
page 6	桂米續運抵省
page 6	潮汕米荒更見嚴重各屬商會仍請免洋米稅
page 6	米價再漲原因
page 6	電告潯米運汕
page 6	陳玉潛之談話
page 6	洋米運閩問題
page 6	各屬呼籲頻聞
page 6	長庚號機失事續詳李宗仁撥三千元為吳伯藩治喪費
page 6	援綏遊藝昨因雨停一天今日照常開放
page 6	順屬匪搶斬甘蔗南水鄉之兵匪激戰
page 6	市黨部查究理髮工會糾紛
page 6	廣州市商會
page 6	市營業稅局長鄭芷湘
page 6	省河民船工會
page 6	堵塞琶江防潦會
page 6	潮汕搜捕漢奸與查緝運私販毒近訊
page 7	出事地點
page 7	受傷人數
page 7	何女士心愛之物
page 7	輪運車輾斃四命案公審御者被控誤殺路人等四罪
page 7	審訊情形
page 7	燈為紅色
page 7	致死原因
page 7	車　速率
page 7	駐華英艦之行蹤
page 7	西商今日研究特惠稅問題華商織造總會亦派代表出席
page 7	各影片公司紛向電檢會領照協會職員交代問題仍未解決
page 7	荃灣村謀財害命案老孀婦深夜被賊匪勒斃各物零亂損失多少未查悉鄰人發覺始代報警署查究
page 7	青山道上暮雨霏霏長途汽車觸樹慘劇車員搭客廿餘人皆受傷二人斷手折足傷勢尤重
page 8	大幫炸藥昨抵港供新界開礦之用
page 8	婢制調查團報告書行將發表
page 8	潮州柑運銷英國
page 8	慶蔣會籌委會議
page 8	被控擅駕別人車
page 8	祝英皇加冤燈色昨開始裝配試驗
page 8	慶蔣游藝
page 8	東華院總理交代今日上午十一時
page 8	中學生演說比賽下月二十日舉行
page 8	汽車輾傷英兵案御者罪名不成立
page 8	第三屆集團結婚羅旭和任證婚人
page 8	市虎噬傷一少年
page 8	華差被控行為不端
page 8	婦人服毒幸獲救
page 8	販賣女童犯入獄
page 8	彌敦道劫案押候
page 8	印童擲石誤傷路人
page 8	廣州酒家闢跳舞廳
page 8	陳香伯輓洪興錦聯
page 8	南洋公司香煙暢銷
page 8	海員工潮解決後美國麵粉已源源東運日間將有大批到港但料價格尚雖低跌
page 10	九龍居民會年會定下月四日舉行
page 10	改良路燈
page 10	排洩污水
page 10	收容瘋人
page 10	港紳籌送郝德傑
page 10	來函照錄
page 10	德明中學開運動會
page 10	捐助救傷隊者題名
page 10	四邑商工聯歡紀
page 10	國際博覽會中國出品下月過港運法法政府允將進口稅記賬出品脫售後始照章繳納
page 11	從新公路限六個月內完成
page 11	潮安楓溪瓷業之概況瓷業歷史長九百一十餘年現在銷額比前減少三份二
page 11	瓷業沿革
page 11	瓷廠織組
page 11	工人統計
page 11	產銷數量
page 11	巡迴空展將抵汕
page 11	訂定各縣新組織與行政經費之預算裁局後改設四科
page 11	政費之核定
page 11	附記
page 11	劫船疑犯解縣訊辦
page 11	石灣發生兩次地震
page 11	賭徒拒捕擊斃隊長
page 11	長洲鄉籌辦戒煙所
page 11	嚴禁攜械逐船逐煞
page 11	破獲大良鄉煙賭窟
page 11	奉令肅清屬內散匪
