page 2	香港婢女問題續
page 3	奉軍次以兩旅駐綏遠聞其計劃首在圖佔甯夏逐漸包圍　
page 3	馬福祥綏遠都統將被驅圭
page 3	西南各省以桂省得手鄂贛另有局勢擬重組西南政府並群推重慮永祥日來正在協商中
page 3	京政府又容納某政客建議擬　兩廣巡　批軍火　公債票　條件餌 陳炯明使之驅逐孫文或以鼓勵閩贛兩督為急攻廣州
page 3	靳雲鵬自廿五日派人赴贛說陳光遠謂有人報告黔擬出兵越山攻贛之首湘粵出兵入萍鄉攻贛之背不如與吳佩孚　致早定　　　
page 3	京政府派員赴閩鄂蘇皖贛等省調查　
page 3	趙恒惕電據報李烈鈞圖贛請撥餉十萬率師滅李以杜後患院電王占元查　
page 3	京政府對吳佩孚派兵入鄂切電曹錕囑其務顧全北洋團體不得輕諾西南要求中央當以鄂局善後付之似含有繼王占元　
page 3	張作霖電京謂趙恒惕背盟攻鄂應團結北系聯兵討伐曹錕並請宣布湘趙破壞大局罪狀俾出師　
page 3	王占元又來三電　報告湘軍分岳州南縣平江進攻　請調靳旅駐祈家灣　請給欠餉
page 3	閻相文與陳樹藩兩軍沿渭河交戰兩晝夜陳部大敗陳逃時其夫人從馬上跌斃
page 3	又訊漢中兵變張寶配被戕陳部張藩剿變兵亦敗
page 3	陳炯明勸各縣桂軍歸附
page 3	勸銷公債之竭力搜羅
page 3	北京調停學潮之反響以饑時畫餅為無用以撻後含飴為可羞
page 3	民選知事訴訟之見端
page 3	兵災救濟會分隊募捐
page 3	廣西人擬公選省長
page 3	匪劫軍實指為沈鴻英之謀
page 3	委任廣西造幣廠長餘聞
page 3	油漆工人要求加工將可解決
page 3	藤縣商會致東華醫院函
page 3	瑣聞彙錄
page 3	香港大酒店聚會
page 3	全灣劫案
page 3	搭客於大風中失蹤
page 6	日本對太平洋會議之態度
page 6	朱啟鈐赴日性質之　　
page 6	芮恩施借　
page 6	　　會議我國代表　
page 6	福　　人又行　
page 6	羅素最近之行蹤
page 6	　　局部通商之決　
page 6	蔡孑民歸回延期
page 6	外人對於煙禁之抗議
page 6	跛人刺傷跛人案押候
page 6	被控騙米及接贓
page 6	煙局案
page 6	下環醫所開辦有期
page 6	衛生官報告
page 6	銀價
page 6	青年會創設職工部
page 6	莫幹生贊助足球隊
page 7	各軍對待廣西降將之要聞
page 7	所謂新文化家之家庭
page 7	孫文將自任陸軍大元帥
page 7	五仙觀永不　是之謂　
page 7	羅定知事又告急
page 7	令福軍保護修電線
page 7	水公司又有暗潮
page 7	鶴山江門渡被軍隊槍　
page 7	又罰水公司
page 7	委任廣西印花分處　
page 7	李福隆餘黨勢成流　
page 7	不准台山加增議員名額
page 7	火警例　　
page 7	舉報官產例　
page 7	老農得珠之異聞
page 7	佛山印花支處長之去留
page 7	汽車撞門傷人
page 7	法商務有起色
page 7	日內閣議決赴太平洋會議
page 7	日人對於太平洋會議之挑撥
page 7	酷熱殺人
page 7	善舉可嘉
page 7	世界各國之艦隊
page 7	瑣聞一束
page 7	中法銀行消息
page 9	古巴使館隨員失蹤案續誌
page 9	古巴設使與陳柏年案
page 9	赤軍侵入後之庫倫
page 9	油麻地白晝劫案
page 9	漆務工會工人被控案
page 9	被控意圖賣良為娼
page 9	黃河長江間之大火
page 9	布昧來歷
page 9	打架案
page 9	樓中住人過多被罰
page 9	清糞夫被罰
page 9	水手溺斃
page 12	粵軍入邕之　
page 12	粵
page 12	高州學生請逐陳獨秀
page 12	塾師請願詳情
page 12	埠昂學生展期赴　
page 12	新會要聞
page 12	鐘鏢工人助　
page 12	定期點對廣西紙幣
page 12	粵軍勝利之神話
