page 1	冀察交涉之前途
page 2	各地軍政要人紛赴廬山參加國防會議黃紹雄已到張發奎續來王寵惠孫科等亦將抵
page 2	中央免李白職後桂當局未有表示李白否認桂軍入湘
page 2	華北日駐屯軍部又著手擴大組織駐津日空軍又增一中隊
page 2	冀察交涉日方要求過苛決無妥協可能
page 2	日警駐濟南站公然庇護走私
page 2	孔祥熙電鄒宋指示整理粵金融濫發毫券紙幣影響粵省金融鄒宋俟調查完問呈部核辦
page 2	日向我外交當局否認發強硬宣言謂此項電訊毫無根據
page 2	德王否認獨立不過環境惡劣迫得轉換空氣
page 2	華北海關行政全操日人手中
page 2	延慶暴徒甘作日人走狗向縣府請願自治日機飛延慶保證
page 2	李守信部仍在綏東騷擾
page 2	新運總會視察團抵鄭視察各路工作
page 2	在平中日將校定期舉行聯歡
page 2	日在榆關設立人造絲廠
page 2	黃華表謁徐青甫商洽移交事宜
page 2	顏甘棠離滬來港轉粵
page 2	閻錫山對記者發表時局意見
page 2	日方準備投資攫取華北棉產
page 2	改用汽車走私
page 2	蔣令國防會議各會員限廿七日以前齊集廬山程潛起草國防計劃將攜廬山討論大批日籍特務人員到廬剌探消息
page 3	韓復　代表抵京分謁馮何二氏
page 3	遙堤善後工委會商討堵口辦法
page 3	沛縣監獄囚犯暴動越獄
page 3	北運河水勢增漲沿岸險象環生
page 3	赴暹考察團團長淩冰抵滬
page 3	曾養甫視　粵漢全線
page 3	開　礦務局呈請查封土礦
page 3	皖省收穫豐稔
page 3	武昌市政處籌建貧民住宅
page 3	閩匪黃立貴股圖侵福安奪糧
page 3	吳尚鷹昨日乘車抵京
page 3	閩保安隊整頓各縣警政
page 3	川省普考積極籌備進行
page 3	計政學院招生展期截止報告
page 3	日學生來華考察團昨赴榆秦考察
page 3	宋賈二氏聯婚
page 3	北寧滿鐵兩路商訂聯運協定
page 3	皖地方稅局改組澈底整頓稅收
page 3	隴海路洛宜間籌築輕便鐵路
page 3	植物油料廠鄂分廠九月正式成立
page 3	北寧路局購新式汽油機
page 3	熊式輝暫代兼贛財長
page 3	苗培成抵安慶
page 3	李滋羅斯抵英
page 3	德奧協定告成巴本任奧大使
page 3	奧林匹持炬跑跑至保加利亞
page 3	西班牙內戰慘象瑪拉格成屠殺場城中大街慘被焚掠斃者數百傷者逾千
page 3	五國會議尚有問題意堅持撤消制裁
page 3	英內務大臣西門演講集體安全
page 3	美背泳女選手資格仍被取銷
page 3	曹汝霖堅辭冀察政委
page 4	第一項男子舢舨單人賽
page 4	第二項女子舢舨單人賽
page 4	第三項公開中西人渡海泳
page 4	游泳對抗
page 4	印警圖雪前恥今晚盡出精銳戰青年會乙組南華可勝精武華大藍雷豫有劇戰
page 4	籃球友誼賽勵行社對南華甲今晚六時在青年會
page 4	南華足球隊在暹三比一勝暹聯隊昨日該會所得之捷報
page 4	昨日壘球又賽不成
page 4	英京銀價昨報升
page 4	麥偉明壓倒帕拉刺初捷公開渡海泳風猛水急中途上艇者約三十人超出次名數百碼為國家增光榮廿九晚繼續舉行水藝今晚與超超對抗游泳
page 5	四路總部編制尚須候中央頒佈
page 5	李延年因匪共竄擾漸派兵入駐粵邊已電粵第四軍派兵駐防
page 5	各機關之結束歸併
page 5	憲兵部照常辦公並無撤裁改組意
page 5	西南兩機關之結束昨日已辦理完竣
